topology,amplitude,sample,K,frequency_set_type,frequency_set_label,refined_frequency_hz,drive_channels,drive_smoothing_frames,number_drive_channels,filter_length_s,filter_length_frames,selected_frequencies_hz,decay_times_s,number_raw_features,svd_rank,condition_number,train_nmse_x,train_nmse_y,train_nmse_2d,validation_nmse_x,validation_nmse_y,validation_nmse_2d,selection_metric_value
topology_17_prestress,amp=1,sample_0,1,refined_single,refined_6.1200Hz,6.12,u,1,1,8.0,240,6.12,0.5 1 2 5 10 100,12,6,12.004557994056885,0.498121993528895,0.38528914176887247,0.4772751952232915,0.4105135939510599,1.7449896806707126,0.5487441730636836,1.7449896806707126
topology_17_prestress,amp=1,sample_0,1,refined_single,refined_6.1300Hz,6.130000000000001,u,1,1,1.0,30,6.13,0.5 1 2 5 10 100,12,4,8.406467719876186,0.5452840936227474,0.6075734516831381,0.5570925066189483,0.3919435103641313,0.9902751849843718,0.4539211918732016,0.9902751849843718
topology_17_prestress,amp=1,sample_0,1,refined_single,refined_6.1300Hz,6.130000000000001,u,1,1,2.0,60,6.13,0.5 1 2 5 10 100,12,5,25.720654915929558,0.47723113002687634,0.4397118438657313,0.47011846680302594,0.35506617350567876,0.9172797059430415,0.41330258774132533,0.9172797059430415
topology_17_prestress,amp=1,sample_0,1,refined_single,refined_6.1300Hz,6.130000000000001,u,1,1,3.0,90,6.13,0.5 1 2 5 10 100,12,6,22.58739374292907,0.4802233758470816,0.4181117283129167,0.46844865206125097,0.34895420057039334,0.8652448891074073,0.40243373578061786,0.8652448891074073
topology_17_prestress,amp=1,sample_0,1,refined_single,refined_6.1300Hz,6.130000000000001,u,1,1,5.0,150,6.13,0.5 1 2 5 10 100,12,6,11.97521873766805,0.5399956979558755,0.4602925526584515,0.5248548923875604,0.3466678186071609,0.7743313310385844,0.39096698258397733,0.7743313310385844
topology_17_prestress,amp=1,sample_0,1,refined_single,refined_6.1300Hz,6.130000000000001,u,1,1,8.0,240,6.13,0.5 1 2 5 10 100,12,6,11.357697240831982,0.5131151644131347,0.40185635004634895,0.49255918247484254,0.3874421034567408,1.6636109589385404,0.5196329772343108,1.6636109589385404
topology_17_prestress,amp=1,sample_0,1,refined_single,refined_6.1400Hz,6.140000000000001,u,1,1,1.0,30,6.14,0.5 1 2 5 10 100,12,4,8.684550527663118,0.5470283260622683,0.6126309501082249,0.5594648465609717,0.39518909278347736,0.9956762115958139,0.45739004415993967,0.9956762115958139
topology_17_prestress,amp=1,sample_0,1,refined_single,refined_6.1400Hz,6.140000000000001,u,1,1,2.0,60,6.14,0.5 1 2 5 10 100,12,5,25.311843227869886,0.47537645772540066,0.44139893833206534,0.4689352197021435,0.35411925496659535,0.917780084108877,0.4125055862098675,0.917780084108877
topology_17_prestress,amp=1,sample_0,1,refined_single,refined_6.1400Hz,6.140000000000001,u,1,1,3.0,90,6.14,0.5 1 2 5 10 100,12,6,21.9631224673673,0.47745667548521825,0.4211321801459793,0.46677904252384733,0.3497511960547241,0.8651903983761506,0.40314253078398227,0.8651903983761506
topology_17_prestress,amp=1,sample_0,1,refined_single,refined_6.1400Hz,6.140000000000001,u,1,1,5.0,150,6.14,0.5 1 2 5 10 100,12,6,12.94918826307031,0.5563537215205452,0.4941946849660414,0.544545682035108,0.3431309404493444,0.780123425554353,0.3883964381866745,0.780123425554353
