topology,amplitude,frequency_set_type,frequency_set_label,refined_frequency_hz,drive_channels,number_drive_channels,K,filter_length_s,num_samples,selected_frequencies_hz,validation_nmse_x_mean,validation_nmse_x_std,validation_nmse_y_mean,validation_nmse_y_std,validation_nmse_2d_mean,validation_nmse_2d_std,condition_number_mean,condition_number_std
topology_17_prestress,amp=1,refined_single,refined_5.4600Hz,5.46,u,1,1,1.0,5,5.46,0.4293379153143789,0.004191793021881151,0.9000643048525511,0.0046297851964229916,0.4799990624035493,0.004514831149693072,7.244601794340065,0.01969984901277888
topology_17_prestress,amp=1,refined_single,refined_5.4600Hz,5.46,u,1,1,2.0,5,5.46,0.4231699774436956,0.0037473038184303534,0.9275205162963447,0.00793564161269312,0.4774452052730559,0.0038412040080993957,24.2075361525273,0.03254889704231071
topology_17_prestress,amp=1,refined_single,refined_5.4600Hz,5.46,u,1,1,3.0,5,5.46,0.4505890108590361,0.004793947722607502,0.9867984034941191,0.011226301994133256,0.5083133774621005,0.006229758447466461,20.118027594909794,0.0701444953149401
topology_17_prestress,amp=1,refined_single,refined_5.4600Hz,5.46,u,1,1,5.0,5,5.46,0.44174454065140656,0.002869654383237513,0.9605231658445181,0.01864407163543174,0.49761946210635133,0.005435706234596629,13.228367150802507,0.041579296590482505
topology_17_prestress,amp=1,refined_single,refined_5.4600Hz,5.46,u,1,1,8.0,5,5.46,0.42001139908113494,0.001997775453272674,0.9219421955571832,0.027738619817603397,0.4739871766081314,0.0027651451490400937,12.205007956524293,0.1150108168520321
topology_17_prestress,amp=1,refined_single,refined_5.4700Hz,5.470000000000001,u,1,1,1.0,5,5.47,0.4284804311517341,0.004303456239424201,0.9020577426614478,0.0047649747864174615,0.47944782437565747,0.0046005864115501085,7.0906722639940565,0.018741453541009957
topology_17_prestress,amp=1,refined_single,refined_5.4700Hz,5.470000000000001,u,1,1,2.0,5,5.47,0.42250259345269525,0.0038068282591575743,0.9281975554347139,0.008138267736554761,0.47692186359678146,0.0038538286917350565,24.610970689749877,0.0332981176135244
topology_17_prestress,amp=1,refined_single,refined_5.4700Hz,5.470000000000001,u,1,1,3.0,5,5.47,0.4531787582780746,0.004954506012902492,0.9948157796340908,0.011146671258981668,0.5114876554583114,0.0063961512416811995,19.582620645757867,0.07329713818117106
topology_17_prestress,amp=1,refined_single,refined_5.4700Hz,5.470000000000001,u,1,1,5.0,5,5.47,0.44338414443218993,0.0033150801092593587,0.9579163455208825,0.020779910226278422,0.4988055612696474,0.006058526334649762,12.641289114805357,0.047907494651461005
topology_17_prestress,amp=1,refined_single,refined_5.4700Hz,5.470000000000001,u,1,1,8.0,5,5.47,0.4335233140889302,0.0020409486323142876,0.874097706200242,0.0265409488872443,0.48089592637452716,0.002622003321809241,11.757084395723947,0.1302109197000802
