topology,amplitude,sample,candidate_id,mode_index,raw_feature_name,drive_channel,frequency_hz,decay_time_s,phase,loading
topology_17_prestress,amp=1,sample_1,K1_L8,1,u_f=5.9138Hz_Td=5.000s_sin,u,5.91381623393926,5.0,sin,0.32941391209223775
topology_17_prestress,amp=1,sample_1,K1_L8,1,u_f=5.9138Hz_Td=10.000s_cos,u,5.91381623393926,10.0,cos,-0.3580903099929407
topology_17_prestress,amp=1,sample_1,K1_L8,1,u_f=5.9138Hz_Td=10.000s_sin,u,5.91381623393926,10.0,sin,0.333763491070329
topology_17_prestress,amp=1,sample_1,K1_L8,1,u_f=5.9138Hz_Td=100.000s_cos,u,5.91381623393926,100.0,cos,-0.357186599764054
topology_17_prestress,amp=1,sample_1,K1_L8,1,u_f=5.9138Hz_Td=100.000s_sin,u,5.91381623393926,100.0,sin,0.3299250934635243
topology_17_prestress,amp=1,sample_1,K1_L8,2,u_f=5.9138Hz_Td=0.500s_cos,u,5.91381623393926,0.5,cos,0.41558946127169927
topology_17_prestress,amp=1,sample_1,K1_L8,2,u_f=5.9138Hz_Td=0.500s_sin,u,5.91381623393926,0.5,sin,0.4064693608349532
topology_17_prestress,amp=1,sample_1,K1_L8,2,u_f=5.9138Hz_Td=1.000s_cos,u,5.91381623393926,1.0,cos,0.24723867412769146
topology_17_prestress,amp=1,sample_1,K1_L8,2,u_f=5.9138Hz_Td=1.000s_sin,u,5.91381623393926,1.0,sin,0.26005985089038536
topology_17_prestress,amp=1,sample_1,K1_L8,2,u_f=5.9138Hz_Td=2.000s_cos,u,5.91381623393926,2.0,cos,0.013726915721061411
topology_17_prestress,amp=1,sample_1,K1_L8,2,u_f=5.9138Hz_Td=2.000s_sin,u,5.91381623393926,2.0,sin,0.02782416824282831
topology_17_prestress,amp=1,sample_1,K1_L8,2,u_f=5.9138Hz_Td=5.000s_cos,u,5.91381623393926,5.0,cos,-0.20782524992887907
topology_17_prestress,amp=1,sample_1,K1_L8,2,u_f=5.9138Hz_Td=5.000s_sin,u,5.91381623393926,5.0,sin,-0.2304458944907224
topology_17_prestress,amp=1,sample_1,K1_L8,2,u_f=5.9138Hz_Td=10.000s_cos,u,5.91381623393926,10.0,cos,-0.27821966586872
topology_17_prestress,amp=1,sample_1,K1_L8,2,u_f=5.9138Hz_Td=10.000s_sin,u,5.91381623393926,10.0,sin,-0.31917156569586164
topology_17_prestress,amp=1,sample_1,K1_L8,2,u_f=5.9138Hz_Td=100.000s_cos,u,5.91381623393926,100.0,cos,-0.3298417537653965
topology_17_prestress,amp=1,sample_1,K1_L8,2,u_f=5.9138Hz_Td=100.000s_sin,u,5.91381623393926,100.0,sin,-0.3846796844800165
topology_17_prestress,amp=1,sample_1,K1_L8,3,u_f=5.9138Hz_Td=0.500s_cos,u,5.91381623393926,0.5,cos,-0.3814731595747731
topology_17_prestress,amp=1,sample_1,K1_L8,3,u_f=5.9138Hz_Td=0.500s_sin,u,5.91381623393926,0.5,sin,0.40065311555759764
topology_17_prestress,amp=1,sample_1,K1_L8,3,u_f=5.9138Hz_Td=1.000s_cos,u,5.91381623393926,1.0,cos,-0.4153728106495359
topology_17_prestress,amp=1,sample_1,K1_L8,3,u_f=5.9138Hz_Td=1.000s_sin,u,5.91381623393926,1.0,sin,0.3744369398845421
topology_17_prestress,amp=1,sample_1,K1_L8,3,u_f=5.9138Hz_Td=2.000s_cos,u,5.91381623393926,2.0,cos,-0.23782061768162155
topology_17_prestress,amp=1,sample_1,K1_L8,3,u_f=5.9138Hz_Td=2.000s_sin,u,5.91381623393926,2.0,sin,0.2121231500904341
topology_17_prestress,amp=1,sample_1,K1_L8,3,u_f=5.9138Hz_Td=5.000s_cos,u,5.91381623393926,5.0,cos,0.07740547020703553
topology_17_prestress,amp=1,sample_1,K1_L8,3,u_f=5.9138Hz_Td=5.000s_sin,u,5.91381623393926,5.0,sin,-0.06503960517996868
topology_17_prestress,amp=1,sample_1,K1_L8,3,u_f=5.9138Hz_Td=10.000s_cos,u,5.91381623393926,10.0,cos,0.21282548097158416
topology_17_prestress,amp=1,sample_1,K1_L8,3,u_f=5.9138Hz_Td=10.000s_sin,u,5.91381623393926,10.0,sin,-0.1836728173202157
topology_17_prestress,amp=1,sample_1,K1_L8,3,u_f=5.9138Hz_Td=100.000s_cos,u,5.91381623393926,100.0,cos,0.3311916632255737
topology_17_prestress,amp=1,sample_1,K1_L8,3,u_f=5.9138Hz_Td=100.000s_sin,u,5.91381623393926,100.0,sin,-0.2841175368031448
topology_17_prestress,amp=1,sample_1,K1_L8,4,u_f=5.9138Hz_Td=0.500s_cos,u,5.91381623393926,0.5,cos,0.3736141137876081
topology_17_prestress,amp=1,sample_1,K1_L8,4,u_f=5.9138Hz_Td=0.500s_sin,u,5.91381623393926,0.5,sin,0.3922644590043911
topology_17_prestress,amp=1,sample_1,K1_L8,4,u_f=5.9138Hz_Td=1.000s_cos,u,5.91381623393926,1.0,cos,-0.14679423646990547
topology_17_prestress,amp=1,sample_1,K1_L8,4,u_f=5.9138Hz_Td=1.000s_sin,u,5.91381623393926,1.0,sin,-0.13897292228373653
topology_17_prestress,amp=1,sample_1,K1_L8,4,u_f=5.9138Hz_Td=2.000s_cos,u,5.91381623393926,2.0,cos,-0.36989562514548235
topology_17_prestress,amp=1,sample_1,K1_L8,4,u_f=5.9138Hz_Td=2.000s_sin,u,5.91381623393926,2.0,sin,-0.46168011063309466
topology_17_prestress,amp=1,sample_1,K1_L8,4,u_f=5.9138Hz_Td=5.000s_cos,u,5.91381623393926,5.0,cos,-0.12191699736178396
topology_17_prestress,amp=1,sample_1,K1_L8,4,u_f=5.9138Hz_Td=5.000s_sin,u,5.91381623393926,5.0,sin,-0.2042101042096651
topology_17_prestress,amp=1,sample_1,K1_L8,4,u_f=5.9138Hz_Td=10.000s_cos,u,5.91381623393926,10.0,cos,0.07672750704321166
topology_17_prestress,amp=1,sample_1,K1_L8,4,u_f=5.9138Hz_Td=10.000s_sin,u,5.91381623393926,10.0,sin,0.07643239576606452
topology_17_prestress,amp=1,sample_1,K1_L8,4,u_f=5.9138Hz_Td=100.000s_cos,u,5.91381623393926,100.0,cos,0.28817385301758625
topology_17_prestress,amp=1,sample_1,K1_L8,4,u_f=5.9138Hz_Td=100.000s_sin,u,5.91381623393926,100.0,sin,0.4054245394721821
topology_17_prestress,amp=1,sample_1,K1_L8,5,u_f=5.9138Hz_Td=0.500s_cos,u,5.91381623393926,0.5,cos,-0.4926941014851648
topology_17_prestress,amp=1,sample_1,K1_L8,5,u_f=5.9138Hz_Td=0.500s_sin,u,5.91381623393926,0.5,sin,0.45460629146785086
topology_17_prestress,amp=1,sample_1,K1_L8,5,u_f=5.9138Hz_Td=1.000s_cos,u,5.91381623393926,1.0,cos,0.03496913298088555
topology_17_prestress,amp=1,sample_1,K1_L8,5,u_f=5.9138Hz_Td=1.000s_sin,u,5.91381623393926,1.0,sin,-0.01618707456673593
topology_17_prestress,amp=1,sample_1,K1_L8,5,u_f=5.9138Hz_Td=2.000s_cos,u,5.91381623393926,2.0,cos,0.427610126057555
