frequency_set_type,frequency_set_label,refined_frequency_hz,drive_channels,drive_smoothing_frames,number_drive_channels,K,filter_length_s,filter_length_frames,num_topology_sample_pairs,selected_frequencies_hz,decay_times_s,number_raw_features_mean,number_raw_features_std,number_drive_channels_mean,number_drive_channels_std,svd_rank_mean,svd_rank_std,condition_number_mean,condition_number_std,train_nmse_x_mean,train_nmse_x_std,train_nmse_y_mean,train_nmse_y_std,train_nmse_2d_mean,train_nmse_2d_std,validation_nmse_x_mean,validation_nmse_x_std,validation_nmse_y_mean,validation_nmse_y_std,validation_nmse_2d_mean,validation_nmse_2d_std,selection_metric_value_mean,selection_metric_value_std
refined_single,refined_5.6500Hz,5.65,u,1,1,1,2.0,60,5,5.65,0.5 1 2 5 10 100,12.0,0.0,1.0,0.0,5.0,0.0,22.911102193745393,0.024433027521005134,0.6425238470438818,0.006700448487613795,0.5627150875173308,0.015357837490557356,0.6276274498858629,0.007936146820612952,0.4274390499903036,0.004732921211853904,0.9017858726800737,0.004974731971811513,0.4784860812559638,0.004911796908455849,0.9017858726800737,0.004974731971811513
refined_single,refined_5.6600Hz,5.66,u,1,1,1,2.0,60,5,5.66,0.5 1 2 5 10 100,12.0,0.0,1.0,0.0,5.0,0.0,23.424692601750714,0.02503011578283387,0.6439058171392278,0.006724474000897189,0.5603384067209243,0.015403999403927,0.6283086388069463,0.007964711806618653,0.4276239988391094,0.004760109005084905,0.9027336745517036,0.005033310053719228,0.47875289715506975,0.004926859327557631,0.9027336745517036,0.005033310053719228
refined_single,refined_5.6700Hz,5.67,u,1,1,1,2.0,60,5,5.67,0.5 1 2 5 10 100,12.0,0.0,1.0,0.0,5.0,0.0,24.03085669319548,0.027999747684052535,0.6458707280283728,0.006750119207427184,0.5576762492191091,0.015454929458593121,0.6294108553879484,0.007994825905182041,0.42860968870363053,0.004796759835301558,0.9037314388406458,0.005093029078249533,0.47973960409754535,0.004948534616929371,0.9037314388406458,0.005093029078249533
refined_single,refined_5.6800Hz,5.680000000000001,u,1,1,1,2.0,60,5,5.68,0.5 1 2 5 10 100,12.0,0.0,1.0,0.0,5.0,0.0,24.718526001371462,0.03258609090112878,0.6485643810017823,0.006778826597935117,0.5545975399363442,0.015514379751484743,0.6310282756083957,0.008028158166616695,0.43069223690655817,0.004845825489453386,0.9048003942520371,0.005152972322849577,0.48171271890747536,0.004978929127321887,0.9048003942520371,0.005152972322849577
refined_single,refined_5.6900Hz,5.69,u,1,1,1,2.0,60,5,5.69,0.5 1 2 5 10 100,12.0,0.0,1.0,0.0,5.0,0.0,25.47380027007336,0.0380731876633199,0.652123888459976,0.006810293062567293,0.5509593198039667,0.015584621482232962,0.6332457907038341,0.008064586654120826,0.4342050164468782,0.004910192697127018,0.9059584279111693,0.0052123316163606125,0.4849716432007252,0.005020008004923708,0.9059584279111693,0.0052123316163606125
refined_single,refined_5.7000Hz,5.7,u,1,1,1,2.0,60,5,5.7,0.5 1 2 5 10 100,12.0,0.0,1.0,0.0,5.0,0.0,26.281579322282703,0.04395520706182008,0.656633889324381,0.0068406981949325745,0.5465847052920009,0.01566496530163413,0.636099276487685,0.00810040457406945,0.4395065408627115,0.004993409639782268,0.9072139995453027,0.005271879120838318,0.48983719140773896,0.005073998144945077,0.9072139995453027,0.005271879120838318
refined_single,refined_5.7100Hz,5.71,u,1,1,1,2.0,60,5,5.71,0.5 1 2 5 10 100,12.0,0.0,1.0,0.0,5.0,0.0,27.12736395838988,0.04985830038976701,0.6620578277318343,0.00685903160375895,0.5412131130341911,0.015749577437013045,0.6395104031824973,0.0081247755243662,0.44698559285795997,0.005101019512769639,0.9085521101793084,0.005336670189970658,0.49665464589421743,0.005144027847474826,0.9085521101793084,0.005336670189970658
refined_single,refined_5.7200Hz,5.720000000000001,u,1,1,1,2.0,60,5,5.72,0.5 1 2 5 10 100,12.0,0.0,1.0,0.0,5.0,0.0,27.997933620764872,0.05541034368194427,0.6681135964305589,0.006837911070961532,0.5343957107927834,0.015823397113912094,0.643165968146163,0.008111253241420101,0.45710571372307596,0.005242442918209503,0.9099035024036535,0.005421881776746432,0.5058301210518454,0.005234537033357569,0.9099035024036535,0.005421881776746432
refined_single,refined_5.7300Hz,5.73,u,1,1,1,2.0,60,5,5.73,0.5 1 2 5 10 100,12.0,0.0,1.0,0.0,5.0,0.0,28.878452456610784,0.06007504031727205,0.6739532634600149,0.006706509449480801,0.5252824132364585,0.01585198416934778,0.6462176129595576,0.007993664032784079,0.4704816900990193,0.005431073280494009,0.9110619480703175,0.005568946943351198,0.5178898716225117,0.005348150654759585,0.9110619480703175,0.005568946943351198
refined_single,refined_5.7400Hz,5.74,u,1,1,1,2.0,60,5,5.74,0.5 1 2 5 10 100,12.0,0.0,1.0,0.0,5.0,0.0,29.74090567140961,0.0629053298575763,0.6771120537851351,0.006268031815268052,0.5122656011658941,0.015754764765597933,0.6463603157918196,0.007595408569350617,0.4876988674850611,0.00566083323508437,0.9114036656140783,0.005898269214409698,0.5332887830851479,0.005456511517049266,0.9114036656140783,0.005898269214409698
