sample,node,dim,train_min_px,train_max_px,train_mean_px,test_min_px,test_max_px,final_test_px,final_outside_train_px,max_test_outside_train_px,max_test_outside_time_s,emphasized_node
sample_0,11,y,1334.2298829834865,1407.569951214209,1371.4420360264821,1349.0340568588758,1401.2061562302858,1358.7346554120477,0.0,0.0,14.948266744613647,False
sample_0,12,x,1011.6992858556241,1013.9578343268439,1013.0997659074591,1012.163084923051,1014.0596763824046,1013.4783180974018,0.0,0.10184205556072357,23.556866884231567,True
sample_0,12,y,2022.7496055528559,2024.2269323388641,2023.5023333202435,2022.8122206020892,2024.025150778648,2023.1393171177342,0.0,0.0,14.948266744613647,True
sample_0,13,x,1649.4647837405917,1726.0503208307189,1691.132231054875,1651.9150012288667,1725.3491288322446,1709.1269358750578,0.0,0.0,14.948266744613647,False
sample_0,13,y,1852.916023690324,2011.778333660323,1928.463703021133,1860.1116527346699,2010.4253134289775,1911.3911889492504,0.0,0.0,14.948266744613647,False
sample_0,14,x,2215.0839646588875,2282.289095219281,2250.6309354506143,2219.2760120998905,2279.7729052823315,2266.63096498412,0.0,0.0,14.948266744613647,False
sample_0,14,y,1871.2563284831572,2018.5636489700173,1937.7754962277006,1871.0066824372184,2023.972998541527,1912.8930014847958,0.0,5.409349571509665,21.42140007019043,False
sample_0,15,x,2918.0018923668104,2919.8411309236944,2919.059145930152,2918.422185323911,2919.9097783522056,2919.533366764388,0.0,0.06864742851121264,23.556866884231567,True
sample_0,15,y,2019.6586752934982,2020.8321531703614,2020.2253275393566,2019.6485909698652,2020.4615221416448,2019.8404824358379,0.0,0.010084323633009262,22.22220015525818,True
sample_1,0,x,809.2914247754381,1169.1030156884697,1034.1539340240793,792.4822059164061,1265.1012475424486,1027.050511638693,0.0,95.99823185397895,19.45276665687561,False
sample_1,0,y,176.96077967341495,182.8452772014753,179.7771111641075,176.35855267866086,186.40680171242084,184.54850421775808,1.7032270162827672,3.5615245109455316,24.057366609573364,False
sample_1,1,x,1514.9113385030582,1772.8074485916356,1669.6741137182364,1511.0189606499214,1824.694809666917,1682.7436137137836,0.0,51.88736107528143,19.45276665687561,False
sample_1,1,y,202.50408035153797,369.36921720707306,281.82748526235764,205.51456098403898,371.4545440996751,274.55323262583124,0.0,2.0853268926020405,21.087733268737793,False
sample_1,2,x,2165.8722489573306,2302.4208751271985,2247.950755256277,2175.048829015544,2311.422900968784,2254.7765092921413,0.0,9.002025841585237,21.454766511917114,False
sample_1,2,y,206.258749295286,384.67143964887714,289.6979021275439,206.94905563407426,389.0595776602528,266.1886533475675,0.0,4.388138011375645,21.087733268737793,False
sample_1,3,x,2870.32924225103,2872.2326775577417,2871.5165303378667,2865.18617772536,2872.156807145898,2865.9117443074383,-4.41749794359157,5.14306452567007,24.624599933624268,True
sample_1,3,y,175.3502807775378,176.4394001955884,175.86760509123678,175.36175749821084,180.70100030577032,180.16821802200369,3.7288178264152805,4.2616001101819165,24.624599933624268,True
sample_1,4,x,987.6000698445956,1221.146505404665,1129.2033103031915,997.7726386044113,1282.7568761579023,1193.637382176521,0.0,61.61037075323725,19.45276665687561,False
