sample,Q_extra,D,horizon_steps,lag_stride_frames,target_delay_frames_min,target_delay_frames_max,target_delay_set_frames,max_lag_frames,number_of_terms,status,selected_alpha,min_cv_train_rows,window_rows,terms_per_min_cv_train_row,train_nmse_x_mean,train_nmse_x_std,val_nmse_x_mean,val_nmse_x_std,train_nmse_y_mean,train_nmse_y_std,val_nmse_y_mean,val_nmse_y_std,train_nmse_2d_mean,train_nmse_2d_std,val_nmse_2d_mean,val_nmse_2d_std,train_val_gap_2d
sample_0,10,1,5,1,5,15,"[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",10,11,ok,0.01,441,589,0.024943310657596373,0.303388225955173,0.042786148196915584,0.4087116173676083,0.11919584290387845,0.8714146431418605,0.01597179766863474,0.9134212846613643,0.06046522623104376,0.3792975978221071,0.04466523837999601,0.48456964205489145,0.11605181212387115,0.10527204423278436
sample_0,0,2,5,1,5,5,[5],0,2,ok,0.01,449,599,0.004454342984409799,0.35806921914163803,0.05287971792631,0.4726783640533573,0.13913554586447627,0.9532276975273305,0.013188175007752712,0.9691329272454632,0.03293269785769533,0.43876135627628154,0.058136277074431975,0.551116385558394,0.14632280979799667,0.1123550292821125
sample_0,1,2,5,1,5,6,"[5, 6]",1,5,ok,1.0,448,598,0.011160714285714286,0.3496935522784549,0.05469780012737854,0.4676689117245053,0.14082206670601743,0.9409650749256986,0.009397778326720452,0.9596386455066211,0.02367953884204528,0.4298024759107269,0.059166599677485214,0.5449546129214817,0.1460056408400926,0.11515213701075483
sample_0,2,2,5,1,5,7,"[5, 6, 7]",2,9,ok,0.01,447,597,0.020134228187919462,0.3264778614619209,0.050724606335097545,0.43955835965645956,0.13927910264191182,0.9279163896887785,0.011389297436912521,0.9669839496934733,0.02138382139411335,0.4079850051855297,0.05619363526847458,0.5227596288111207,0.14556299674470727,0.11477462362559099
sample_0,3,2,5,1,5,8,"[5, 6, 7, 8]",3,14,ok,0.01,447,596,0.03131991051454139,0.3228971809922987,0.05007731621743301,0.4455130628322397,0.14457518061013133,0.9067788748900132,0.012413232042271707,0.9696817683496533,0.028468602162267508,0.4019825180314652,0.055494389185972846,0.5282370723470662,0.1510739973906412,0.126254554315601
sample_0,4,2,5,1,5,9,"[5, 6, 7, 8, 9]",4,20,ok,1.0,446,595,0.04484304932735426,0.32909987506277877,0.049696564375220166,0.45220404458795393,0.1324141315830222,0.9059550855732635,0.00809983800610389,0.9477219599584071,0.019035903559153095,0.4070688648266612,0.05437069488519002,0.5295514328370086,0.13708141592442236,0.12248256801034735
sample_0,5,2,5,1,5,10,"[5, 6, 7, 8, 9, 10]",5,27,ok,1.0,445,594,0.060674157303370786,0.32053273465876203,0.046596758390803905,0.4443241705390881,0.12471808142969294,0.9024389233841412,0.009016404593192516,0.9592498483022194,0.01632616745953174,0.3990792105955795,0.052018098169025064,0.5250520941657082,0.13191276204965693,0.1259728835701287
sample_0,6,2,5,1,5,11,"[5, 6, 7, 8, 9, 10, 11]",6,35,ok,1.0,444,593,0.07882882882882883,0.3198003372009191,0.04650734089895827,0.44767000301424587,0.12422476391107674,0.8843987479400918,0.007063717525241813,0.9486857687539445,0.01659804890452791,0.39593558948334373,0.051020948100128034,0.5257527439682642,0.12966818094779686,0.12981715448492048
sample_0,7,2,5,1,5,12,"[5, 6, 7, 8, 9, 10, 11, 12]",7,44,ok,1.0,444,592,0.0990990990990991,0.31075877196943547,0.04414811226643816,0.43720740488558374,0.11788331706824098,0.8702143244026673,0.004606908915722643,0.9427105318041531,0.013507984762941601,0.3860734423403378,0.04863781521620704,0.5157827680478106,0.12373561555474755,0.12970932570747284
sample_0,8,2,5,1,5,13,"[5, 6, 7, 8, 9, 10, 11, 12, 13]",8,54,ok,1.0,443,591,0.12189616252821671,0.30729783821203377,0.04378349961537094,0.4315342831860897,0.11557882407259695,0.8579716804478026,0.00773452635246902,0.9450257734361653,0.016897711605162978,0.3813574420476539,0.04794843767396819,0.5115140231962491,0.12164132831268662,0.13015658114859513
sample_0,9,2,5,1,5,14,"[5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",9,65,ok,1.0,442,590,0.14705882352941177,0.304841838291221,0.04365057027801453,0.43224006873777526,0.11423814768317168,0.8379202322118506,0.008183500876201575,0.9456092746608136,0.031091846655876172,0.37644455909909735,0.04716323962265287,0.5112695843502311,0.11821367291809409,0.1348250252511337
sample_0,10,2,5,1,5,15,"[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",10,77,ok,1.0,441,589,0.1746031746031746,0.30122846519848157,0.04340220415793217,0.4344890900679287,0.1145340305885055,0.8329895294583799,0.008240970793080936,0.9502387240281746,0.028559381574783414,0.37249951906040035,0.046873701867602084,0.513856177585065,0.11901090748373681,0.1413566585246646
sample_1,0,1,5,1,5,5,[5],0,1,ok,0.0001,449,599,0.0022271714922048997,0.36452739845182963,0.05497597672122556,0.4827510181441854,0.13929961425069534,0.9533277059392484,0.012110066061460862,0.9630023176401459,0.03201079741929099,0.44531207918405524,0.05899407115910219,0.559969067104374,0.1449170333200623,0.11465698792031875
sample_1,1,1,5,1,5,6,"[5, 6]",1,2,ok,1.0,448,598,0.004464285714285714,0.3569269469011086,0.056879037723555334,0.4766630831272986,0.14169269138360235,0.941553440825071,0.008369851487454222,0.9517706692348579,0.022290573148150323,0.4370248436128214,0.05997118478409197,0.552551990299896,0.1450062732143477,0.11552714668707459
