Q_extra,D,horizon_steps,lag_stride_frames,target_delay_frames_min,target_delay_frames_max,target_delay_set_frames,status,number_of_terms,number_of_terms_std_across_samples,selected_alpha,selected_alpha_std_across_samples,min_cv_train_rows,min_cv_train_rows_std_across_samples,window_rows,window_rows_std_across_samples,terms_per_min_cv_train_row,terms_per_min_cv_train_row_std_across_samples,train_nmse_x_mean,train_nmse_x_mean_std_across_samples,val_nmse_x_mean,val_nmse_x_mean_std_across_samples,train_nmse_y_mean,train_nmse_y_mean_std_across_samples,val_nmse_y_mean,val_nmse_y_mean_std_across_samples,train_nmse_2d_mean,train_nmse_2d_mean_std_across_samples,val_nmse_2d_mean,val_nmse_2d_mean_std_across_samples,train_val_gap_2d,train_val_gap_2d_std_across_samples,val_nmse_2d_cv_std_mean,num_samples,num_ok_samples
10,1,5,1,5,15,"[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",ok,11.0,0.0,0.01,0.0,441.0,0.0,589.0,0.0,0.024943310657596373,0.0,0.31007742957350864,0.004202856721772593,0.417782203539106,0.005262811973333581,0.8725396761050955,0.0010121217466383876,0.9114042793611962,0.0029325375137295743,0.3861854886947243,0.004328149328057269,0.4924983707727709,0.004603906021114272,0.10631288207804665,0.0017255946444518452,0.11700630731965966,5,5
0,2,5,1,5,5,[5],ok,2.0,0.0,0.00802,0.00396,449.0,0.0,599.0,0.0,0.004454342984409799,0.0,0.36765863470477006,0.005986633364291582,0.4829113166935245,0.005550853017621265,0.9552277438269536,0.0017010954181895196,0.9697575280083829,0.00283069390061285,0.4485240852754043,0.006088354336085571,0.5601930401826575,0.004937697424999586,0.1116689549072531,0.002709186827685412,0.1485956601248925,5,5
1,2,5,1,5,6,"[5, 6]",ok,5.0,0.0,1.0,0.0,448.0,0.0,598.0,0.0,0.011160714285714286,0.0,0.35941412059988087,0.006041743250203613,0.47861376883349094,0.005896601909140424,0.942782874662981,0.0016486710292533025,0.9595310143834294,0.0027377749061165053,0.4395286649766537,0.0060478195575988805,0.5543312016515752,0.005083286946649318,0.1148025366749215,0.002581293342899538,0.1488197690058555,5,5
2,2,5,1,5,7,"[5, 6, 7]",ok,9.0,0.0,0.01,0.0,447.0,0.0,597.0,0.0,0.020134228187919462,0.0,0.33487240323373246,0.005014783481825198,0.44871676947590355,0.004808852870830211,0.9288207462972791,0.0018110011223484465,0.9652210920276969,0.0029334861375168984,0.41644619627986523,0.005144062332785541,0.5304164931566315,0.004053383331450628,0.11397029687676637,0.0029086464598806782,0.14617067719020263,5,5
3,2,5,1,5,8,"[5, 6, 7, 8]",ok,14.0,0.0,0.01,0.0,447.0,0.0,596.0,0.0,0.03131991051454139,0.0,0.3314576711585565,0.005253948412153109,0.4557200234903778,0.005439927606515566,0.909145860432097,0.002105942621992383,0.966881052909075,0.003209093745452035,0.4107648691560747,0.005399752267644252,0.5365451184813599,0.004482996982511601,0.1257802493252853,0.002596242050089332,0.1523776400339661,5,5
4,2,5,1,5,9,"[5, 6, 7, 8, 9]",ok,20.0,0.0,0.8019999999999999,0.396,446.0,0.0,595.0,0.0,0.04484304932735426,0.0,0.33528067554433816,0.007942683256659238,0.462801994545072,0.0060641261394770996,0.9043291556302329,0.005342825917148726,0.9516093822828309,0.005339443540290579,0.41314606186984487,0.007866689309454665,0.5393966934879482,0.005286837049366041,0.1262506316181034,0.006807664228052896,0.1409279849928216,5,5
5,2,5,1,5,10,"[5, 6, 7, 8, 9, 10]",ok,27.0,0.0,1.0,0.0,445.0,0.0,594.0,0.0,0.06067415730337079,6.938893903907228e-18,0.328893841941716,0.005049723485984212,0.4548048566046524,0.005517468613420099,0.9029038153617689,0.0012406142933877385,0.9553596253305155,0.0034785895521343676,0.40742638138354687,0.005104665945034837,0.533643035155249,0.004594365153484883,0.12621665377170216,0.00281783065986368,0.1324890977817871,5,5
6,2,5,1,5,11,"[5, 6, 7, 8, 9, 10, 11]",ok,35.0,0.0,1.0,0.0,444.0,0.0,593.0,0.0,0.07882882882882883,0.0,0.3280358896868242,0.004974568296891494,0.4573426175533532,0.005194969340850375,0.8839654099593769,0.001370779234244446,0.9436031402579406,0.004250758703757058,0.4039238095915212,0.004914365028454429,0.5334577198291853,0.004249924111909605,0.1295339102376642,0.0025336293880291803,0.12957049019092284,5,5
7,2,5,1,5,12,"[5, 6, 7, 8, 9, 10, 11, 12]",ok,44.0,0.0,0.40599999999999997,0.4849989690710693,444.0,0.0,592.0,0.0,0.0990990990990991,0.0,0.30783287606107185,0.008426443642767862,0.4395775214540002,0.0048076206913978785,0.853250107272857,0.013084088415058016,0.9590561020990089,0.015541555060442552,0.382222913357391,0.008974314591986544,0.5211459592102572,0.003392459286119009,0.1389230458528662,0.009015392535820923,0.12556933505632414,5,5
8,2,5,1,5,13,"[5, 6, 7, 8, 9, 10, 11, 12, 13]",ok,54.0,0.0,1.0,0.0,443.0,0.0,591.0,0.0,0.12189616252821671,0.0,0.3146190493451796,0.004474022303163436,0.44145245651492626,0.005337854504123958,0.8564205669740247,0.0015442287723270325,0.9374814391280732,0.004964981241610781,0.38839968476052444,0.004417153230508253,0.5190196207161345,0.0041666422367731045,0.1306199359556101,0.0023728296768836653,0.122693806128318,5,5
9,2,5,1,5,14,"[5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",ok,65.0,0.0,1.0,0.0,442.0,0.0,590.0,0.0,0.14705882352941177,0.0,0.3114936398726343,0.004026037136041206,0.44308396071892187,0.0057919272661612255,0.8354585334780784,0.0016863133097189192,0.9344083061145432,0.006703627948446553,0.3826095010807588,0.0038696332636691468,0.5187311882741569,0.0042074006498942825,0.136121687193398,0.0021560048061358542,0.11979108240583462,5,5
10,2,5,1,5,15,"[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",ok,77.0,0.0,1.0,0.0,441.0,0.0,589.0,0.0,0.1746031746031746,0.0,0.3078722357990614,0.004164135959602117,0.4467159804246836,0.006593024350723789,0.8302858680002533,0.0018120329777000085,0.9411356140306607,0.006136456606244913,0.378724374272269,0.004063371280636885,0.5229950139161063,0.005146655010876524,0.1442706396438372,0.002269303952541523,0.12108909627434003,5,5
0,3,5,1,5,5,[5],ok,3.0,0.0,0.20800000000000002,0.396,449.0,0.0,599.0,0.0,0.0066815144766147,8.673617379884035e-19,0.3662653671223756,0.006000959754156768,0.49210311042132915,0.005482595839471481,0.9549033453022812,0.0016946127492302914,0.9701911530391246,0.002714034805195633,0.4472555412731703,0.006102093919320219,0.5674309219100064,0.00487271820387935,0.12017538063683605,0.002701379465360515,0.15716479616492737,5,5
