H,D,horizon_steps,lag_stride_frames,readout_time_delays,target_time_delays,number_of_terms,num_topology_sample_pairs,overparameterized_fraction,condition_warning,selected_alpha,selected_alpha_std_across_samples,min_training_rows_per_fold,min_training_rows_per_fold_std_across_samples,terms_per_training_row,terms_per_training_row_std_across_samples,train_nmse_x_mean,train_nmse_x_mean_std_across_samples,val_nmse_x_mean,val_nmse_x_mean_std_across_samples,train_nmse_y_mean,train_nmse_y_mean_std_across_samples,val_nmse_y_mean,val_nmse_y_mean_std_across_samples,train_nmse_2d_mean,train_nmse_2d_mean_std_across_samples,val_nmse_2d_mean,val_nmse_2d_mean_std_across_samples,train_validation_gap_2d,train_validation_gap_2d_std_across_samples
0,2,5,1,[0],[5],2,5,0.0,,0.004040000019999999,0.004866456599868122,448.0,0.0,0.004464285714285714,0.0,0.367609433454087,0.005834117364366491,0.48370169557893455,0.005059090067046592,0.9546447375775042,0.001487475927354798,0.9682259950239844,0.0026722346240560507,0.4482428615540896,0.005786392209916769,0.5607112743182963,0.004327175614779516,0.11246841276420674,0.0031528889483961433
1,2,5,1,"[0, 1]","[5, 6]",5,5,0.0,,1.0,0.0,447.0,0.0,0.011185682326621925,0.0,0.3593343200941996,0.005834933215365485,0.47945077696499583,0.005260506033196688,0.9425168202797944,0.0015100875214971664,0.9586317534045495,0.002423410254435571,0.43927836762489036,0.005714677644049867,0.5550661148989422,0.0043756147224665014,0.11578774727405175,0.0031244273050392976
2,2,5,1,"[0, 1, 2]","[5, 6, 7]",9,5,0.0,,0.01,0.0,447.0,0.0,0.020134228187919462,0.0,0.3348396503985468,0.004853833444329858,0.4501633866643073,0.0044742673004233595,0.9285500392243782,0.0015872940014766271,0.9647601278272531,0.0029282450399232174,0.4162357248808884,0.004833003184594022,0.5317266009485853,0.003669931957276302,0.11549087606769695,0.003282735074330829
3,2,5,1,"[0, 1, 2, 3]","[5, 6, 7, 8]",14,5,0.0,,0.01,0.0,446.0,0.0,0.03139013452914798,0.0,0.33135042879867227,0.0051377766180957084,0.4561104120872589,0.0050057105162427075,0.9089200485000515,0.0018951170462243446,0.9657548666844171,0.0029533262190569285,0.4104538106858433,0.0051356828254437575,0.5366013829729435,0.003883959025920753,0.12614757228710022,0.003072371002692113
4,2,5,1,"[0, 1, 2, 3, 4]","[5, 6, 7, 8, 9]",20,5,0.0,,0.8019999999999999,0.396,445.0,0.0,0.0449438202247191,0.0,0.335239580861334,0.00782471891346311,0.46360870112588703,0.005546127248523198,0.9044272681291385,0.005134368942418239,0.9509315260645612,0.005710725748505358,0.4129457374954736,0.007607427791466021,0.5399246297102848,0.0046360899073763714,0.12697889221481112,0.007046592407143734
5,2,5,1,"[0, 1, 2, 3, 4, 5]","[5, 6, 7, 8, 9, 10]",27,5,0.0,,1.0,0.0,444.0,0.0,0.060810810810810814,0.0,0.32890608672892585,0.004968989751752102,0.4556669983491563,0.005200959032370254,0.9031329830586394,0.0011938598220515623,0.9542242883022073,0.0034206706116135365,0.407287698110052,0.004892347827930495,0.5341502932212447,0.004102706121933619,0.1268625951111928,0.0032139879821514983
6,2,5,1,"[0, 1, 2, 3, 4, 5, 6]","[5, 6, 7, 8, 9, 10, 11]",35,5,0.0,,1.0,0.0,444.0,0.0,0.07882882882882883,0.0,0.32797321499929194,0.0049363126401581695,0.46049370192292527,0.005111648454235493,0.884274098729829,0.0014534362853511483,0.9437470278403399,0.004136655775878328,0.4037336046387501,0.004760813062847164,0.5359331437638698,0.003872009246545116,0.1321995391251197,0.0033810578149435213
7,2,5,1,"[0, 1, 2, 3, 4, 5, 6, 7]","[5, 6, 7, 8, 9, 10, 11, 12]",44,5,0.0,,0.40599999999999997,0.4849989690710693,443.0,0.0,0.09932279909706546,0.0,0.30783316702668473,0.008400701704454483,0.44017970643942717,0.004625984585615852,0.8534530995462909,0.012849590047720664,0.9582788474246687,0.015520334092366769,0.38207386708522517,0.008892372361900979,0.5214562796590243,0.0029846305397905823,0.13938241257379907,0.00895695537683367
8,2,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[5, 6, 7, 8, 9, 10, 11, 12, 13]",54,5,0.0,,1.0,0.0,442.0,0.0,0.12217194570135745,1.3877787807814457e-17,0.3146526695222972,0.0043130199858003836,0.442236699675224,0.004787063754138734,0.856878398675943,0.0015866402116616765,0.9366951903066927,0.004738822711035828,0.38831790219254486,0.004155173913376538,0.5194433367037398,0.003745996913781646,0.1311254345111949,0.0025108630191923442
9,2,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",65,5,0.0,,1.0,0.0,441.0,0.0,0.1473922902494331,0.0,0.31151325878065433,0.0038733920726376912,0.44378551964222945,0.005190619277559829,0.8359593745721348,0.0017968038430583228,0.9329266565323913,0.0063618980062231725,0.3825418187081956,0.0036148220802526654,0.5190965884734691,0.0038277785984802454,0.1365547697652736,0.0022225057756072404
10,2,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",77,5,0.0,,1.0,0.0,441.0,0.0,0.1746031746031746,0.0,0.30791012260061945,0.003997791026685136,0.44735376197387283,0.005741455261658581,0.8308565248146909,0.0019147885296678846,0.9378136530688819,0.006129350052193388,0.3786835171345648,0.003803435756847993,0.5229761270142148,0.004297178934265984,0.14429260987965004,0.0022757317836587356
