frequency_set_type,frequency_set_label,refined_frequency_hz,drive_channels,drive_smoothing_frames,number_drive_channels,K,filter_length_s,filter_length_frames,num_topology_sample_pairs,selected_frequencies_hz,decay_times_s,mechanical_degree,number_linear_features_mean,number_linear_features_std,number_candidate_features_mean,number_candidate_features_std,number_raw_features_mean,number_raw_features_std,number_drive_channels_mean,number_drive_channels_std,svd_rank_mean,svd_rank_std,condition_number_mean,condition_number_std,train_nmse_x_mean,train_nmse_x_std,train_nmse_y_mean,train_nmse_y_std,train_nmse_2d_mean,train_nmse_2d_std,validation_nmse_x_mean,validation_nmse_x_std,validation_nmse_y_mean,validation_nmse_y_std,validation_nmse_2d_mean,validation_nmse_2d_std,selection_metric_value_mean,selection_metric_value_std
refined_single,refined_5.4900Hz,5.49,u,1,1,1,3.0,90,5,5.49,0.2 0.5 1 2 5,2,10.0,0.0,65.0,0.0,65.0,0.0,1.0,0.0,22.4,0.4898979485566356,44.37257385253906,3.184515658932896,0.4495543649106172,0.003116524966213826,0.6659267653771589,0.006583172470430891,0.4578055023378106,0.0030036601732643564,0.4140068772851754,0.0037946750840901168,0.6465660151386254,0.07250753209279898,0.42129122049366996,0.002060652145773384,0.42129122049366996,0.002060652145773384
refined_single,refined_5.5000Hz,5.5,u,1,1,1,3.0,90,5,5.5,0.2 0.5 1 2 5,2,10.0,0.0,65.0,0.0,65.0,0.0,1.0,0.0,22.8,0.39999999999999997,47.303140258789064,2.2513141823445317,0.44495587223253724,0.0023818593604462476,0.6558774283690089,0.009210209550688835,0.4530002387935408,0.0021891614591203834,0.41611678640684924,0.0037394089708335286,0.6474362506461553,0.06953926039269541,0.4233599873715397,0.002300897780837418,0.4233599873715397,0.002300897780837418
refined_single,refined_5.5100Hz,5.510000000000001,u,1,1,1,3.0,90,5,5.51,0.2 0.5 1 2 5,2,10.0,0.0,65.0,0.0,65.0,0.0,1.0,0.0,22.8,0.39999999999999997,47.71906967163086,2.2683182560544184,0.44203404742155755,0.0023223057302173135,0.6533365156740725,0.009132178648257187,0.4500920092770122,0.0020139233418464872,0.4180834489788937,0.00285459540493123,0.6459648862929864,0.06837813028537272,0.42521831189808257,0.001975820875794718,0.42521831189808257,0.001975820875794718
refined_single,refined_5.5200Hz,5.5200000000000005,u,1,1,1,3.0,90,5,5.52,0.2 0.5 1 2 5,2,10.0,0.0,65.0,0.0,65.0,0.0,1.0,0.0,22.8,0.39999999999999997,47.778700256347655,2.214572335608733,0.43812440064812536,0.0025118132289773105,0.6528576870497534,0.009335386369285808,0.44631057782902894,0.002196452353021961,0.4283130889373343,0.005295617198217181,0.6498655081456363,0.0668967315916064,0.43525176197720344,0.003776685198546422,0.43525176197720344,0.003776685198546422
refined_single,refined_5.5300Hz,5.53,u,1,1,1,3.0,90,5,5.53,0.2 0.5 1 2 5,2,10.0,0.0,65.0,0.0,65.0,0.0,1.0,0.0,22.8,0.39999999999999997,47.34645385742188,1.974148659521029,0.43436940464131435,0.0024732484567030143,0.6485984661773168,0.009432266741227978,0.4425367760891902,0.0021494377451738746,0.43747560152622567,0.004425852771099862,0.6614902098811615,0.063964809948521,0.44448784978826994,0.003030643155834102,0.44448784978826994,0.003030643155834102
refined_single,refined_5.5400Hz,5.54,u,1,1,1,3.0,90,5,5.54,0.2 0.5 1 2 5,2,10.0,0.0,65.0,0.0,65.0,0.0,1.0,0.0,22.8,0.39999999999999997,47.81791610717774,2.0577927352130607,0.43238617985155037,0.002527162095039218,0.6452467170273614,0.009525425409501725,0.440502439837427,0.002167364946673601,0.4425619704237018,0.0031003447333244937,0.6678902804017175,0.06282389823800708,0.449612389829257,0.003004308295868427,0.449612389829257,0.003004308295868427
refined_single,refined_5.5500Hz,5.550000000000001,u,1,1,1,3.0,90,5,5.55,0.2 0.5 1 2 5,2,10.0,0.0,65.0,0.0,65.0,0.0,1.0,0.0,22.8,0.39999999999999997,48.999840545654294,2.509957623418339,0.4309483452502625,0.002407005845447919,0.6427381578179172,0.009658672477105104,0.43902460401380833,0.0020373245237238617,0.44845366234917805,0.003247183653180578,0.6736944097961314,0.0605933094904929,0.45549990211647484,0.002901276917702425,0.45549990211647484,0.002901276917702425
refined_single,refined_5.5600Hz,5.5600000000000005,u,1,1,1,3.0,90,5,5.56,0.2 0.5 1 2 5,2,10.0,0.0,65.0,0.0,65.0,0.0,1.0,0.0,22.8,0.39999999999999997,49.74412536621094,2.740104541540482,0.42935406473177473,0.002197977210586781,0.6407399504319526,0.00984435139277291,0.4374154802588005,0.0018679272580487908,0.4583063890136418,0.005045728079969686,0.6823271218298234,0.057085085712754294,0.4653142426676734,0.003382635843048766,0.4653142426676734,0.003382635843048766
refined_single,refined_5.5700Hz,5.57,u,1,1,1,3.0,90,5,5.57,0.2 0.5 1 2 5,2,10.0,0.0,65.0,0.0,65.0,0.0,1.0,0.0,22.6,0.4898979485566356,47.85807876586914,2.878926120320938,0.42916351984162243,0.00205448175074625,0.641340542661953,0.010213474717720683,0.4372543948348288,0.0016563540363724054,0.46157342326042405,0.005151573499274683,0.6836041091462834,0.057953683857761444,0.46851953479465414,0.004025160536790685,0.46851953479465414,0.004025160536790685
refined_single,refined_5.5800Hz,5.58,u,1,1,1,3.0,90,5,5.58,0.2 0.5 1 2 5,2,10.0,0.0,65.0,0.0,65.0,0.0,1.0,0.0,22.6,0.4898979485566356,47.089630889892575,2.012365616546363,0.42954100723727323,0.0022261703685781016,0.6412113253217591,0.010254243955635371,0.4376127621233243,0.0018145401545899664,0.4623599888802957,0.0028436910073304108,0.6841922165212221,0.06001844426579487,0.4693000121443446,0.00252769573470706,0.4693000121443446,0.00252769573470706
refined_single,refined_5.5900Hz,5.590000000000001,u,1,1,1,3.0,90,5,5.59,0.2 0.5 1 2 5,2,10.0,0.0,65.0,0.0,65.0,0.0,1.0,0.0,22.4,0.4898979485566356,45.78263397216797,1.5615836897902682,0.43045747644357873,0.00236650325698231,0.6416366048008959,0.011388279925946754,0.4385098332835372,0.0019566115604013794,0.46079612429398464,0.0023436599070900334,0.6852234136886864,0.06337399420906537,0.46781780627674935,0.003410955019528555,0.46781780627674935,0.003410955019528555
refined_single,refined_5.6000Hz,5.6000000000000005,u,1,1,1,3.0,90,5,5.6,0.2 0.5 1 2 5,2,10.0,0.0,65.0,0.0,65.0,0.0,1.0,0.0,22.2,0.4,44.92856903076172,1.3928164491824533,0.4318538989180344,0.002326142743766485,0.6417218740097131,0.010060245184312144,0.4398567965795718,0.0019986895087396165,0.45679198429579027,0.002421342156611533,0.6874164623168433,0.0646926851949678,0.4640070161545594,0.0036235992542226537,0.4640070161545594,0.0036235992542226537
refined_single,refined_5.6100Hz,5.61,u,1,1,1,3.0,90,5,5.61,0.2 0.5 1 2 5,2,10.0,0.0,65.0,0.0,65.0,0.0,1.0,0.0,22.0,0.0,44.37241821289062,0.333806490873862,0.43350952423688494,0.0022243439107345812,0.6415216306911627,0.009949412065628035,0.4414408794898672,0.0019211141094474422,0.45138437132499687,0.002244897479936138,0.6872431195925348,0.06474425830022969,0.45876221395379113,0.003307646383457172,0.45876221395379113,0.003307646383457172
refined_single,refined_5.6200Hz,5.62,u,1,1,1,3.0,90,5,5.62,0.2 0.5 1 2 5,2,10.0,0.0,65.0,0.0,65.0,0.0,1.0,0.0,22.0,0.0,44.86607131958008,0.3417484386524691,0.4352212444072265,0.0021381475026286244,0.6407862416606573,0.00998109399310811,0.4430589197989141,0.0018599828322732074,0.4450504105829249,0.0022195134490402336,0.6845820225683814,0.06460573868564326,0.45254249574617855,0.0029578246210718484,0.45254249574617855,0.0029578246210718484
refined_single,refined_5.6300Hz,5.630000000000001,u,1,1,1,3.0,90,5,5.63,0.2 0.5 1 2 5,2,10.0,0.0,65.0,0.0,65.0,0.0,1.0,0.0,22.0,0.0,45.27127914428711,0.3750284432232686,0.4369094845789373,0.002065580876857708,0.6403245500440837,0.009974734275487455,0.4446647737018675,0.0018122579551280496,0.43677085095079066,0.002430470075532254,0.6804031114915708,0.06402785669202254,0.44439025627667633,0.0025660965503723136,0.44439025627667633,0.0025660965503723136
refined_single,refined_5.6400Hz,5.640000000000001,u,1,1,1,3.0,90,5,5.64,0.2 0.5 1 2 5,2,10.0,0.0,65.0,0.0,65.0,0.0,1.0,0.0,22.0,0.0,45.10078659057617,0.41804368745113335,0.4382719032717963,0.002013888814493619,0.6399482132284139,0.009924387018550838,0.4459603872695916,0.001782722876413848,0.4266170133443998,0.0029984003408839903,0.6750022301904888,0.06270919949153145,0.43438371126110586,0.002174517269269804,0.43438371126110586,0.002174517269269804
refined_single,refined_5.6500Hz,5.65,u,1,1,1,3.0,90,5,5.65,0.2 0.5 1 2 5,2,10.0,0.0,65.0,0.0,65.0,0.0,1.0,0.0,22.0,0.0,44.14692077636719,0.43462789368084015,0.43915658782472156,0.002041010181613877,0.6393890005977056,0.009811906158803138,0.44678940773448106,0.0018176447481493766,0.4182448138288202,0.0035816348755848115,0.6715151588147923,0.06123950976833409,0.42616261760902674,0.0021866447695892814,0.42616261760902674,0.0021866447695892814
refined_single,refined_5.6600Hz,5.66,u,1,1,1,3.0,90,5,5.66,0.2 0.5 1 2 5,2,10.0,0.0,65.0,0.0,65.0,0.0,1.0,0.0,22.0,0.0,42.90946273803711,0.4295665997283017,0.44029320360173846,0.002120354915295373,0.6389644164160705,0.009645087607907934,0.44786592784951756,0.0019013117804835534,0.4128304189001706,0.003889434684758315,0.6714618124749201,0.06055423355618529,0.42091427186414754,0.0024125488495738154,0.42091427186414754,0.0024125488495738154
refined_single,refined_5.6700Hz,5.67,u,1,1,1,3.0,90,5,5.67,0.2 0.5 1 2 5,2,10.0,0.0,65.0,0.0,65.0,0.0,1.0,0.0,22.0,0.0,42.241756439208984,0.4356638154617379,0.4421440126554061,0.002182256828686523,0.6390249039517097,0.009447655688607408,0.44964802918696173,0.001976841355423432,0.40734404757754084,0.0042206367137128924,0.6722681376379167,0.060310453314979966,0.4156230373285772,0.0027942516419722776,0.4156230373285772,0.0027942516419722776
refined_single,refined_5.6800Hz,5.680000000000001,u,1,1,1,3.0,90,5,5.68,0.2 0.5 1 2 5,2,10.0,0.0,65.0,0.0,65.0,0.0,1.0,0.0,22.0,0.0,42.273258972167966,0.459302661679471,0.44469565072753525,0.0022034800708229515,0.6397977748403041,0.009226018512654244,0.4521315375690501,0.002019009679841776,0.3994943016689803,0.004668185511977129,0.6705282483960413,0.059870764027551114,0.4079625908385016,0.0032530777541885255,0.4079625908385016,0.0032530777541885255
refined_single,refined_5.6900Hz,5.69,u,1,1,1,3.0,90,5,5.69,0.2 0.5 1 2 5,2,10.0,0.0,65.0,0.0,65.0,0.0,1.0,0.0,22.0,0.0,42.45088348388672,0.4793776691539854,0.4477438082224678,0.0021851418971523154,0.6413708678813237,0.008987792241331862,0.45512325907791135,0.002022730292564152,0.38942250675805834,0.005102770165941293,0.6650870532587623,0.0590208087316068,0.39803390663551025,0.003626790699160955,0.39803390663551025,0.003626790699160955
refined_single,refined_5.7000Hz,5.7,u,1,1,1,3.0,90,5,5.7,0.2 0.5 1 2 5,2,10.0,0.0,65.0,0.0,65.0,0.0,1.0,0.0,22.0,0.0,42.56984176635742,0.49014906740969144,0.4509781895100643,0.002138224437447561,0.6435616594448367,0.008742287329378692,0.45831773159586753,0.0019949157227360896,0.378552338165996,0.005393096953686817,0.6572821725365466,0.057944025808372296,0.3872580749857784,0.003836735899426349,0.3872580749857784,0.003836735899426349
