topology,amplitude,sample,candidate_id,mode_index,raw_feature_name,drive_channel,frequency_hz,decay_time_s,phase,product_degree,factor_indices,number_factors,loading
topology_10_prestress,amp=2.5,sample_0,K1_L3,0,u_f=5.8200Hz_Td=0.500s_sin * u_f=5.8200Hz_Td=5.000s_sin,u*u,5.82*5.82,0.5*5.0,sin*sin,2,3 9,2,0.11357825249433517
topology_10_prestress,amp=2.5,sample_0,K1_L3,0,u_f=5.8200Hz_Td=1.000s_cos * u_f=5.8200Hz_Td=1.000s_cos,u*u,5.82*5.82,1.0*1.0,cos*cos,2,4 4,2,0.12448440492153168
topology_10_prestress,amp=2.5,sample_0,K1_L3,0,u_f=5.8200Hz_Td=1.000s_cos * u_f=5.8200Hz_Td=1.000s_sin,u*u,5.82*5.82,1.0*1.0,cos*sin,2,4 5,2,0.16501972079277039
topology_10_prestress,amp=2.5,sample_0,K1_L3,0,u_f=5.8200Hz_Td=1.000s_cos * u_f=5.8200Hz_Td=2.000s_cos,u*u,5.82*5.82,1.0*2.0,cos*cos,2,4 6,2,0.11433535814285278
topology_10_prestress,amp=2.5,sample_0,K1_L3,0,u_f=5.8200Hz_Td=1.000s_cos * u_f=5.8200Hz_Td=2.000s_sin,u*u,5.82*5.82,1.0*2.0,cos*sin,2,4 7,2,0.15855617821216583
topology_10_prestress,amp=2.5,sample_0,K1_L3,0,u_f=5.8200Hz_Td=1.000s_cos * u_f=5.8200Hz_Td=5.000s_cos,u*u,5.82*5.82,1.0*5.0,cos*cos,2,4 8,2,0.10441998392343521
topology_10_prestress,amp=2.5,sample_0,K1_L3,0,u_f=5.8200Hz_Td=1.000s_cos * u_f=5.8200Hz_Td=5.000s_sin,u*u,5.82*5.82,1.0*5.0,cos*sin,2,4 9,2,0.14100362360477448
topology_10_prestress,amp=2.5,sample_0,K1_L3,0,u_f=5.8200Hz_Td=1.000s_sin * u_f=5.8200Hz_Td=1.000s_sin,u*u,5.82*5.82,1.0*1.0,sin*sin,2,5 5,2,0.13165812194347382
topology_10_prestress,amp=2.5,sample_0,K1_L3,0,u_f=5.8200Hz_Td=1.000s_sin * u_f=5.8200Hz_Td=2.000s_cos,u*u,5.82*5.82,1.0*2.0,sin*cos,2,5 6,2,0.15396536886692047
topology_10_prestress,amp=2.5,sample_0,K1_L3,0,u_f=5.8200Hz_Td=1.000s_sin * u_f=5.8200Hz_Td=2.000s_sin,u*u,5.82*5.82,1.0*2.0,sin*sin,2,5 7,2,0.12107494473457336
topology_10_prestress,amp=2.5,sample_0,K1_L3,0,u_f=5.8200Hz_Td=1.000s_sin * u_f=5.8200Hz_Td=5.000s_cos,u*u,5.82*5.82,1.0*5.0,sin*cos,2,5 8,2,0.13435007631778717
topology_10_prestress,amp=2.5,sample_0,K1_L3,0,u_f=5.8200Hz_Td=1.000s_sin * u_f=5.8200Hz_Td=5.000s_sin,u*u,5.82*5.82,1.0*5.0,sin*sin,2,5 9,2,0.10339155793190002
topology_10_prestress,amp=2.5,sample_0,K1_L3,0,u_f=5.8200Hz_Td=2.000s_cos * u_f=5.8200Hz_Td=2.000s_cos,u*u,5.82*5.82,2.0*2.0,cos*cos,2,6 6,2,0.10213423520326614
topology_10_prestress,amp=2.5,sample_0,K1_L3,0,u_f=5.8200Hz_Td=2.000s_cos * u_f=5.8200Hz_Td=2.000s_sin,u*u,5.82*5.82,2.0*2.0,cos*sin,2,6 7,2,0.1477373242378235
topology_10_prestress,amp=2.5,sample_0,K1_L3,0,u_f=5.8200Hz_Td=2.000s_cos * u_f=5.8200Hz_Td=5.000s_cos,u*u,5.82*5.82,2.0*5.0,cos*cos,2,6 8,2,0.09162795543670654
topology_10_prestress,amp=2.5,sample_0,K1_L3,0,u_f=5.8200Hz_Td=2.000s_cos * u_f=5.8200Hz_Td=5.000s_sin,u*u,5.82*5.82,2.0*5.0,cos*sin,2,6 9,2,0.13059906661510468
topology_10_prestress,amp=2.5,sample_0,K1_L3,0,u_f=5.8200Hz_Td=2.000s_sin * u_f=5.8200Hz_Td=2.000s_sin,u*u,5.82*5.82,2.0*2.0,sin*sin,2,7 7,2,0.1063627079129219
topology_10_prestress,amp=2.5,sample_0,K1_L3,0,u_f=5.8200Hz_Td=2.000s_sin * u_f=5.8200Hz_Td=5.000s_cos,u*u,5.82*5.82,2.0*5.0,sin*cos,2,7 8,2,0.12914729118347168
topology_10_prestress,amp=2.5,sample_0,K1_L3,0,u_f=5.8200Hz_Td=2.000s_sin * u_f=5.8200Hz_Td=5.000s_sin,u*u,5.82*5.82,2.0*5.0,sin*sin,2,7 9,2,0.08824339509010315
topology_10_prestress,amp=2.5,sample_0,K1_L3,0,u_f=5.8200Hz_Td=5.000s_cos * u_f=5.8200Hz_Td=5.000s_cos,u*u,5.82*5.82,5.0*5.0,cos*cos,2,8 8,2,0.08068058639764786
topology_10_prestress,amp=2.5,sample_0,K1_L3,0,u_f=5.8200Hz_Td=5.000s_cos * u_f=5.8200Hz_Td=5.000s_sin,u*u,5.82*5.82,5.0*5.0,cos*sin,2,8 9,2,0.11392207443714142
topology_10_prestress,amp=2.5,sample_0,K1_L3,0,u_f=5.8200Hz_Td=5.000s_sin * u_f=5.8200Hz_Td=5.000s_sin,u*u,5.82*5.82,5.0*5.0,sin*sin,2,9 9,2,0.07169714570045471
topology_10_prestress,amp=2.5,sample_0,K1_L3,1,u_f=5.8200Hz_Td=0.200s_cos,u,5.82,0.2,cos,1,0,1,0.041690435260534286
topology_10_prestress,amp=2.5,sample_0,K1_L3,1,u_f=5.8200Hz_Td=0.200s_sin,u,5.82,0.2,sin,1,1,1,0.049496132880449295
topology_10_prestress,amp=2.5,sample_0,K1_L3,1,u_f=5.8200Hz_Td=0.500s_cos,u,5.82,0.5,cos,1,2,1,0.029857786372303963
topology_10_prestress,amp=2.5,sample_0,K1_L3,1,u_f=5.8200Hz_Td=0.500s_sin,u,5.82,0.5,sin,1,3,1,0.05059580132365227
topology_10_prestress,amp=2.5,sample_0,K1_L3,1,u_f=5.8200Hz_Td=1.000s_cos,u,5.82,1.0,cos,1,4,1,0.014558577910065651
topology_10_prestress,amp=2.5,sample_0,K1_L3,1,u_f=5.8200Hz_Td=1.000s_sin,u,5.82,1.0,sin,1,5,1,0.0509834848344326
topology_10_prestress,amp=2.5,sample_0,K1_L3,1,u_f=5.8200Hz_Td=2.000s_cos,u,5.82,2.0,cos,1,6,1,0.001454578130505979
topology_10_prestress,amp=2.5,sample_0,K1_L3,1,u_f=5.8200Hz_Td=2.000s_sin,u,5.82,2.0,sin,1,7,1,0.05097157508134842
topology_10_prestress,amp=2.5,sample_0,K1_L3,1,u_f=5.8200Hz_Td=5.000s_cos,u,5.82,5.0,cos,1,8,1,-0.006535402964800596
topology_10_prestress,amp=2.5,sample_0,K1_L3,1,u_f=5.8200Hz_Td=5.000s_sin,u,5.82,5.0,sin,1,9,1,0.04856596514582634
topology_10_prestress,amp=2.5,sample_0,K1_L3,1,u_f=5.8200Hz_Td=0.200s_cos * u_f=5.8200Hz_Td=0.200s_cos,u*u,5.82*5.82,0.2*0.2,cos*cos,2,0 0,2,-0.024065915495157242
topology_10_prestress,amp=2.5,sample_0,K1_L3,1,u_f=5.8200Hz_Td=0.200s_cos * u_f=5.8200Hz_Td=0.200s_sin,u*u,5.82*5.82,0.2*0.2,cos*sin,2,0 1,2,0.02984796278178692
topology_10_prestress,amp=2.5,sample_0,K1_L3,1,u_f=5.8200Hz_Td=0.200s_cos * u_f=5.8200Hz_Td=0.500s_cos,u*u,5.82*5.82,0.2*0.5,cos*cos,2,0 2,2,-0.06704255193471909
topology_10_prestress,amp=2.5,sample_0,K1_L3,1,u_f=5.8200Hz_Td=0.200s_cos * u_f=5.8200Hz_Td=0.500s_sin,u*u,5.82*5.82,0.2*0.5,cos*sin,2,0 3,2,0.05278981477022171
topology_10_prestress,amp=2.5,sample_0,K1_L3,1,u_f=5.8200Hz_Td=0.200s_cos * u_f=5.8200Hz_Td=1.000s_cos,u*u,5.82*5.82,0.2*1.0,cos*cos,2,0 4,2,-0.11664968729019165
topology_10_prestress,amp=2.5,sample_0,K1_L3,1,u_f=5.8200Hz_Td=0.200s_cos * u_f=5.8200Hz_Td=1.000s_sin,u*u,5.82*5.82,0.2*1.0,cos*sin,2,0 5,2,0.08168141543865204
topology_10_prestress,amp=2.5,sample_0,K1_L3,1,u_f=5.8200Hz_Td=0.200s_cos * u_f=5.8200Hz_Td=2.000s_cos,u*u,5.82*5.82,0.2*2.0,cos*cos,2,0 6,2,-0.1580158919095993
topology_10_prestress,amp=2.5,sample_0,K1_L3,1,u_f=5.8200Hz_Td=0.200s_cos * u_f=5.8200Hz_Td=2.000s_sin,u*u,5.82*5.82,0.2*2.0,cos*sin,2,0 7,2,0.11388436704874039
topology_10_prestress,amp=2.5,sample_0,K1_L3,1,u_f=5.8200Hz_Td=0.200s_cos * u_f=5.8200Hz_Td=5.000s_cos,u*u,5.82*5.82,0.2*5.0,cos*cos,2,0 8,2,-0.17965887486934662
topology_10_prestress,amp=2.5,sample_0,K1_L3,1,u_f=5.8200Hz_Td=0.200s_cos * u_f=5.8200Hz_Td=5.000s_sin,u*u,5.82*5.82,0.2*5.0,cos*sin,2,0 9,2,0.13776808977127075
topology_10_prestress,amp=2.5,sample_0,K1_L3,1,u_f=5.8200Hz_Td=0.200s_sin * u_f=5.8200Hz_Td=0.200s_sin,u*u,5.82*5.82,0.2*0.2,sin*sin,2,1 1,2,0.07966849952936172
topology_10_prestress,amp=2.5,sample_0,K1_L3,1,u_f=5.8200Hz_Td=0.200s_sin * u_f=5.8200Hz_Td=0.500s_cos,u*u,5.82*5.82,0.2*0.5,sin*cos,2,1 2,2,-0.014488974586129189
topology_10_prestress,amp=2.5,sample_0,K1_L3,1,u_f=5.8200Hz_Td=0.200s_sin * u_f=5.8200Hz_Td=0.500s_sin,u*u,5.82*5.82,0.2*0.5,sin*sin,2,1 3,2,0.10425423085689545
