topology,amplitude,sample,K,frequency_set_type,frequency_set_label,refined_frequency_hz,drive_channels,drive_smoothing_frames,number_drive_channels,filter_length_s,filter_length_frames,selected_frequencies_hz,decay_times_s,mechanical_degree,number_linear_features,number_candidate_features,number_raw_features,svd_rank,condition_number,train_nmse_x,train_nmse_y,train_nmse_2d,validation_nmse_x,validation_nmse_y,validation_nmse_2d,selection_metric_value
topology_10_prestress,amp=2.5,sample_2,1,refined_single,refined_6.0100Hz,6.010000000000001,u,1,1,3.0,90,6.01,0.2 0.5 1 2 5,2,10,65,65,20,37.78749084472656,0.4282065487977611,0.640240034857793,0.4360709514925837,0.35932778362380585,0.5489170355789952,0.36506221660984023,0.36506221660984023
topology_10_prestress,amp=2.5,sample_2,1,refined_single,refined_6.0200Hz,6.0200000000000005,u,1,1,3.0,90,6.02,0.2 0.5 1 2 5,2,10,65,65,20,36.25052261352539,0.4323830673964388,0.6425831520770259,0.44017946853633205,0.3562805452538702,0.5458625184329525,0.36201475808157096,0.36201475808157096
topology_10_prestress,amp=2.5,sample_2,1,refined_single,refined_6.0300Hz,6.03,u,1,1,3.0,90,6.03,0.2 0.5 1 2 5,2,10,65,65,20,35.15374755859375,0.436854335995006,0.645430857148869,0.44459051854578857,0.3535019606798281,0.5434749067123589,0.3592479991126423,0.3592479991126423
topology_10_prestress,amp=2.5,sample_2,1,refined_single,refined_6.0400Hz,6.04,u,1,1,3.0,90,6.04,0.2 0.5 1 2 5,2,10,65,65,21,46.391727447509766,0.44113216284225715,0.6449306973050705,0.4486911280482363,0.34933650906113745,0.554386323216683,0.3555385717094548,0.3555385717094548
topology_10_prestress,amp=2.5,sample_2,1,refined_single,refined_6.0500Hz,6.050000000000001,u,1,1,3.0,90,6.05,0.2 0.5 1 2 5,2,10,65,65,21,44.12287139892578,0.4454902754065496,0.6489590236820523,0.4530370087173298,0.34749457219769436,0.5542789200168817,0.35374909861678755,0.35374909861678755
topology_10_prestress,amp=2.5,sample_2,1,refined_single,refined_6.0600Hz,6.0600000000000005,u,1,1,3.0,90,6.06,0.2 0.5 1 2 5,2,10,65,65,21,41.89385986328125,0.44933584627083545,0.6532920590792122,0.4569006598266617,0.3465045342271214,0.5543230850572669,0.35279034178583263,0.35279034178583263
topology_10_prestress,amp=2.5,sample_2,1,refined_single,refined_6.0700Hz,6.07,u,1,1,3.0,90,6.07,0.2 0.5 1 2 5,2,10,65,65,21,39.872982025146484,0.45239125861659346,0.6574473806597055,0.4599968682245453,0.3466921350638549,0.5549194257658989,0.3529903056198343,0.3529903056198343
topology_10_prestress,amp=2.5,sample_2,1,refined_single,refined_6.0800Hz,6.08,u,1,1,3.0,90,6.08,0.2 0.5 1 2 5,2,10,65,65,21,38.38105010986328,0.4544306347197006,0.6609536358098667,0.46209065142978084,0.34826995405928074,0.5565033429404107,0.3545683090645309,0.3545683090645309
topology_10_prestress,amp=2.5,sample_2,1,refined_single,refined_6.0900Hz,6.090000000000001,u,1,1,3.0,90,6.09,0.2 0.5 1 2 5,2,10,65,65,21,37.88026428222656,0.45533201382931143,0.663464025399041,0.4630517093504445,0.35116004306103227,0.559239892123753,0.35745375400661,0.35745375400661
topology_10_prestress,amp=2.5,sample_2,1,refined_single,refined_6.1000Hz,6.1000000000000005,u,1,1,3.0,90,6.1,0.2 0.5 1 2 5,2,10,65,65,21,37.86371994018555,0.455140657140391,0.6648737888768306,0.46291973881787035,0.35484545101557924,0.562740643149306,0.3611335767142414,0.3611335767142414
topology_10_prestress,amp=2.5,sample_2,1,refined_single,refined_6.1100Hz,6.11,u,1,1,3.0,90,6.11,0.2 0.5 1 2 5,2,10,65,65,22,46.98716354370117,0.4538375450441314,0.6653745362846004,0.46168353255713784,0.36171958704874013,0.5672835508692107,0.3679372009836833,0.3679372009836833
topology_10_prestress,amp=2.5,sample_2,1,refined_single,refined_6.1200Hz,6.12,u,1,1,3.0,90,6.12,0.2 0.5 1 2 5,2,10,65,65,22,47.01167297363281,0.4524083893777389,0.6654609296725628,0.46031058918196743,0.36446548154598096,0.5701548819926864,0.3706868895141815,0.3706868895141815
topology_10_prestress,amp=2.5,sample_2,1,refined_single,refined_6.1300Hz,6.130000000000001,u,1,1,3.0,90,6.13,0.2 0.5 1 2 5,2,10,65,65,22,47.27120590209961,0.4507189981705139,0.6654383417550344,0.4586830203431184,0.36720272069643617,0.5728631824378778,0.373423253366779,0.373423253366779
topology_10_prestress,amp=2.5,sample_2,1,refined_single,refined_6.1400Hz,6.140000000000001,u,1,1,3.0,90,6.14,0.2 0.5 1 2 5,2,10,65,65,22,47.73015594482422,0.44892676389933506,0.6653556121053984,0.45695419224896466,0.36931991124304514,0.5743970056181764,0.3755227990256435,0.3755227990256435
topology_10_prestress,amp=2.5,sample_2,1,refined_single,refined_6.1500Hz,6.15,u,1,1,3.0,90,6.15,0.2 0.5 1 2 5,2,10,65,65,22,48.378360748291016,0.4470352722679839,0.665053282282011,0.4551216432338832,0.3707575502495892,0.574804934936987,0.3769292928003848,0.3769292928003848
topology_10_prestress,amp=2.5,sample_2,1,refined_single,refined_6.1600Hz,6.16,u,1,1,3.0,90,6.16,0.2 0.5 1 2 5,2,10,65,65,22,49.224056243896484,0.445023958419468,0.6642527060825338,0.453155236105559,0.371975281917492,0.5753239582868381,0.37812589090725873,0.37812589090725873
topology_10_prestress,amp=2.5,sample_2,1,refined_single,refined_6.1700Hz,6.17,u,1,1,3.0,90,6.17,0.2 0.5 1 2 5,2,10,65,65,22,50.27896499633789,0.4429092198049114,0.6626840592398257,0.45106075224265474,0.3735889493046599,0.5776635001366532,0.37976151353935456,0.37976151353935456
topology_10_prestress,amp=2.5,sample_2,1,refined_single,refined_6.1800Hz,6.180000000000001,u,1,1,3.0,90,6.18,0.2 0.5 1 2 5,2,10,65,65,22,51.545257568359375,0.4408290888048464,0.6605284695502415,0.4489778224510772,0.37559618322128635,0.5821057933755514,0.3818423997561855,0.3818423997561855
topology_10_prestress,amp=2.5,sample_2,1,refined_single,refined_6.1900Hz,6.19,u,1,1,3.0,90,6.19,0.2 0.5 1 2 5,2,10,65,65,22,52.997406005859375,0.4390699386283136,0.6586126399928385,0.44721286097667806,0.37737828778845084,0.5873585515306482,0.3837294798439157,0.3837294798439157
topology_10_prestress,amp=2.5,sample_2,1,refined_single,refined_6.2000Hz,6.2,u,1,1,3.0,90,6.2,0.2 0.5 1 2 5,2,10,65,65,21,43.844120025634766,0.43974454637437466,0.6609995294832148,0.4479509779043054,0.3723769388068064,0.5855159513542716,0.3788236723191673,0.3788236723191673
topology_10_prestress,amp=2.5,sample_2,1,refined_single,refined_6.2100Hz,6.210000000000001,u,1,1,3.0,90,6.21,0.2 0.5 1 2 5,2,10,65,65,21,44.370704650878906,0.43772628473363057,0.6599069108935789,0.445967048716613,0.3750320179253052,0.5908121229524553,0.3815586355433236,0.3815586355433236
topology_10_prestress,amp=2.5,sample_2,1,refined_single,refined_6.2200Hz,6.220000000000001,u,1,1,3.0,90,6.22,0.2 0.5 1 2 5,2,10,65,65,21,44.50288772583008,0.4356336344717884,0.6589929745299159,0.4439181174018554,0.37792669023776887,0.5960831915124818,0.384525185796595,0.384525185796595
topology_10_prestress,amp=2.5,sample_2,1,refined_single,refined_6.2300Hz,6.23,u,1,1,3.0,90,6.23,0.2 0.5 1 2 5,2,10,65,65,21,44.37301254272461,0.4333231995535343,0.657864170600655,0.4416515096266949,0.38113043846189104,0.6009595598317354,0.38777952511566466,0.38777952511566466
topology_10_prestress,amp=2.5,sample_2,1,refined_single,refined_6.2400Hz,6.24,u,1,1,3.0,90,6.24,0.2 0.5 1 2 5,2,10,65,65,21,44.31059265136719,0.43086232207226044,0.6563370631066904,0.43922526602962914,0.38458951127257646,0.6053071792949168,0.391265473454267,0.391265473454267
topology_10_prestress,amp=2.5,sample_2,1,refined_single,refined_6.2500Hz,6.25,u,1,1,3.0,90,6.25,0.2 0.5 1 2 5,2,10,65,65,21,44.70321273803711,0.4284350423512267,0.6544666130286777,0.43681863933197695,0.38807846193941076,0.6090650679556602,0.39476255858488335,0.39476255858488335
