topology,amplitude,sample,mode_index,raw_R2_train,raw_R2_validation,raw_R2_trainval,capacity_validation,capacity_used,capacity_target_window,c_mech_x,c_mech_y,c_mech_2d,contribution_x,contribution_y,contribution_2d,dominant_raw_feature_name,dominant_product_degree,dominant_frequency_hz,dominant_decay_time_s,dominant_phase,dominant_raw_feature_loading
topology_17_prestress,amp=1,sample_0,1,0.2516697511528675,-0.026996751893432203,0.10262832575088332,0.0,0.0,validation,0.014938123524188995,0.0004921451909467578,0.01219954900443554,0.0,0.0,0.0,u_f=5.8200Hz_Td=1.000s_sin * u_f=5.8200Hz_Td=5.000s_sin,2,5.82*5.82,1.0*5.0,sin*sin,0.20596882700920105
topology_17_prestress,amp=1,sample_0,2,0.808741281613136,0.8370965080371341,0.827602361737129,0.8370965080371341,0.8370965080371341,validation,0.16650058329105377,0.0006637818878516555,0.1350623220205307,0.13937705755233765,0.0005556495161727071,0.11306019872426987,u_f=5.8200Hz_Td=0.500s_sin,1,5.82,0.5,sin,0.33733394742012024
topology_17_prestress,amp=1,sample_0,3,0.20994804430091318,0.06777992045220393,0.14686068726445067,0.06777992045220393,0.06777992045220393,validation,1.3230876902525779e-05,0.0029294732958078384,0.000566073227673769,8.967878102339455e-07,0.00019855947175528854,3.836839823634364e-05,u_f=5.8200Hz_Td=5.000s_cos * u_f=5.8200Hz_Td=5.000s_sin,2,5.82*5.82,5.0*5.0,cos*sin,0.3094237446784973
topology_17_prestress,amp=1,sample_0,4,0.16607954129437175,0.12896880162007562,0.1870112815044057,0.12896880162007562,0.12896880162007562,validation,0.00030417690868489444,1.9093685921234282e-07,0.0002465492289047688,3.9229333196999505e-05,2.462489945287416e-08,3.179716077283956e-05,u_f=5.8200Hz_Td=2.000s_cos * u_f=5.8200Hz_Td=5.000s_cos,2,5.82*5.82,2.0*5.0,cos*cos,-0.22585122287273407
topology_17_prestress,amp=1,sample_0,5,0.6279899847813117,0.2753665666048255,0.4685815108071587,0.2753665666048255,0.2753665666048255,validation,0.04202381148934364,0.49578383564949036,0.12804469466209412,0.011571953073143959,0.1365222930908203,0.03525922819972038,u_f=5.8200Hz_Td=5.000s_sin,1,5.82,5.0,sin,-0.46098873019218445
topology_17_prestress,amp=1,sample_0,6,0.16973976665182733,-0.038901375423259,0.05232211122078523,0.0,0.0,validation,0.0011097709648311138,0.029226690530776978,0.006439994554966688,0.0,0.0,0.0,u_f=5.8200Hz_Td=0.200s_sin * u_f=5.8200Hz_Td=5.000s_cos,2,5.82*5.82,0.2*5.0,sin*cos,0.33553189039230347
topology_17_prestress,amp=1,sample_0,7,0.12503668028032977,-0.17030673273896757,-0.05235361644335579,0.0,0.0,validation,2.9339546017581597e-05,1.4933922102500219e-05,2.6608622647472657e-05,0.0,0.0,0.0,u_f=5.8200Hz_Td=5.000s_sin * u_f=5.8200Hz_Td=5.000s_sin,2,5.82*5.82,5.0*5.0,sin*sin,-0.38312655687332153
topology_17_prestress,amp=1,sample_0,8,0.6314163842778422,0.423803706005326,0.5202486650813314,0.423803706005326,0.423803706005326,validation,0.15695235133171082,0.004219079855829477,0.12799817323684692,0.06651698797941208,0.0017880616942420602,0.05424610152840614,u_f=5.8200Hz_Td=5.000s_cos,1,5.82,5.0,cos,0.4539448916912079
topology_17_prestress,amp=1,sample_0,9,0.1206649688721253,-0.053032611641623095,0.022724572030075163,0.0,0.0,validation,0.0032478366047143936,0.001946188393048942,0.003001078497618437,0.0,0.0,0.0,u_f=5.8200Hz_Td=5.000s_cos * u_f=5.8200Hz_Td=5.000s_sin,2,5.82*5.82,5.0*5.0,cos*sin,-0.3454451560974121
topology_17_prestress,amp=1,sample_0,10,0.1432554340237695,-0.18260521268654095,0.027946878786601737,0.0,0.0,validation,0.009346920996904373,0.010942963883280754,0.009649488143622875,0.0,0.0,0.0,u_f=5.8200Hz_Td=5.000s_sin * u_f=5.8200Hz_Td=5.000s_sin,2,5.82*5.82,5.0*5.0,sin*sin,-0.3051105737686157
