topology,amplitude,sample,hidden_node,reference_node,horizon_steps,H_cut,D_cut,basis_index,basis_term,total_degree,max_readout_time_delay,max_target_time_delay,max_lag_frames,exponents,coefficient_x,coefficient_y,p_alpha_norm_sq,c_alpha_x,c_alpha_y,c_alpha
topology_10_prestress,amp=2.5,sample_1,10,0,5,27,1,9,P1(u[target-23]),1,18,23,18,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0,33.90525817871094,0.09372341632843018,272.09521484375,0.0638400804779029,1.4398245812251745e-05,0.06174851627612825
topology_10_prestress,amp=2.5,sample_1,10,0,5,27,1,10,P1(u[target-22]),1,17,22,17,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0,-25.817039489746094,5.921863555908203,272.41229248046875,0.03705765973168169,0.05754875762810896,0.037729151916589015
topology_10_prestress,amp=2.5,sample_1,10,0,5,27,1,11,P1(u[target-21]),1,16,21,16,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0,-23.244295120239258,-1.333770751953125,272.5509033203125,0.03005514291917787,0.0029208043247969397,0.02916595209100205
topology_10_prestress,amp=2.5,sample_1,10,0,5,27,1,12,P1(u[target-20]),1,15,20,15,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0,59.11453628540039,-10.885470390319824,272.5906982421875,0.19441869181507512,0.19457986230394803,0.1944239733633974
topology_10_prestress,amp=2.5,sample_1,10,0,5,27,1,13,P1(u[target-19]),1,14,19,14,0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0,-21.020923614501953,16.991857528686523,272.6213684082031,0.02458679338605741,0.4741699934687087,0.03931961086841217
topology_10_prestress,amp=2.5,sample_1,10,0,5,27,1,14,P1(u[target-18]),1,13,18,13,0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-44.791175842285156,-12.470564842224121,272.6043395996094,0.11162361988344964,0.2553862274982499,0.1163347128655425
topology_10_prestress,amp=2.5,sample_1,10,0,5,27,1,15,P1(u[target-17]),1,12,17,12,0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,47.92661666870117,3.4879133701324463,272.49884033203125,0.12774873593049593,0.01997047965270133,0.12421684822202442
topology_10_prestress,amp=2.5,sample_1,10,0,5,27,1,16,P1(u[target-16]),1,11,16,11,0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,4.799340724945068,-1.4554510116577148,272.2821044921875,0.0012800315539033883,0.0034746154087776818,0.0013519479497510123
topology_10_prestress,amp=2.5,sample_1,10,0,5,27,1,17,P1(u[target-15]),1,10,15,10,0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,5.02079963684082,-0.3039858937263489,272.18255615234375,0.0014003754207323727,0.000151516387849051,0.0013594503768488877
topology_10_prestress,amp=2.5,sample_1,10,0,5,27,1,18,P1(u[target-14]),1,9,14,9,0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-42.056861877441406,2.530710458755493,272.11846923828125,0.09823588401563035,0.010498696884643978,0.09536074107394928
topology_10_prestress,amp=2.5,sample_1,10,0,5,27,1,19,P1(u[target-13]),1,8,13,8,0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,32.894989013671875,4.141003131866455,271.95068359375,0.06006037732774004,0.028092716129444247,0.05901279877568192
topology_10_prestress,amp=2.5,sample_1,10,0,5,27,1,20,P1(u[target-12]),1,7,12,7,0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,15.433897972106934,-16.35059928894043,271.64678955078125,0.013206697692238862,0.43748622712273955,0.027110315237222266
topology_10_prestress,amp=2.5,sample_1,10,0,5,27,1,21,P1(u[target-11]),1,6,11,6,0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-63.7418212890625,13.899467468261719,271.3095703125,0.22498442819809483,0.31575765958307445,0.22795906214801245
topology_10_prestress,amp=2.5,sample_1,10,0,5,27,1,22,P1(u[target-10]),1,5,10,5,0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-3.0130279064178467,5.901285171508789,270.87103271484375,0.0005018885430088603,0.056826148930747014,0.002347631551129755
topology_10_prestress,amp=2.5,sample_1,10,0,5,27,1,23,P1(u[target-9]),1,4,9,4,0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,100.0875015258789,-2.996445417404175,270.44854736328125,0.5529460493423076,0.014628165098614403,0.5353054009938113
topology_10_prestress,amp=2.5,sample_1,10,0,5,27,1,24,P1(u[target-8]),1,3,8,3,0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-131.2352752685547,-0.3068755865097046,270.078369140625,0.9493566255000827,0.00015321699468524104,0.9182512804414413
topology_10_prestress,amp=2.5,sample_1,10,0,5,27,1,25,P1(u[target-7]),1,2,7,2,0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,126.0688705444336,-38.53643798828125,269.85308837890625,0.87534957835205,2.4141429879472884,0.9257757562929722
topology_10_prestress,amp=2.5,sample_1,10,0,5,27,1,26,P1(u[target-6]),1,1,6,1,0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,-145.10833740234375,74.369873046875,269.64276123046875,1.1588091299246157,8.984115034238398,1.415243986944748
topology_10_prestress,amp=2.5,sample_1,10,0,5,27,1,27,P1(u[target-5]),1,0,5,0,1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0,195.8780059814453,-56.954681396484375,269.3270263671875,2.109063689627595,5.262974279906334,2.2124171714162832
topology_10_prestress,amp=2.5,sample_2,10,0,5,27,1,0,P1(u[target-32]),1,27,32,27,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1,-27.420751571655273,2.2251625061035156,274.3826599121094,0.04190225248124868,0.00844324800272046,0.040843390152336886
