topology,amplitude,sample,hidden_node,reference_node,horizon_steps,H_cut,D_cut,basis_index,basis_term,total_degree,max_readout_time_delay,max_target_time_delay,max_lag_frames,exponents,coefficient_x,coefficient_y,p_alpha_norm_sq,c_alpha_x,c_alpha_y,c_alpha,IPC_alpha_raw,IPC_alpha_clipped,weighted_contribution_raw,weighted_contribution_clipped,basis_nmse_x,basis_nmse_y,basis_nmse_2d,task_alpha_selected,basis_adequacy_label
topology_10_prestress,amp=2.5,sample_1,10,0,5,27,1,4,P1(u[target-28]),1,23,28,23,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0,17.341426849365234,-14.707338333129883,271.3231506347656,0.01665309341324912,0.35354726010626364,0.02769309728315732,0.13586913548675084,0.13586913548675084,0.0037626371868130734,0.0037626371868130734,0.28250880501689346,0.4407550223817726,0.287694525117825,0.01,fixed common H27 dictionary
topology_10_prestress,amp=2.5,sample_1,10,0,5,27,1,5,P1(u[target-27]),1,22,27,22,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0,22.290483474731445,5.905093193054199,271.33355712890625,0.027515720868281263,0.05699666938485069,0.02848180997842031,0.1661553843381275,0.1661553843381275,0.004732406083609942,0.004732406083609942,0.28250880501689346,0.4407550223817726,0.287694525117825,0.01,fixed common H27 dictionary
topology_10_prestress,amp=2.5,sample_1,10,0,5,27,1,6,P1(u[target-26]),1,21,26,21,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0,-16.7169132232666,4.636951923370361,271.3825378417969,0.015478628812682388,0.035151150465542354,0.016123296297757397,0.20255216276942667,0.20255216276942667,0.0032658085360830506,0.0032658085360830506,0.28250880501689346,0.4407550223817726,0.287694525117825,0.01,fixed common H27 dictionary
topology_10_prestress,amp=2.5,sample_1,10,0,5,27,1,7,P1(u[target-25]),1,20,25,20,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0,-16.012990951538086,1.200718641281128,271.479248046875,0.01420757522536876,0.0023578251830111327,0.01381925954864088,0.25564083330721943,0.25564083330721943,0.0035327670267033037,0.0035327670267033037,0.28250880501689346,0.4407550223817726,0.287694525117825,0.01,fixed common H27 dictionary
topology_10_prestress,amp=2.5,sample_1,10,0,5,27,1,8,P1(u[target-24]),1,19,24,19,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0,6.177332878112793,-7.5494256019592285,271.691650390625,0.002116005107523805,0.09328172510504544,0.005103500888335957,0.2908434023356411,0.2908434023356411,0.0014843195621865965,0.0014843195621865965,0.28250880501689346,0.4407550223817726,0.287694525117825,0.01,fixed common H27 dictionary
topology_10_prestress,amp=2.5,sample_1,10,0,5,27,1,9,P1(u[target-23]),1,18,23,18,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0,33.90525817871094,0.09372341632843018,272.09521484375,0.0638400804779029,1.4398245812251745e-05,0.06174851627612825,0.29658601659484796,0.29658601659484796,0.018313746472979012,0.018313746472979012,0.28250880501689346,0.4407550223817726,0.287694525117825,0.01,fixed common H27 dictionary
topology_10_prestress,amp=2.5,sample_1,10,0,5,27,1,10,P1(u[target-22]),1,17,22,17,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0,-25.817039489746094,5.921863555908203,272.41229248046875,0.03705765973168169,0.05754875762810896,0.037729151916589015,0.30216634092723815,0.30216634092723815,0.011400479780923596,0.011400479780923596,0.28250880501689346,0.4407550223817726,0.287694525117825,0.01,fixed common H27 dictionary
topology_10_prestress,amp=2.5,sample_1,10,0,5,27,1,11,P1(u[target-21]),1,16,21,16,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0,-23.244295120239258,-1.333770751953125,272.5509033203125,0.03005514291917787,0.0029208043247969397,0.02916595209100205,0.324163441590692,0.324163441590692,0.009454535407088464,0.009454535407088464,0.28250880501689346,0.4407550223817726,0.287694525117825,0.01,fixed common H27 dictionary
topology_10_prestress,amp=2.5,sample_1,10,0,5,27,1,12,P1(u[target-20]),1,15,20,15,0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0,59.11453628540039,-10.885470390319824,272.5906982421875,0.19441869181507512,0.19457986230394803,0.1944239733633974,0.3420908077226904,0.3420908077226904,0.06651065408853946,0.06651065408853946,0.28250880501689346,0.4407550223817726,0.287694525117825,0.01,fixed common H27 dictionary
topology_10_prestress,amp=2.5,sample_1,10,0,5,27,1,13,P1(u[target-19]),1,14,19,14,0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0,-21.020923614501953,16.991857528686523,272.6213684082031,0.02458679338605741,0.4741699934687087,0.03931961086841217,0.3594479404288413,0.3594479404288413,0.014133353145114241,0.014133353145114241,0.28250880501689346,0.4407550223817726,0.287694525117825,0.01,fixed common H27 dictionary
