topology,amplitude,sample,hidden_node,reference_node,horizon_steps,H_cut,D_cut,basis_index,basis_term,total_degree,max_readout_time_delay,max_target_time_delay,max_lag_frames,coefficient_x,coefficient_y,exponents
topology_15_prestress,amp=2.5,sample_3,10,0,5,1,1,1,P1(u[target-5]),1,0,5,0,249.34033203125,-37.60417175292969,1 0
topology_15_prestress,amp=2.5,sample_4,10,0,5,1,1,-1,intercept,0,,,,1047.495849609375,1026.8533935546875,
topology_15_prestress,amp=2.5,sample_4,10,0,5,1,1,0,P1(u[target-6]),1,1,6,1,-129.87232971191406,17.469009399414062,0 1
topology_15_prestress,amp=2.5,sample_4,10,0,5,1,1,1,P1(u[target-5]),1,0,5,0,249.99093627929688,-37.332191467285156,1 0
topology_16_prestress,amp=2.5,sample_0,10,0,5,1,1,-1,intercept,0,,,,968.0604858398438,1035.4510498046875,
topology_16_prestress,amp=2.5,sample_0,10,0,5,1,1,0,P1(u[target-6]),1,1,6,1,-73.70205688476562,20.541213989257812,0 1
topology_16_prestress,amp=2.5,sample_0,10,0,5,1,1,1,P1(u[target-5]),1,0,5,0,173.1140594482422,-33.81147384643555,1 0
topology_16_prestress,amp=2.5,sample_1,10,0,5,1,1,-1,intercept,0,,,,965.3880004882812,1032.8458251953125,
topology_16_prestress,amp=2.5,sample_1,10,0,5,1,1,0,P1(u[target-6]),1,1,6,1,-72.40980529785156,21.411163330078125,0 1
topology_16_prestress,amp=2.5,sample_1,10,0,5,1,1,1,P1(u[target-5]),1,0,5,0,172.07080078125,-35.5775260925293,1 0
topology_16_prestress,amp=2.5,sample_2,10,0,5,1,1,-1,intercept,0,,,,968.0902099609375,1036.080810546875,
topology_16_prestress,amp=2.5,sample_2,10,0,5,1,1,0,P1(u[target-6]),1,1,6,1,-73.15452575683594,21.288230895996094,0 1
topology_16_prestress,amp=2.5,sample_2,10,0,5,1,1,1,P1(u[target-5]),1,0,5,0,173.05233764648438,-34.83281707763672,1 0
topology_16_prestress,amp=2.5,sample_3,10,0,5,1,1,-1,intercept,0,,,,966.7197265625,1036.4814453125,
topology_16_prestress,amp=2.5,sample_3,10,0,5,1,1,0,P1(u[target-6]),1,1,6,1,-73.73338317871094,21.41629981994629,0 1
topology_16_prestress,amp=2.5,sample_3,10,0,5,1,1,1,P1(u[target-5]),1,0,5,0,173.7500457763672,-34.62808609008789,1 0
topology_16_prestress,amp=2.5,sample_4,10,0,5,1,1,-1,intercept,0,,,,967.7119750976562,1035.6234130859375,
topology_16_prestress,amp=2.5,sample_4,10,0,5,1,1,0,P1(u[target-6]),1,1,6,1,-73.4934310913086,20.469785690307617,0 1
topology_16_prestress,amp=2.5,sample_4,10,0,5,1,1,1,P1(u[target-5]),1,0,5,0,173.6245880126953,-33.61801528930664,1 0
