topology_index,topology,amplitude,sample,num_nodes,hidden_node,reference_node,horizon_steps,H_cut,D_cut,actual_test_nmse_2d,actual_test_nmse_x,actual_test_nmse_y,basis_nmse_2d,Q_twIPC_raw,Q_twIPC_clipped,generic_total_ipc_clipped
13,topology_13_prestress,amp=2.5,sample_3,16,10,0,5,1,1,0.2741358786268016,0.2739620986009663,0.27793984287184587,0.3212470456565044,1.726184930489268,1.726184930489268,1.97472874714239
13,topology_13_prestress,amp=2.5,sample_4,16,10,0,5,1,1,0.2780234051930873,0.2771676869323185,0.29667604900289246,0.32056387593831104,1.7226893939147518,1.7226893939147518,1.97518459864559
14,topology_14_prestress,amp=2.5,sample_0,16,10,0,5,1,1,0.3104232219533554,0.30193510130469264,0.7760733247775614,0.33374254323029434,1.5456151532746387,1.5456151532746387,1.9751827386747838
14,topology_14_prestress,amp=2.5,sample_1,16,10,0,5,1,1,0.2758710344439072,0.26815346740008345,0.6956802626617287,0.3308935057554348,1.5523643761487822,1.5523643761487822,1.9754975039791285
14,topology_14_prestress,amp=2.5,sample_2,16,10,0,5,1,1,0.315639151301254,0.30887013185860523,0.6863520870342126,0.3275513091608139,1.5676766989859265,1.5676766989859265,1.9748722396461376
14,topology_14_prestress,amp=2.5,sample_3,16,10,0,5,1,1,0.28068266628411903,0.27293520037944663,0.6940770086818231,0.3317388975040294,1.4335042261572752,1.4335042261572752,1.9778701703057902
14,topology_14_prestress,amp=2.5,sample_4,16,10,0,5,1,1,0.273133028288945,0.26541081295456,0.6856267936059887,0.3290791423287105,1.5641689157421281,1.5641689157421281,1.9785912847288318
15,topology_15_prestress,amp=2.5,sample_0,16,10,0,5,1,1,0.23527323570505107,0.22929010158780558,0.39309575081393433,0.29267469996470996,3.5546884634904083,3.5546884634904083,1.980148468704579
15,topology_15_prestress,amp=2.5,sample_1,16,10,0,5,1,1,0.23319327882612215,0.22672749812123696,0.40697061539374313,0.2918158778499182,3.5756016281080845,3.5756016281080845,1.979036909066778
15,topology_15_prestress,amp=2.5,sample_2,16,10,0,5,1,1,0.2518390144292499,0.24575548929075636,0.4119716381211163,0.2925804972451102,3.5983735880082013,3.5983735880082013,1.980820345838665
15,topology_15_prestress,amp=2.5,sample_3,16,10,0,5,1,1,0.23264224952156853,0.22584582212234358,0.4127156542788089,0.2915465706390158,3.6103001914764996,3.6103001914764996,1.9782820850753278
15,topology_15_prestress,amp=2.5,sample_4,16,10,0,5,1,1,0.2350012006372313,0.22785343103950495,0.4231234183470029,0.2935807006267667,3.602691934886325,3.602691934886325,1.9790771183736608
16,topology_16_prestress,amp=2.5,sample_0,16,10,0,5,1,1,0.46736210736496153,0.46494115401507397,0.559251827557298,0.4745054315686771,1.8714223662606084,1.8714223662606084,1.9658416056103216
16,topology_16_prestress,amp=2.5,sample_1,16,10,0,5,1,1,0.5388101299013509,0.5368855840222535,0.6097771582139146,0.4759062951642249,1.841399585029617,1.841399585029617,1.9673027312969273
16,topology_16_prestress,amp=2.5,sample_2,16,10,0,5,1,1,0.46380681140253976,0.4606507693498487,0.5805950984615892,0.47459012017142876,1.8585244107254117,1.8585244107254117,1.9687255820934588
16,topology_16_prestress,amp=2.5,sample_3,16,10,0,5,1,1,0.5506257058966281,0.5508706315264239,0.541287311739918,0.4737980092067013,1.8973177478514816,1.8973177478514816,1.9675211665022738
16,topology_16_prestress,amp=2.5,sample_4,16,10,0,5,1,1,0.5664152516093539,0.5660911673062349,0.5793660026760045,0.47297527475414175,1.8630874449491006,1.8630874449491006,1.96790588676634
17,topology_17_prestress,amp=1,sample_0,16,10,0,5,1,1,0.18768882035214934,0.19991707860553345,0.08186564363268196,0.4174830262327381,1.3870696509302036,1.3870696509302036,1.9776395787285463
17,topology_17_prestress,amp=1,sample_1,16,10,0,5,1,1,1.4651494392700326,1.5931628160475444,0.4105495181298605,0.4235141202381311,1.357570110836656,1.357570110836656,1.9451282321238033
17,topology_17_prestress,amp=1,sample_2,16,10,0,5,1,1,0.19421200551888743,0.20620696967430327,0.09546523472180712,0.42803852619008464,1.3441085495248575,1.3441085495248575,1.9775872867387636
17,topology_17_prestress,amp=1,sample_3,16,10,0,5,1,1,0.2066623688799555,0.22100811113863164,0.08927431802549274,0.4340145520487384,1.326280187908709,1.326280187908709,1.9775451272623774
17,topology_17_prestress,amp=1,sample_4,16,10,0,5,1,1,0.17647432050320253,0.18848004566905277,0.07854015978022354,0.43099064910621226,1.3348822887598317,1.3348822887598317,1.978957630375885
