topology_index,topology,amplitude,sample,num_nodes,hidden_node,reference_node,horizon_steps,H_cut,D_cut,actual_test_nmse_2d,actual_test_nmse_x,actual_test_nmse_y,basis_nmse_2d,Q_twIPC_raw,Q_twIPC_clipped,generic_total_ipc_clipped
12,topology_12_prestress,amp=2.5,sample_0,16,10,0,5,27,1,0.2616250759682317,0.25705864374571985,0.3872794474277292,0.27620248445307166,10.085295825222966,10.085295825222966,12.527790372962732
12,topology_12_prestress,amp=2.5,sample_1,16,10,0,5,27,1,0.2579340389254528,0.2527356265656357,0.4043701523795511,0.27656837652006455,9.432729370624632,9.432729370624632,12.197584369419
12,topology_12_prestress,amp=2.5,sample_2,16,10,0,5,27,1,0.2599023362823034,0.2537786657204841,0.4320265470136775,0.2750353452614058,9.242041479662781,9.242041479662781,12.554621591034518
12,topology_12_prestress,amp=2.5,sample_3,16,10,0,5,27,1,0.2637194699893686,0.2582231591931328,0.4156599067831777,0.2757045420703231,9.937275456909923,9.937275456909923,12.73317750930753
12,topology_12_prestress,amp=2.5,sample_4,16,10,0,5,27,1,0.2739996242088709,0.2688368960966517,0.4194999059095328,0.27572194607435596,9.840426233852174,9.840426233852174,11.629949496783755
13,topology_13_prestress,amp=2.5,sample_0,16,10,0,5,27,1,0.2921209722054473,0.29257457435654394,0.2820392842762671,0.295449445976111,11.511097536497303,11.511097536497303,11.928911332279208
13,topology_13_prestress,amp=2.5,sample_1,16,10,0,5,27,1,0.28964085788946614,0.2895559585924568,0.2915127384353023,0.2922421818469506,11.280397786739123,11.280397786739123,12.14688062615983
13,topology_13_prestress,amp=2.5,sample_2,16,10,0,5,27,1,0.3063482902061681,0.3061623305646554,0.31039590634689035,0.29373909315731644,10.168308067804553,10.168308067804553,12.02470436175423
13,topology_13_prestress,amp=2.5,sample_3,16,10,0,5,27,1,0.2741358786268016,0.2739620986009663,0.27793984287184587,0.29699831173509667,10.796290726088193,10.796290726088193,11.973257735114691
13,topology_13_prestress,amp=2.5,sample_4,16,10,0,5,27,1,0.2780234051930873,0.2771676869323185,0.29667604900289246,0.29680188458379225,10.337256767837584,10.337696294856885,10.520303278117627
14,topology_14_prestress,amp=2.5,sample_0,16,10,0,5,27,1,0.3104232219533554,0.30193510130469264,0.7760733247775614,0.3079758059028295,9.875054353512798,9.878680182878513,9.329111956859018
14,topology_14_prestress,amp=2.5,sample_1,16,10,0,5,27,1,0.2758710344439072,0.26815346740008345,0.6956802626617287,0.3055749529352871,9.567803736648074,9.567803736648074,12.366218190645958
14,topology_14_prestress,amp=2.5,sample_2,16,10,0,5,27,1,0.315639151301254,0.30887013185860523,0.6863520870342126,0.3032004219175272,8.735290433706442,8.735290433706442,13.532846286817463
14,topology_14_prestress,amp=2.5,sample_3,16,10,0,5,27,1,0.28068266628411903,0.27293520037944663,0.6940770086818231,0.29987996566784286,9.28614113810534,9.28614113810534,12.147911822707265
