H,D,horizon_steps,lag_stride_frames,readout_time_delays,target_time_delays,number_of_terms,num_topology_sample_pairs,overparameterized_fraction,ill_conditioned_fraction,num_train_rows_mean,num_train_rows_std,num_validation_rows_mean,num_validation_rows_std,terms_per_train_row_mean,terms_per_train_row_std,condition_number_mean,condition_number_std,train_nmse_x_mean,train_nmse_x_std,train_nmse_y_mean,train_nmse_y_std,train_nmse_2d_mean,train_nmse_2d_std,validation_nmse_x_mean,validation_nmse_x_std,validation_nmse_y_mean,validation_nmse_y_std,validation_nmse_2d_mean,validation_nmse_2d_std,train_validation_gap_2d_mean,train_validation_gap_2d_std
1,2,5,1,"[0, 1]","[5, 6]",5,5,0.0,0.0,299.0,0.0,299.0,0.0,0.016722408026755852,0.0,14027.388301225476,477.51264779129184,0.4371210784056432,0.0014169552299284835,0.6331622742278631,0.007842026393758583,0.44459183725942947,0.0012548288953379083,0.2809107978293651,0.003870333081010949,0.48576989165398005,0.06774906408447107,0.28732882311458374,0.001997769340409187,-0.15726301414484573,0.0022670653953075644
2,2,5,1,"[0, 1, 2]","[5, 6, 7]",9,5,0.0,0.0,299.0,0.0,299.0,0.0,0.030100334448160536,0.0,335685.2564880353,15877.665834649588,0.43493737694700485,0.001403890313712002,0.605728734749767,0.0074962266576573434,0.44144497640652586,0.0012466919945802331,0.2818004225384152,0.0038525179319502515,0.4431160929542063,0.06491354025689669,0.28686417464554903,0.0020408707078685656,-0.15458080176097688,0.0022674089737119486
3,2,5,1,"[0, 1, 2, 3]","[5, 6, 7, 8]",14,5,0.0,0.0,299.0,0.0,299.0,0.0,0.046822742474916385,0.0,2841567.1388983396,86781.37839732053,0.43095146536057793,0.0016942179732858352,0.5848011218662814,0.006268475007317485,0.4368131817778084,0.0015861750091473077,0.2840670093309773,0.004097566607388231,0.4360247232665544,0.062071110720777554,0.2888379087886615,0.0022862923447026003,-0.14797527298914695,0.0032530837198614434
4,2,5,1,"[0, 1, 2, 3, 4]","[5, 6, 7, 8, 9]",20,5,0.0,0.0,299.0,0.0,299.0,0.0,0.06688963210702341,0.0,11554182.566207368,2017848.9816425927,0.4242115251695626,0.0013504404500812154,0.5730158245314936,0.006159165541937892,0.42988224232842576,0.0013883999638389928,0.28889619951613343,0.003705270878840252,0.4398534596719704,0.06706340519298098,0.2936392255152526,0.0018026105491886141,-0.13624301681317313,0.0029286903182917214
5,2,5,1,"[0, 1, 2, 3, 4, 5]","[5, 6, 7, 8, 9, 10]",27,5,0.0,0.0,299.0,0.0,299.0,0.0,0.0903010033444816,0.0,28322025.0457219,11757920.749303702,0.4095534122247807,0.0013441614603883312,0.547810283171756,0.006655516944788144,0.4148209978432523,0.0012678549916756274,0.2955832866144633,0.0033240049635994283,0.4413361621166943,0.07961150510362326,0.300174266719048,0.0013410643225437154,-0.11464673112420423,0.002087959672013406
6,2,5,1,"[0, 1, 2, 3, 4, 5, 6]","[5, 6, 7, 8, 9, 10, 11]",35,5,0.0,0.0,299.0,0.0,299.0,0.0,0.11705685618729098,0.0,102059913.76373163,63387035.83139122,0.3998073824945247,0.0016816567253904156,0.5334611785659146,0.0058155693795903015,0.4048995535683309,0.0015679898258403639,0.30149866105966494,0.00262622667550189,0.4323910458969268,0.0713616022351624,0.3056212444809875,0.001582356690444283,-0.0992783090873435,0.002971073832223001
7,2,5,1,"[0, 1, 2, 3, 4, 5, 6, 7]","[5, 6, 7, 8, 9, 10, 11, 12]",44,5,0.0,0.0,299.0,0.0,299.0,0.0,0.14715719063545152,0.0,126414157.71725766,40924484.84381651,0.38758061183505577,0.0008462641739953143,0.5109107616306254,0.004875907240032563,0.39228077964705166,0.0007475380095084924,0.3066045158484975,0.0027079970493277417,0.40828168021928757,0.06004105338046276,0.30981037443701,0.0013208349474853431,-0.08247040521004172,0.0015205326028019377
8,2,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[5, 6, 7, 8, 9, 10, 11, 12, 13]",54,5,0.0,0.0,299.0,0.0,299.0,0.0,0.1806020066889632,0.0,165204279.55736274,76406315.65905546,0.37614785142264895,0.0006548048623613797,0.4979550193068277,0.005840462081342374,0.380790580042806,0.0006014631064560399,0.31453217737507455,0.0029105514360564123,0.4307747319736652,0.06353752492653009,0.31819451513170327,0.0008805421386989103,-0.0625960649111027,0.00032840014971163736
9,2,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",65,5,0.0,0.0,299.0,0.0,299.0,0.0,0.21739130434782608,0.0,284985046.6474833,150651453.7283728,0.36215078733371187,0.002501045506636045,0.47323386053815586,0.005441452936565212,0.3663831828861797,0.002394967740215303,0.3349754351278908,0.009978517926976998,0.46544907913510614,0.07378593374124622,0.3390918409753359,0.007802504522924305,-0.027291341910843835,0.0069700240832645775
10,2,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",77,5,0.0,0.0,299.0,0.0,299.0,0.0,0.25752508361204013,0.0,482795133.80514944,281803527.64949507,0.3415055889494386,0.0024573761764064587,0.4464857240377736,0.010517319702034985,0.3455088359275399,0.002669115874118793,0.34786488852143455,0.013831545501963577,0.4554511143770802,0.058896627828285746,0.35126106086768455,0.012051920222289835,0.005752224940144624,0.013568824504900913
