sample,H,D,number_of_terms,selected_alpha,validation_nmse_2d,train_nmse_x,test_nmse_x,train_nmse_y,test_nmse_y,train_nmse_2d,test_nmse_2d,num_train_rows,num_test_rows,terms_per_train_row
sample_2,20,1,21,1.0,0.6899671397292153,0.42248184480778445,0.27259410074604573,0.6915432277669502,0.9043077687792863,0.4724065622928324,0.3410180134452249,299,299,0.07023411371237458
sample_2,0,2,2,1.0,0.831533807500002,0.538286506536687,0.3143586265398119,0.9837295403437459,0.9510383784609157,0.6209390870516512,0.3833204394105325,299,299,0.006688963210702341
sample_2,1,2,5,0.01,0.8234462877809989,0.5309032409038151,0.30549140930353574,0.961253157450392,0.9451952507026051,0.6107552723139205,0.3747807756924174,299,299,0.016722408026755852
sample_2,2,2,9,1.0,0.8159273318462753,0.5170328173778347,0.30041939601810325,0.9512346774736261,0.9320226351102592,0.5975995823232694,0.3688313476333191,299,299,0.030100334448160536
sample_2,3,2,14,1.0,0.8246214604735728,0.5142754840690874,0.29787073031372785,0.940654382408899,0.9340700120892153,0.5933906874739241,0.3667805011771878,299,299,0.046822742474916385
sample_2,4,2,20,1.0,0.8115220325510495,0.49525765709844444,0.30525813496699444,0.9199232862664637,0.9343273914520971,0.5740549610022941,0.37339561887087175,299,299,0.06688963210702341
sample_2,5,2,27,1.0,0.7888908572145537,0.4709982083776391,0.31094689216500637,0.911457861891324,0.9523069245925359,0.5527261156803754,0.3804156484833432,299,299,0.0903010033444816
sample_2,6,2,35,1.0,0.8112808295752079,0.47010466436964155,0.31059426181058153,0.8862874781268172,0.9416566927821045,0.5473279699605176,0.37894763592541103,299,299,0.11705685618729098
sample_2,7,2,44,1.0,0.8676827468343585,0.44951838633061675,0.30008631593356966,0.8608366548348232,0.9322196450434729,0.5258390687179069,0.36855568412045747,299,299,0.14715719063545152
sample_2,8,2,54,1.0,0.9492000059376702,0.4448443678684074,0.29884370623774814,0.8414963317316261,0.9463230145407039,0.5184436968318135,0.3689752704379946,299,299,0.1806020066889632
sample_2,9,2,65,1.0,0.987170905625956,0.437808663542437,0.3089108267233377,0.8123813627238217,0.948428470626658,0.5073111539354208,0.37818002517563915,299,299,0.21739130434782608
sample_2,10,2,77,1.0,1.010290068328721,0.4317412295366369,0.3189046586095796,0.800192200929061,0.9762074310030526,0.500107824740862,0.3901002489396165,299,299,0.25752508361204013
sample_2,11,2,90,1.0,1.0273803785636473,0.42654430899580503,0.3193532732296299,0.7706700727783737,1.0163294871702144,0.4903973277650515,0.3948460827560587,299,299,0.3010033444816054
sample_2,12,2,104,1.0,1.0663975957077751,0.4108477127591086,0.31501342393993054,0.7525933309009946,1.0128381304313319,0.47425909216198664,0.3905981377311563,299,299,0.34782608695652173
sample_2,13,2,119,1.0,1.1666284376782459,0.40629575725474243,0.31658161409790664,0.7379426340251529,1.0288083422319128,0.4678333010132016,0.3937262793694185,299,299,0.3979933110367893
sample_2,14,2,135,1.0,1.15594344838426,0.3856742379715961,0.343037007340223,0.6889522846140536,1.0613129474765168,0.44194790545787277,0.4208368915422226,299,299,0.451505016722408
sample_2,15,2,152,1.0,1.1002543563625384,0.3733473029401255,0.3738263126895593,0.6679291932173883,1.0924027757347718,0.42800738639972685,0.4516587479575318,299,299,0.5083612040133779
sample_2,16,2,170,1.0,1.1257509023501049,0.3680695055624424,0.37228662240593424,0.6293469023182765,1.0974433678413535,0.41654989347542426,0.45083179936462436,299,299,0.568561872909699
sample_2,17,2,189,1.0,1.1580987529036657,0.3518696895622498,0.3756668932479941,0.6066914453432892,1.0831980925242661,0.39915222422588464,0.4523029634504165,299,299,0.6321070234113713
sample_2,18,2,209,1.0,1.2090816145249599,0.33447512879626673,0.41317675409957616,0.5754615419388387,1.1206503556971774,0.37919049620260975,0.48980658562340623,299,299,0.6989966555183946
sample_2,19,2,230,1.0,1.2645287923044088,0.3164326860180815,0.46766607288024936,0.5425921711201607,1.1380064896645967,0.3583968961031788,0.5402738324995489,299,299,0.7692307692307693
sample_2,20,2,252,1.0,1.2619360895187492,0.30666861395963385,0.5097678073586864,0.519340618806897,1.1357170327510702,0.3461302031412732,0.577567345851676,299,299,0.842809364548495
sample_3,0,1,1,1.0,0.8250425754097849,0.5575666835449035,0.2875255894665251,0.9859699227951402,0.9367757440294072,0.6375906602240131,0.35822859709012944,299,299,0.0033444816053511705
sample_3,1,1,2,1e-10,0.811756966410511,0.5533884113599453,0.27768439599759676,0.9644665709045374,0.9372024760702361,0.6301761338577032,0.34950557542369204,299,299,0.006688963210702341
sample_3,2,1,3,1.0,0.8109240149082593,0.5358737796888797,0.2766065695664427,0.956113331280013,0.935459131045918,0.6143728128311691,0.3483552743603248,299,299,0.010033444816053512
sample_3,3,1,4,0.01,0.8049710322840555,0.5171788390292097,0.26207318718360917,0.9355452300199267,0.937154364213631,0.5953279734161431,0.33558917985709663,299,299,0.013377926421404682
sample_3,4,1,5,1.0,0.7884619250855408,0.5191608904105864,0.2793789637331351,0.928162876624344,0.9334224673616329,0.5955607922034889,0.35060396460255866,299,299,0.016722408026755852
sample_3,5,1,6,1.0,0.759696226081193,0.4954172075137439,0.2827722240126525,0.9243997365589408,0.9410076204060722,0.5755493931623363,0.35445371984635543,299,299,0.020066889632107024
sample_3,6,1,7,1.0,0.7533405873150172,0.4961812583217784,0.28317091789797233,0.9033295072261525,0.9286523286632312,0.5722348895508192,0.3534635112620157,299,299,0.023411371237458192
sample_3,7,1,8,1.0,0.7457273598000523,0.47757448219628457,0.2738264729580442,0.8865817175820009,0.9265341066351277,0.5539753645130856,0.34490599827741186,299,299,0.026755852842809364
sample_3,8,1,9,0.01,0.745109747594202,0.4550575451898849,0.2626023842420791,0.8491528043171019,0.9585610234620334,0.5286729312008267,0.338391921801159,299,299,0.030100334448160536
sample_3,9,1,10,1.0,0.7416522460659906,0.4753270282643575,0.27098356075722313,0.8467542830626205,0.9334501324023996,0.5447081235800265,0.3431258293978008,299,299,0.033444816053511704
sample_3,10,1,11,1.0,0.7470396225888508,0.4752123197483168,0.27129530249151407,0.8467948292167957,0.9334908114354805,0.5446224160027509,0.34340805254346246,299,299,0.03678929765886288
sample_3,11,1,12,1.0,0.7342332101538052,0.47363682673143026,0.2708898803597789,0.8205147741434455,0.9249952430913528,0.538432211618757,0.3421216176536848,299,299,0.04013377926421405
