H,D,number_of_terms,number_of_terms_std,selected_alpha,selected_alpha_std,validation_nmse_2d,validation_nmse_2d_std,train_nmse_x,train_nmse_x_std,test_nmse_x,test_nmse_x_std,train_nmse_y,train_nmse_y_std,test_nmse_y,test_nmse_y_std,train_nmse_2d,train_nmse_2d_std,test_nmse_2d,test_nmse_2d_std,num_train_rows,num_train_rows_std,num_test_rows,num_test_rows_std,terms_per_train_row,terms_per_train_row_std,num_samples
10,1,11.0,0.0,0.20800000000000002,0.396,0.7417726665090036,0.003530596558962884,0.4481853642726093,0.014401082595710928,0.26307269564004365,0.004867799250341651,0.828923315778184,0.009282556083011187,0.9610035627578334,0.014940209593115953,0.5191677394598054,0.013320069843874367,0.3381778249371579,0.0041231337664003,299.0,0.0,299.0,0.0,0.03678929765886288,0.0,5
11,1,12.0,0.0,0.40599999999999997,0.4849989690710693,0.7313061309422274,0.004269505286827603,0.45049608534744545,0.012521800773508368,0.2649067896161023,0.003474498684690114,0.8057047720083554,0.008713073567738821,0.9490270773210184,0.016997404908532566,0.5167170003222621,0.012001606528588607,0.3385683438017034,0.0026178237946169456,299.0,0.0,299.0,0.0,0.04013377926421405,0.0,5
12,1,13.0,0.0,1.0,0.0,0.7220169157149274,0.006156521273326974,0.45180763836462434,0.006657511071649538,0.2655901975359033,0.0021257017804665046,0.8045905294442413,0.00401165043413956,0.9291953217841075,0.004084330239201787,0.5175767193688977,0.0057987194021433585,0.33701501563146297,0.002903856612595533,299.0,0.0,299.0,0.0,0.043478260869565216,0.0,5
13,1,14.0,0.0,1.0,0.0,0.732834699126957,0.005138593058943933,0.4514851162198001,0.0066047819337545135,0.2627113149572945,0.002046243001062326,0.8024028550506761,0.00451401422289685,0.9285115651393596,0.00383929970017175,0.5169057316539986,0.005841482078563029,0.3343732288945442,0.002871020906259264,299.0,0.0,299.0,0.0,0.046822742474916385,0.0,5
14,1,15.0,0.0,1.0,0.0,0.7019267299148662,0.006476066255948776,0.44042946240285163,0.005902093577920538,0.2695056034148157,0.002454725951439008,0.7582527733468215,0.005659863175638388,0.9299174021176115,0.00556315827522654,0.4996782696322617,0.0055366226060146575,0.34058317655033105,0.003062427652527602,299.0,0.0,299.0,0.0,0.05016722408026756,0.0,5
15,1,16.0,0.0,1.0,0.0,0.6824690591865771,0.007132600009988427,0.4349725276058153,0.0054742798247149295,0.27511802382195616,0.002824992430329987,0.7585438924497038,0.005369362205185291,0.9354071662258623,0.006023778405248461,0.49529287024800456,0.005130041647179676,0.3461804050966365,0.0033222902806483807,299.0,0.0,299.0,0.0,0.05351170568561873,0.0,5
16,1,17.0,0.0,1.0,0.0,0.6807640686347943,0.006617564812430818,0.43345921918866,0.005308707624382916,0.2740776228993128,0.0027329839631791393,0.7255946170135188,0.006530736609996316,0.9186146641209787,0.005427611388666707,0.48791696298960774,0.005212496266886616,0.3434465737164883,0.0033145829921206057,299.0,0.0,299.0,0.0,0.056856187290969896,0.0,5
17,1,18.0,0.0,1.0,0.0,0.6857689826917219,0.005797437254378048,0.429672584626125,0.004782502269248625,0.2703213096056727,0.0024670219276728194,0.7175828958415766,0.006343772523882338,0.9117488569940612,0.006092486146198815,0.4833423430965566,0.004726787600264752,0.33935481276458834,0.003019156991714158,299.0,0.0,299.0,0.0,0.06020066889632107,0.0,5
18,1,19.0,0.0,1.0,0.0,0.6887063285577975,0.0047307157303062035,0.4297651427707502,0.004818575889965728,0.27010011765048547,0.002440793088806628,0.712486585506485,0.006646615585037198,0.9134104948214119,0.005915200722582548,0.48246718787979975,0.004810554301561149,0.3393366644402032,0.0030218875365199574,299.0,0.0,299.0,0.0,0.06354515050167224,0.0,5
19,1,20.0,0.0,1.0,0.0,0.6813171755684028,0.006798986197067391,0.4255795306823663,0.00442629106719774,0.2724087869797768,0.002609680855973015,0.6878206478819309,0.007401629394346297,0.9099346796166202,0.006071862354131919,0.4744619431479874,0.0046354836311193635,0.3410219177167664,0.003146076156419969,299.0,0.0,299.0,0.0,0.06688963210702341,0.0,5
20,1,21.0,0.0,1.0,0.0,0.693453047549754,0.0061172393312578874,0.42238209923456066,0.004155597139687192,0.27253018153708886,0.0024758054328915735,0.6860411936171268,0.007316353074802241,0.9090368616783973,0.006646807227200753,0.47152883809997936,0.004396774692554052,0.34103234651227227,0.0029484340421891864,299.0,0.0,299.0,0.0,0.07023411371237458,0.0,5
0,2,2.0,0.0,1.0,0.0,0.830241268036642,0.0060480279364364,0.5372649516403039,0.01242889868656038,0.3127298895702874,0.0017628311147870814,0.983608672728485,0.0006024193303202804,0.9509855258175708,0.0015798082396819926,0.6204854911586725,0.009875680005850282,0.3814375425056786,0.0030108839889579336,299.0,0.0,299.0,0.0,0.006688963210702341,0.0,5
1,2,5.0,0.0,0.006039999999999999,0.0048499896907106925,0.8198521420951284,0.0065660131416477325,0.5291248726683782,0.012817937744921218,0.30414763483467205,0.0018918175880302684,0.9609323119554167,0.001304174078882704,0.9453790591615212,0.0021116286024575057,0.6096353879354165,0.010328413903416761,0.3731760147964077,0.003190432884571652,299.0,0.0,299.0,0.0,0.016722408026755852,0.0,5
2,2,9.0,0.0,1.0,0.0,0.8144552364458795,0.004451279931047957,0.5158610406060729,0.011477194767452101,0.2990147057742968,0.001610674979326082,0.9504682947240376,0.0012431832367953237,0.9321182562513399,0.0007764423837783841,0.5968928572256484,0.00920856558817631,0.367165063302321,0.0026958018962294993,299.0,0.0,299.0,0.0,0.030100334448160536,0.0,5
