train_nmse_x_mean,train_nmse_x_std,val_nmse_x_mean,val_nmse_x_std,train_nmse_y_mean,train_nmse_y_std,val_nmse_y_mean,val_nmse_y_std,train_nmse_2d_mean,train_nmse_2d_std,val_nmse_2d_mean,val_nmse_2d_std,train_validation_gap_2d,topology,amplitude,sample,H,D,horizon_steps,lag_stride_frames,readout_time_delays,target_time_delays,number_of_terms,selected_alpha,min_training_rows_per_fold,terms_per_training_row,overparameterized,condition_warning,num_usable_rows
0.2954163490923424,0.04068674049896378,0.3951532699066849,0.11848897869954733,0.4763801278393527,0.037597738580676936,0.5546610193127072,0.08472107744927095,0.3013095166945049,0.04079111513871924,0.4009109297345883,0.11704700705063635,0.09960141304008341,topology_10_prestress,amp=2.5,sample_0,10,1,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",11,0.01,441,0.024943310657596373,False,,588
0.2939959853035831,0.04060840519769196,0.39393043287818774,0.118185943285671,0.4747247627353191,0.038768311640318305,0.5560452640852547,0.09019446635020267,0.2998658168550219,0.04075920958929608,0.39977627742684557,0.11698302856558976,0.09991046057182368,topology_10_prestress,amp=2.5,sample_0,11,1,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]",12,0.01,440,0.02727272727272727,False,,587
0.29377801493911515,0.0411092094534479,0.39601288176275007,0.11902516784435488,0.4726938878486016,0.03945287922599811,0.5567364528711319,0.09405797696529664,0.2995776733199256,0.04127020035097858,0.40180244376943625,0.11796303708156226,0.10222477044951067,topology_10_prestress,amp=2.5,sample_0,12,1,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]",13,0.01,439,0.029612756264236904,False,,586
0.2930296709997203,0.04080436927108001,0.397899223843152,0.11821893438197364,0.47265426658754617,0.03951925320345047,0.5566760943247808,0.09469699499898733,0.29886382433019065,0.04097740293606819,0.40364911827729427,0.1172520016488927,0.10478529394710362,topology_10_prestress,amp=2.5,sample_0,13,1,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",14,0.01,438,0.0319634703196347,False,,585
0.29076057234925157,0.04019410415833274,0.39667376976584606,0.11706374567407102,0.4721349528608989,0.039172929193625895,0.5563422590780227,0.09391096897220542,0.2966586628987144,0.040383293989184846,0.40248805566279994,0.11619076150353957,0.10582939276408554,topology_10_prestress,amp=2.5,sample_0,14,1,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",15,0.01,438,0.03424657534246575,False,,584
0.29020863081329373,0.03993800502795631,0.3983834431580979,0.11608720906241464,0.4706157607049501,0.03980815728088159,0.5585212464172856,0.10153007378049343,0.2960488038973015,0.040136723132553564,0.4041817878874012,0.11534337932852028,0.10813298399009974,topology_10_prestress,amp=2.5,sample_0,15,1,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",16,0.01,437,0.036613272311212815,False,,583
0.2905025775345096,0.03998861807563661,0.40246789377389985,0.11653722038787431,0.4697077320840515,0.03939595482719848,0.5633565342551238,0.10718354821008545,0.29626266597380874,0.04016703456790326,0.4082234315519023,0.11596226795102646,0.11196076557809359,topology_10_prestress,amp=2.5,sample_0,16,1,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21]",17,0.01,436,0.0389908256880734,False,,582
0.2895823345013705,0.03941599157037899,0.4047501671237438,0.11600742162378233,0.4694470027470254,0.03953685259928887,0.564788700478405,0.10910069963029326,0.2953791472573391,0.03962501978781745,0.4105299216408846,0.11567828877458614,0.11515077438354548,topology_10_prestress,amp=2.5,sample_0,17,1,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",18,0.01,435,0.041379310344827586,False,,581
0.2891499908022346,0.03885801403089593,0.40921952423975383,0.11547996730686545,0.4658086223666789,0.037758289435054486,0.5623176308926847,0.10296368353622953,0.2948490300630739,0.03903387421421241,0.41476577254608205,0.11512957124391628,0.11991674248300815,topology_10_prestress,amp=2.5,sample_0,18,1,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",19,0.01,435,0.04367816091954023,False,,580
0.2888798082750676,0.03891733557876369,0.4126716035163269,0.11535656185652496,0.46668215349134645,0.03778464392539482,0.5680576857521998,0.10678282921905889,0.2946007013750996,0.039077255939329585,0.41826668522540333,0.11516817516046639,0.12366598385030375,topology_10_prestress,amp=2.5,sample_0,19,1,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]",20,0.01,434,0.04608294930875576,False,,579
