topology,amplitude,sample,H,D,fold,selected_alpha,number_of_terms,min_training_rows_per_fold,terms_per_training_row,overparameterized,condition_warning,train_nmse_x,val_nmse_x,train_nmse_y,val_nmse_y,train_nmse_2d,val_nmse_2d
topology_12_prestress,amp=2.5,sample_4,19,2,0,1.0,230,434,0.5299539170506913,False,,0.20766641826975504,0.5935744015190698,0.3933228902608995,0.7937863317022859,0.2145365009019488,0.6059630609840517
topology_12_prestress,amp=2.5,sample_4,19,2,1,1.0,230,434,0.5299539170506913,False,,0.1964259466683287,0.6321088334296404,0.40318038836921855,0.7987925622744263,0.204331471432488,0.6407472743572029
topology_12_prestress,amp=2.5,sample_4,19,2,2,1.0,230,434,0.5299539170506913,False,,0.26438502184581747,0.39004139614336863,0.4533368384865525,0.6029966014871849,0.273167092577899,0.3970367062713565
topology_12_prestress,amp=2.5,sample_4,19,2,3,1.0,230,434,0.5299539170506913,False,,0.2452370840597121,0.5006137766301398,0.44293323747150065,0.7127366439506473,0.2535542520324677,0.5096426158993537
topology_12_prestress,amp=2.5,sample_4,20,2,0,1.0,252,433,0.581986143187067,False,,0.1989259830717771,0.6301926167919218,0.380477100973447,0.8048617177681864,0.20564059190281667,0.6411203453052263
topology_12_prestress,amp=2.5,sample_4,20,2,1,1.0,252,433,0.581986143187067,False,,0.18814742170404522,0.6573403188936378,0.3959013535171239,0.7960643997233062,0.19610642713314555,0.664471751257849
topology_12_prestress,amp=2.5,sample_4,20,2,2,1.0,252,433,0.581986143187067,False,,0.25706167910070304,0.40133862326235864,0.44173189653797185,0.60909289438293,0.26564317430842677,0.4081655116681306
topology_12_prestress,amp=2.5,sample_4,20,2,3,1.0,252,433,0.581986143187067,False,,0.24041670625643854,0.5117940852215647,0.4306171466175136,0.7296388043894635,0.24843318612862106,0.5210664705134445
topology_12_prestress,amp=2.5,sample_4,21,2,0,1.0,275,432,0.6365740740740741,False,,0.1890780000346694,0.6794130049867942,0.3647251617840696,0.855654002425863,0.19557353027461377,0.690470949844586
topology_12_prestress,amp=2.5,sample_4,21,2,1,1.0,275,432,0.6365740740740741,False,,0.17825359217230996,0.7019266547552169,0.3869963888223658,0.79223112938471,0.18624303129909364,0.7065664608999135
topology_12_prestress,amp=2.5,sample_4,21,2,2,1.0,275,432,0.6365740740740741,False,,0.2468781155629204,0.414288702521411,0.42078643907866586,0.646428397310961,0.2549537486657086,0.42191690569783796
topology_12_prestress,amp=2.5,sample_4,21,2,3,1.0,275,432,0.6365740740740741,False,,0.23347195847657087,0.5149776835081183,0.41901264381856557,0.7320404575051329,0.2412874634786736,0.5242167859325995
topology_12_prestress,amp=2.5,sample_4,22,2,0,1.0,299,432,0.6921296296296297,False,,0.18488480035696586,0.7145459993189759,0.35103415902257495,0.877591971839296,0.19102909652896766,0.7245991462555695
topology_12_prestress,amp=2.5,sample_4,22,2,1,1.0,299,432,0.6921296296296297,False,,0.1699506257328658,0.7656465519063198,0.3682188082926026,0.8162606780389584,0.17749464133076084,0.7682470845421853
topology_12_prestress,amp=2.5,sample_4,22,2,2,1.0,299,432,0.6921296296296297,False,,0.23778376614755967,0.43147778467468445,0.40202605421159177,0.6717814752884019,0.24536043821419848,0.4393742600177251
topology_12_prestress,amp=2.5,sample_4,22,2,3,1.0,299,432,0.6921296296296297,False,,0.22712341885194307,0.5279685951575438,0.40614793598064186,0.73489452916853,0.23461718717675709,0.5367762311395441
topology_12_prestress,amp=2.5,sample_4,23,2,0,1.0,324,431,0.7517401392111369,False,,0.1828537324278773,0.7400986244771981,0.3418094905106452,0.9030826731791612,0.18873090179871674,0.7501572108925842
topology_12_prestress,amp=2.5,sample_4,23,2,1,1.0,324,431,0.7517401392111369,False,,0.16416764746135348,0.8296518708645937,0.3578818423694732,0.8627348424972969,0.17153325612369819,0.8313424280501799
topology_12_prestress,amp=2.5,sample_4,23,2,2,1.0,324,431,0.7517401392111369,False,,0.22742494222689133,0.4724351098346516,0.39107758787596997,0.7036842186167518,0.23496448630521138,0.4800092532801652
topology_12_prestress,amp=2.5,sample_4,23,2,3,1.0,324,431,0.7517401392111369,False,,0.22380260792776407,0.5354513597206144,0.40196679586377004,0.7382297387089639,0.2312343658331862,0.5440851860290886
