topology,amplitude,sample,H,D,horizon_steps,lag_stride_frames,readout_time_delays,target_time_delays,number_of_terms,num_train_rows,num_validation_rows,terms_per_train_row,condition_number,overparameterized,ill_conditioned,condition_warning,train_nmse_x,train_nmse_y,train_nmse_2d,validation_nmse_x,validation_nmse_y,validation_nmse_2d,train_validation_gap_2d
topology_17_prestress,amp=1,sample_3,14,1,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",15,299,299,0.05016722408026756,12332.794418138465,False,False,,0.42370366072693133,0.7423526960806038,0.48322600005048705,0.2720650933581508,0.9719256499667337,0.3482795477122996,-0.13494645233818747
topology_17_prestress,amp=1,sample_3,15,1,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]",16,299,299,0.05351170568561873,13457.92795433112,False,False,,0.42149413450365913,0.7417122126521707,0.48130956461766394,0.2732171045625682,0.972542001253629,0.34937322582743524,-0.1319363387902287
topology_17_prestress,amp=1,sample_3,16,1,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21]",17,299,299,0.056856187290969896,14588.636799245154,False,False,,0.41840380303120384,0.707257203215903,0.47236043930808286,0.27274902315523647,0.9590006215236605,0.3474814689623849,-0.12487897034569795
topology_17_prestress,amp=1,sample_3,17,1,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",18,299,299,0.06020066889632107,15680.383993746094,False,False,,0.41469116738525713,0.7042089056084444,0.46877189929640856,0.26726473278670415,0.951901271886806,0.3418212994709013,-0.12695059982550727
topology_17_prestress,amp=1,sample_3,18,1,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]",19,299,299,0.06354515050167224,16612.85922143865,False,False,,0.4131203848859142,0.6950215089558036,0.4657783643583959,0.2717586204108524,0.9663053942504937,0.3473944065567885,-0.11838395780160743
topology_17_prestress,amp=1,sample_3,19,1,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]",20,299,299,0.06688963210702341,17418.28070061237,False,False,,0.40959095811654506,0.6726144471542663,0.45872267240901815,0.27095685205541425,0.9501319690284609,0.344918672681299,-0.11380399972771915
topology_17_prestress,amp=1,sample_3,20,1,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]",21,299,299,0.07023411371237458,18175.361012143687,False,False,,0.40714048048988255,0.6724216616112261,0.4566939224494121,0.2698938105012224,0.9488835945331718,0.34383544846522374,-0.11285847398418836
topology_17_prestress,amp=1,sample_3,21,1,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]",22,299,299,0.07357859531772576,18870.969276724507,False,False,,0.405651002344081,0.6467037242532365,0.4506786670047266,0.26985155245998454,0.949226150788727,0.3438350965028194,-0.10684357050190718
topology_17_prestress,amp=1,sample_3,22,1,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]",23,299,299,0.07692307692307693,19547.77052666274,False,False,,0.3951632490319557,0.6280095333377418,0.4386579846406644,0.26612205847523857,0.9356237899154862,0.33903045239607754,-0.09962753224458687
topology_17_prestress,amp=1,sample_3,23,1,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28]",24,299,299,0.0802675585284281,20202.527871387258,False,False,,0.3950897474695381,0.6193887107686835,0.43698787839780323,0.2667127992571031,0.9434045714070886,0.340404184910084,-0.09658369348771922
topology_17_prestress,amp=1,sample_3,24,1,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",25,299,299,0.08361204013377926,20820.701949056504,False,False,,0.383889365487852,0.5878106555715665,0.4219810302254781,0.2741206275004458,0.9410080177965895,0.34674432101645136,-0.07523670920902675
topology_17_prestress,amp=1,sample_3,25,1,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]",26,299,299,0.08695652173913043,21380.294211799555,False,False,,0.38242250599412964,0.5877944037391627,0.42078513832262404,0.27338086821940744,0.940610927438711,0.3460418782047527,-0.07474326011787136
topology_17_prestress,amp=1,sample_3,26,1,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31]",27,299,299,0.0903010033444816,21893.887369561537,False,False,,0.38233207180722284,0.5774912520306257,0.4187870101831422,0.27334868421789565,0.9376068381984959,0.3456860552525651,-0.07310095493057706
topology_17_prestress,amp=1,sample_3,27,1,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]",28,299,299,0.09364548494983277,22383.912660684957,False,False,,0.38142994869234553,0.5671813190688102,0.41612754658430784,0.2708881434051822,0.9222973079771325,0.34182626610740113,-0.0743012804769067
topology_17_prestress,amp=1,sample_3,28,1,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33]",29,299,299,0.09698996655518395,22854.320732100674,False,False,,0.38124946766495676,0.5656600029900878,0.41569660304158823,0.27178844540523994,0.9254335142785978,0.3429700569349273,-0.0727265461066609
topology_17_prestress,amp=1,sample_3,29,1,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34]",30,299,299,0.10033444816053512,23347.15708394605,False,False,,0.3704366107374721,0.5365744089592264,0.4014704733984647,0.27030823411001265,0.9126237156020414,0.34025605940589676,-0.06121441399256794
topology_17_prestress,amp=1,sample_3,30,1,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35]",31,299,299,0.10367892976588629,24268.44914296184,False,False,,0.3672829590493961,0.5352911633260443,0.39866620592788254,0.2683977397305218,0.9097413554810841,0.33823972934743796,-0.06042647658044459
topology_17_prestress,amp=1,sample_3,0,2,5,1,[0],[5],2,299,299,0.006688963210702341,2.0188699955278104,False,False,,0.5541637436725078,0.9845861728223209,0.6345648967840763,0.3097304210316373,0.9519714482635668,0.3796701382969223,-0.25489475848715404
topology_17_prestress,amp=1,sample_3,1,2,5,1,"[0, 1]","[5, 6]",5,299,299,0.016722408026755852,12324.395181478812,False,False,,0.54635247537298,0.9626528790904891,0.624115691769051,0.3048498953568253,0.9471487886850721,0.37479591421021236,-0.24931977755883866
topology_17_prestress,amp=1,sample_3,2,2,5,1,"[0, 1, 2]","[5, 6, 7]",9,299,299,0.030100334448160536,223946.30959271535,False,False,,0.5131049183055928,0.9486844966560342,0.5944694058403187,0.2768972668122194,0.9453223798569675,0.3496884175439889,-0.24478098829632983
topology_17_prestress,amp=1,sample_3,3,2,5,1,"[0, 1, 2, 3]","[5, 6, 7, 8]",14,299,299,0.046822742474916385,1479257.7312610568,False,False,,0.5002555281706791,0.923641150361989,0.5793422344612383,0.2862245823565735,0.9468660882097203,0.35816810227187096,-0.22117413218936738
topology_17_prestress,amp=1,sample_3,4,2,5,1,"[0, 1, 2, 3, 4]","[5, 6, 7, 8, 9]",20,299,299,0.06688963210702341,5173527.431900496,False,False,,0.47355066089226105,0.90301995153778,0.5537737716212068,0.2993137787803443,0.9623158458559454,0.37151436259764353,-0.18225940902356325
topology_17_prestress,amp=1,sample_3,5,2,5,1,"[0, 1, 2, 3, 4, 5]","[5, 6, 7, 8, 9, 10]",27,299,299,0.0903010033444816,10712447.974635001,False,False,,0.44486468089572784,0.867371496471357,0.5237872296970917,0.3068560265078636,1.026410146533654,0.38521509978067886,-0.13857212991641282
topology_17_prestress,amp=1,sample_3,6,2,5,1,"[0, 1, 2, 3, 4, 5, 6]","[5, 6, 7, 8, 9, 10, 11]",35,299,299,0.11705685618729098,21214625.478024617,False,False,,0.4321750814860845,0.8321163029598572,0.5068824694046365,0.31771725061246975,1.0035725621943192,0.39240654099255307,-0.11447592841208348
topology_17_prestress,amp=1,sample_3,7,2,5,1,"[0, 1, 2, 3, 4, 5, 6, 7]","[5, 6, 7, 8, 9, 10, 11, 12]",44,299,299,0.14715719063545152,27856063.23948949,False,False,,0.41158738630856717,0.7921830223456122,0.4826810978213536,0.30711529076837624,1.045099601394301,0.3874814023104129,-0.09519969551094071
topology_17_prestress,amp=1,sample_3,8,2,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8]","[5, 6, 7, 8, 9, 10, 11, 12, 13]",54,299,299,0.1806020066889632,36800630.22981167,False,False,,0.39757205447933885,0.744603668551463,0.4623961436716244,0.30514068909158965,1.1283290510956818,0.39478547796903424,-0.06761066570259017
topology_17_prestress,amp=1,sample_3,9,2,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",65,299,299,0.21739130434782608,50676905.06167684,False,False,,0.38438731251174263,0.7258289975164892,0.4481672257680373,0.32658832927452863,1.1419761715779089,0.4153836455719646,-0.03278358019607269
topology_17_prestress,amp=1,sample_3,10,2,5,1,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",77,299,299,0.25752508361204013,85909108.61138901,False,False,,0.37542556101273095,0.6866418097425219,0.43355948612986933,0.3517762519530848,1.2061329554345566,0.444815257173187,0.011255771043317653
