topology,amplitude,H,D,num_samples,number_of_terms,target_time_delays,train_nmse_2d_mean,train_nmse_2d_std,validation_nmse_2d_mean,validation_nmse_2d_std,condition_number_mean,condition_number_std
topology_17_prestress,amp=1,4,2,5,20,"[5, 6, 7, 8, 9]",0.5424483247938865,0.007880967480530696,0.36849818781823507,0.004402193758738719,4759892.697937667,366813.741347598
topology_17_prestress,amp=1,4,3,5,55,"[5, 6, 7, 8, 9]",0.4642691846269894,0.007257576326408907,0.5245254419600707,0.015213780908358177,3342411385.9464397,6122651444.741155
topology_17_prestress,amp=1,4,4,5,125,"[5, 6, 7, 8, 9]",0.36304271692936385,0.009298173248311233,3.21412277185717,0.2631051117734271,17425571182.41329,28759075782.473087
topology_17_prestress,amp=1,5,1,5,6,"[5, 6, 7, 8, 9, 10]",0.5500403942383503,0.0072404616699870555,0.34353182189268516,0.0033591503407865066,2776.8939925828226,119.61698006272334
topology_17_prestress,amp=1,5,2,5,27,"[5, 6, 7, 8, 9, 10]",0.5140668502127735,0.006498510417593957,0.38195110200001037,0.004631480891310624,9991109.873567987,805717.6651638037
topology_17_prestress,amp=1,5,3,5,83,"[5, 6, 7, 8, 9, 10]",0.4027422269572182,0.00816543590401182,0.7619693131425247,0.02643719022928829,1042252501.2916958,602761841.7829716
topology_17_prestress,amp=1,5,4,5,209,"[5, 6, 7, 8, 9, 10]",0.23022767813867978,0.004927508365828004,4.762791385046352,0.6790230763987037,18722515797.866535,13358968628.760977
topology_17_prestress,amp=1,6,1,5,7,"[5, 6, 7, 8, 9, 10, 11]",0.5380798183788801,0.006913956325335007,0.3450561840058466,0.003452349728676336,4086.4699966076214,243.9068727160924
topology_17_prestress,amp=1,6,2,5,35,"[5, 6, 7, 8, 9, 10, 11]",0.4978045760670504,0.005761153887170211,0.38459401321560927,0.005577151172218431,21340230.203873064,1649018.3633558736
topology_17_prestress,amp=1,6,3,5,119,"[5, 6, 7, 8, 9, 10, 11]",0.34088798552467253,0.003474846229283806,0.8811186661799258,0.032199373307546984,2303372751.445163,2848154956.2171564
topology_17_prestress,amp=1,6,4,5,329,"[5, 6, 7, 8, 9, 10, 11]",0.354770394137193,0.035256744739623994,4.276435965767404,0.5047245580370523,23747011514.33378,15283100461.625452
topology_17_prestress,amp=1,7,1,5,8,"[5, 6, 7, 8, 9, 10, 11, 12]",0.524516062563529,0.005870636793973458,0.3339423594670021,0.0030372570123917675,5378.829072955985,391.09598341471195
topology_17_prestress,amp=1,7,2,5,44,"[5, 6, 7, 8, 9, 10, 11, 12]",0.47414728295862146,0.005990853659779801,0.37702807450502684,0.006260520487117169,39362901.95858329,10270067.881028436
topology_17_prestress,amp=1,7,3,5,164,"[5, 6, 7, 8, 9, 10, 11, 12]",0.23872610021442023,0.00200855938760516,1.0791470517118904,0.10380193689844423,4067490125.6559534,3549071339.4212956
topology_17_prestress,amp=1,7,4,5,494,"[5, 6, 7, 8, 9, 10, 11, 12]",0.275972209635302,0.008596204077596654,7.169663257062365,0.4264257464485359,68427165737.40221,48591924015.6003
topology_17_prestress,amp=1,8,1,5,9,"[5, 6, 7, 8, 9, 10, 11, 12, 13]",0.5198086794172887,0.00603541767528547,0.3362256333162667,0.0032791391503578355,6630.4613152979055,551.8985869123005
topology_17_prestress,amp=1,8,2,5,54,"[5, 6, 7, 8, 9, 10, 11, 12, 13]",0.4584302480707918,0.0094580943493326,0.38733686204695744,0.0052403937798436925,108653702.59788871,79164009.56516516
topology_17_prestress,amp=1,8,3,5,219,"[5, 6, 7, 8, 9, 10, 11, 12, 13]",0.15578008525312295,0.0029638372349174128,1.5399114940988912,0.0986324194448115,145784120240.83585,280005279544.68896
topology_17_prestress,amp=1,8,4,5,714,"[5, 6, 7, 8, 9, 10, 11, 12, 13]",0.24787283154535453,0.03640332968870516,9.563375367634812,0.8348325350978374,152409144186.81757,123434758052.11275
topology_17_prestress,amp=1,9,1,5,10,"[5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",0.5160036445850273,0.005845176560271193,0.33763391871831827,0.00341430237069438,7717.174918508279,685.7198403180682
topology_17_prestress,amp=1,9,2,5,65,"[5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",0.6209083352996213,0.364554157991799,0.8069486323004545,0.7771768290389918,188332781.317647,137691025.64467904
topology_17_prestress,amp=1,9,3,5,285,"[5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",0.07785755811084268,0.0013709218782782832,2.3359353252318877,0.20484627085193668,21128825743.3618,15091213988.489717
topology_17_prestress,amp=1,9,4,5,1000,"[5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",0.21757417904884066,0.031939009364848565,13.158720428637253,0.8149537471273721,130098612934.05362,92491427735.18683
topology_17_prestress,amp=1,10,1,5,11,"[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",0.5149702235871064,0.005906236687133974,0.337724370798553,0.0034697325259974497,8674.850207780699,796.3716323991505
topology_17_prestress,amp=1,10,2,5,77,"[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",0.4270694021491249,0.013806263150143999,0.4531943130259779,0.04176481717111937,402228871.68642884,371429078.36058277
topology_17_prestress,amp=1,10,3,5,363,"[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",0.2462528630515565,0.011512796602530172,1.7414031900276399,0.07262877868618445,21687562042.74044,20404058090.194218
topology_17_prestress,amp=1,10,4,5,1364,"[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",0.20416507778313292,0.03399567025148888,22.43476343078517,11.756536164767738,328102757206.96173,182942657611.42343
