H,D,number_of_terms,number_of_terms_std,selected_alpha,selected_alpha_std,validation_nmse_2d,validation_nmse_2d_std,train_nmse_x,train_nmse_x_std,test_nmse_x,test_nmse_x_std,train_nmse_y,train_nmse_y_std,test_nmse_y,test_nmse_y_std,train_nmse_2d,train_nmse_2d_std,test_nmse_2d,test_nmse_2d_std,num_train_rows,num_train_rows_std,num_test_rows,num_test_rows_std,terms_per_train_row,terms_per_train_row_std,num_samples
10,1,11.0,0.0,0.00600000004,0.004898979436576562,0.6431410798555148,0.01113424835568626,0.4221024324552204,0.0016862629211679588,0.2527100026597228,0.00048651625081564515,0.5758248643635157,0.008558876630333074,0.44628939106539534,0.06430073795507166,0.427957795361391,0.0016111581255102763,0.25877260328845414,0.0021048242093333314,299.0,0.0,299.0,0.0,0.03678929765886288,0.0,5
11,1,12.0,0.0,0.00602000002,0.0048745871373071185,0.6409094732373595,0.01165944019168647,0.4211997053259526,0.001700908492304839,0.2508521885292028,0.0004914429415767173,0.575782370792983,0.008567590403958093,0.44618639781129926,0.06447989832173445,0.4270878575156608,0.0016210307174859004,0.25696920819001096,0.002145782669747502,299.0,0.0,299.0,0.0,0.04013377926421405,0.0,5
12,1,13.0,0.0,0.00600000004,0.004898979436576562,0.6405220767551715,0.011530541256498734,0.42104945884554146,0.0016925147728124447,0.2512747014586797,0.000560316830062018,0.5756788553472112,0.008526848888906773,0.44717218283470317,0.06446789802038033,0.42693947045648883,0.001612388936866098,0.2574091502939157,0.0021417957357614597,299.0,0.0,299.0,0.0,0.043478260869565216,0.0,5
13,1,14.0,0.0,0.00602000002,0.0048745871373071185,0.6352051479154864,0.010987762616978538,0.4192522031104461,0.001690459531925167,0.2540566846837019,0.0006322288015211888,0.5755527973454388,0.008513649797458164,0.44757459674556566,0.0645923106069007,0.42520623125234697,0.0016254226058490338,0.2601171107044796,0.002245875996025514,299.0,0.0,299.0,0.0,0.046822742474916385,0.0,5
14,1,15.0,0.0,0.01,0.0,0.6495709241834844,0.012457347832602167,0.4191739146148601,0.001705526444342962,0.2531493751117294,0.0006952024439960066,0.5754003217789465,0.008524568030315174,0.4469746463139878,0.06448569093584772,0.42512506673718625,0.0016414642203151262,0.25921917940093864,0.0023641373680958967,299.0,0.0,299.0,0.0,0.05016722408026756,0.0,5
15,1,16.0,0.0,0.01,0.0,0.6651761246924865,0.009853500819145137,0.4191465984828538,0.001692484969134247,0.25264681021685564,0.0005838369074379837,0.575230596869532,0.008445462017673181,0.44867725556552074,0.06462024128755435,0.4250924344269668,0.0016316440045294203,0.2587848018016991,0.002343937728162463,299.0,0.0,299.0,0.0,0.05351170568561873,0.0,5
16,1,17.0,0.0,0.01,0.0,0.6629793638271915,0.009762810951665412,0.4183472063838002,0.001630536895679072,0.2541565026404621,0.0006625210263773692,0.5711081690913596,0.008409013260129947,0.45550459073329386,0.06516449393182297,0.42416627742459434,0.0015776770123003922,0.2604600032054649,0.002327417553884676,299.0,0.0,299.0,0.0,0.056856187290969896,0.0,5
17,1,18.0,0.0,0.01,0.0,0.6631151927759132,0.009592714607274209,0.41825482959731497,0.0016445893618540622,0.2550777526595197,0.0005920240956986738,0.5706125671140654,0.008445294899090287,0.45524271927829874,0.06501342214196858,0.4240584504002243,0.0015850142728783985,0.2613444285378506,0.0023077407845498,299.0,0.0,299.0,0.0,0.06020066889632107,0.0,5
18,1,19.0,0.0,0.01,0.0,0.663926039644848,0.00969641932095139,0.41825227514612295,0.00164193788093691,0.2550474063808955,0.0006553704904066473,0.5686194293431218,0.008915461584652864,0.45427852206927855,0.06488763319737333,0.42397929662015577,0.0016012759968167666,0.2612850215599498,0.0022780561731957126,299.0,0.0,299.0,0.0,0.06354515050167224,0.0,5
19,1,20.0,0.0,0.20800000000000002,0.396,0.667472777118626,0.008883058189547542,0.4194422235790024,0.0028732235664935333,0.25654286003262594,0.002936642897377689,0.5740757533344762,0.018824135862939753,0.45908454059704973,0.0642503409656429,0.42532604504422106,0.003252854546888793,0.26288162788735264,0.003472314748224979,299.0,0.0,299.0,0.0,0.06688963210702341,0.0,5
20,1,21.0,0.0,0.01,0.0,0.6677978420919477,0.008992461334028735,0.41817376936413064,0.0016134908695878106,0.2552615050163574,0.0007104121016235129,0.5656006259387315,0.008777031758974412,0.4555985498193641,0.0657370955598868,0.42378887915503993,0.0015795111436842661,0.26153399522704357,0.0023067256605219916,299.0,0.0,299.0,0.0,0.07023411371237458,0.0,5
0,2,2.0,0.0,1.0,0.0,0.7077633450025829,0.011843825993101124,0.4486239004668354,0.001363694810135717,0.285565755561185,0.004380814857265824,0.6604734104632136,0.008650860341634226,0.5053734426707694,0.06688048030784884,0.45669870744076385,0.0011362696209903935,0.2924480034771271,0.002350986193337093,299.0,0.0,299.0,0.0,0.006688963210702341,0.0,5
1,2,5.0,0.0,1.0,0.0,0.707370577625655,0.012609091417711573,0.44179957495141897,0.001383938563660411,0.28736784756713585,0.004272581629778545,0.6412655646977452,0.007941382485471651,0.4975056501690046,0.0687609186190679,0.4494012812203443,0.0012083901490429804,0.29395104544166073,0.0022175218903010235,299.0,0.0,299.0,0.0,0.016722408026755852,0.0,5
2,2,9.0,0.0,1.0,0.0,0.7082850041834367,0.012840634720331316,0.4404410399858135,0.001408119177577345,0.2899105482036183,0.0044493115919816174,0.6315616124237062,0.007924331813556581,0.48571959864941994,0.06901232132300843,0.4477243630820162,0.0012251688011985099,0.2960491716639009,0.0023639009949958114,299.0,0.0,299.0,0.0,0.030100334448160536,0.0,5
