sample,H,D,number_of_terms,selected_alpha,validation_nmse_2d,train_nmse_x,test_nmse_x,train_nmse_y,test_nmse_y,train_nmse_2d,test_nmse_2d,num_train_rows,num_test_rows,terms_per_train_row
sample_1,20,2,252,1.0,1.4708554422923141,0.2938656946973224,0.5547941355202352,0.39962380074119297,0.5935668081904237,0.297981510616404,0.5560013225688812,299,299,0.842809364548495
sample_2,0,1,1,1.0,0.7042526524405242,0.4512203800865522,0.25697203519536027,0.668192979306848,0.4653849449822657,0.4592679763682433,0.2632758201002128,299,299,0.0033444816053511705
sample_2,1,1,2,1e-10,0.6900357144817962,0.44392839464951833,0.250791520093669,0.6444374080193784,0.4480813207830691,0.45136535026621616,0.2567588686074382,299,299,0.006688963210702341
sample_2,2,1,3,0.01,0.6885393787243393,0.44372734613464726,0.2500309876476186,0.6184753109816759,0.4110389725598784,0.4502088146573533,0.25490093407218684,299,299,0.010033444816053512
sample_2,3,1,4,1e-10,0.6822425261502724,0.44203716088431044,0.25121931922654894,0.6060356392141407,0.41690473960242286,0.4481199268609957,0.25623074223766407,299,299,0.013377926421404682
sample_2,4,1,5,0.01,0.677718339644057,0.44106746822318194,0.25513688917895055,0.5971618599927531,0.4187443807418293,0.4468570686211671,0.2600854618786428,299,299,0.016722408026755852
sample_2,5,1,6,0.01,0.6491637972061896,0.42986268159505014,0.259851241363581,0.5886797050483666,0.42278053033683494,0.43575326543837917,0.2647793007311033,299,299,0.020066889632107024
sample_2,6,1,7,0.01,0.6503148819827954,0.42986648707810177,0.25987366816173846,0.5857251639680222,0.4173125653125432,0.4356473447214911,0.2646356617652565,299,299,0.023411371237458192
sample_2,7,1,8,0.01,0.6501648829978999,0.4283352334247074,0.2571052783689866,0.5835925143235303,0.41378815749389064,0.43409378506190405,0.26184440498684475,299,299,0.026755852842809364
sample_2,8,1,9,0.01,0.6487614923756664,0.4261396612141113,0.25590477143660945,0.5831960546236634,0.4138224887067404,0.431964942619047,0.2606812477276131,299,299,0.030100334448160536
sample_2,9,1,10,0.01,0.6428846272523057,0.4237598990604945,0.2549988097025422,0.582748190056541,0.4138755739506523,0.4296568352821652,0.25980429391761856,299,299,0.033444816053511704
