topology,amplitude,sample,hidden_node,reference_node,horizon_steps,group_type,group_value,c_alpha_sum,IPC_alpha_clipped_sum,weighted_contribution_sum,num_terms,basis_nmse_2d,basis_adequacy_label
topology_17_prestress,amp=1,sample_0,10,0,5,readout_time_delay,15,0.195136626474553,0.4049035633217587,0.07901151539413354,1,0.3329133025905722,weak
topology_17_prestress,amp=1,sample_0,10,0,5,target_time_delay,20,0.195136626474553,0.4049035633217587,0.07901151539413354,1,0.3329133025905722,weak
topology_17_prestress,amp=1,sample_0,10,0,5,readout_time_delay,14,0.025382286691162787,0.4263634315002781,0.010822078852968006,1,0.3329133025905722,weak
topology_17_prestress,amp=1,sample_0,10,0,5,target_time_delay,19,0.025382286691162787,0.4263634315002781,0.010822078852968006,1,0.3329133025905722,weak
topology_17_prestress,amp=1,sample_0,10,0,5,readout_time_delay,13,0.20491110174593183,0.4437752389498206,0.09093447314077191,1,0.3329133025905722,weak
topology_17_prestress,amp=1,sample_0,10,0,5,target_time_delay,18,0.20491110174593183,0.4437752389498206,0.09093447314077191,1,0.3329133025905722,weak
topology_17_prestress,amp=1,sample_0,10,0,5,readout_time_delay,12,0.030558604934858544,0.45515991689305946,0.013909052082518051,1,0.3329133025905722,weak
topology_17_prestress,amp=1,sample_0,10,0,5,target_time_delay,17,0.030558604934858544,0.45515991689305946,0.013909052082518051,1,0.3329133025905722,weak
topology_17_prestress,amp=1,sample_0,10,0,5,readout_time_delay,11,0.38206485288455283,0.4853937372775544,0.1854518868240321,1,0.3329133025905722,weak
topology_17_prestress,amp=1,sample_0,10,0,5,target_time_delay,16,0.38206485288455283,0.4853937372775544,0.1854518868240321,1,0.3329133025905722,weak
topology_17_prestress,amp=1,sample_0,10,0,5,readout_time_delay,10,0.17410537463958722,0.5285052723534936,0.09201560844210209,1,0.3329133025905722,weak
topology_17_prestress,amp=1,sample_0,10,0,5,target_time_delay,15,0.17410537463958722,0.5285052723534936,0.09201560844210209,1,0.3329133025905722,weak
topology_17_prestress,amp=1,sample_0,10,0,5,readout_time_delay,9,0.050000925171437,0.5849481860599468,0.02924795048035121,1,0.3329133025905722,weak
topology_17_prestress,amp=1,sample_0,10,0,5,target_time_delay,14,0.050000925171437,0.5849481860599468,0.02924795048035121,1,0.3329133025905722,weak
topology_17_prestress,amp=1,sample_0,10,0,5,readout_time_delay,8,0.11601950720154969,0.6338145636003711,0.07353485332608033,1,0.3329133025905722,weak
topology_17_prestress,amp=1,sample_0,10,0,5,target_time_delay,13,0.11601950720154969,0.6338145636003711,0.07353485332608033,1,0.3329133025905722,weak
topology_17_prestress,amp=1,sample_0,10,0,5,readout_time_delay,7,0.1496725973114829,0.6837866558328112,0.10234412478542991,1,0.3329133025905722,weak
topology_17_prestress,amp=1,sample_0,10,0,5,target_time_delay,12,0.1496725973114829,0.6837866558328112,0.10234412478542991,1,0.3329133025905722,weak
topology_17_prestress,amp=1,sample_0,10,0,5,readout_time_delay,6,0.6898951119509946,0.7280929238721883,0.5023077492255303,1,0.3329133025905722,weak
topology_17_prestress,amp=1,sample_0,10,0,5,target_time_delay,11,0.6898951119509946,0.7280929238721883,0.5023077492255303,1,0.3329133025905722,weak
topology_17_prestress,amp=1,sample_0,10,0,5,readout_time_delay,5,0.18939380192979127,0.7732662405735228,0.1464518332061761,1,0.3329133025905722,weak
topology_17_prestress,amp=1,sample_0,10,0,5,target_time_delay,10,0.18939380192979127,0.7732662405735228,0.1464518332061761,1,0.3329133025905722,weak
topology_17_prestress,amp=1,sample_0,10,0,5,readout_time_delay,4,0.37099821634816244,0.8201831955009778,0.304286502609599,1,0.3329133025905722,weak
topology_17_prestress,amp=1,sample_0,10,0,5,target_time_delay,9,0.37099821634816244,0.8201831955009778,0.304286502609599,1,0.3329133025905722,weak
topology_17_prestress,amp=1,sample_0,10,0,5,readout_time_delay,3,0.08038382153835442,0.8715294903588335,0.07005687101841745,1,0.3329133025905722,weak
topology_17_prestress,amp=1,sample_0,10,0,5,target_time_delay,8,0.08038382153835442,0.8715294903588335,0.07005687101841745,1,0.3329133025905722,weak
topology_17_prestress,amp=1,sample_0,10,0,5,readout_time_delay,2,1.147952913713923,0.9290609690854283,1.0665182464794984,1,0.3329133025905722,weak
