topology,amplitude,frequency_set_type,frequency_set_label,refined_frequency_hz,drive_channels,number_drive_channels,K,filter_length_s,num_samples,selected_frequencies_hz,mechanical_degree,number_linear_features_mean,number_linear_features_std,number_candidate_features_mean,number_candidate_features_std,number_raw_features_mean,number_raw_features_std,validation_nmse_x_mean,validation_nmse_x_std,validation_nmse_y_mean,validation_nmse_y_std,validation_nmse_2d_mean,validation_nmse_2d_std,condition_number_mean,condition_number_std
topology_17_prestress,amp=1,refined_single,refined_5.4900Hz,5.49,u,1,1,3.0,4,5.49,2,10.0,0.0,65.0,0.0,65.0,0.0,0.5388998735222505,0.014635713108061244,0.8670270517088923,0.021512165235217734,0.5741845544839869,0.016012233923358765,47.3723726272583,0.10582615748695365
topology_17_prestress,amp=1,refined_single,refined_5.5000Hz,5.5,u,1,1,3.0,4,5.5,2,10.0,0.0,65.0,0.0,65.0,0.0,0.5586912084484337,0.016240745773304602,0.882062278109801,0.02059714625244112,0.5934586979162373,0.017339424629821302,47.50720691680908,0.11451676730067092
topology_17_prestress,amp=1,refined_single,refined_5.5100Hz,5.510000000000001,u,1,1,3.0,4,5.51,2,10.0,0.0,65.0,0.0,65.0,0.0,0.5823341380154803,0.01841857601623226,0.9024056131077763,0.020207763932690494,0.6167407886306284,0.0192305153248269,47.93220615386963,0.13130611530809072
topology_17_prestress,amp=1,refined_single,refined_5.5200Hz,5.5200000000000005,u,1,1,3.0,4,5.52,2,10.0,0.0,65.0,0.0,65.0,0.0,0.6125467138196528,0.021042349989835864,0.9197644060771392,0.018537180540287097,0.6455604340305212,0.02133045182412352,48.10171031951904,0.1865360910115727
topology_17_prestress,amp=1,refined_single,refined_5.5300Hz,5.53,u,1,1,3.0,4,5.53,2,10.0,0.0,65.0,0.0,65.0,0.0,0.631942080724071,0.02117712716568258,0.923328605333044,0.016312538272190983,0.6632481710998757,0.021163223512501272,47.9705810546875,0.2219588575969307
topology_17_prestress,amp=1,refined_single,refined_5.5400Hz,5.54,u,1,1,3.0,4,5.54,2,10.0,0.0,65.0,0.0,65.0,0.0,0.6443494059608809,0.021816380625898052,0.9223488396921169,0.014649128670523929,0.6742106002321089,0.021502563827303537,48.774638175964355,0.18276293338531574
topology_17_prestress,amp=1,refined_single,refined_5.5500Hz,5.550000000000001,u,1,1,3.0,4,5.55,2,10.0,0.0,65.0,0.0,65.0,0.0,0.6570809989106438,0.022966247495642994,0.9168338988191385,0.014058144465294868,0.6849758128124901,0.022394308605121614,50.209489822387695,0.14589842302722153
topology_17_prestress,amp=1,refined_single,refined_5.5600Hz,5.5600000000000005,u,1,1,3.0,4,5.56,2,10.0,0.0,65.0,0.0,65.0,0.0,0.6722782983219351,0.02357123728173263,0.9134694054452306,0.016332846364277242,0.6981792252489436,0.023085135172895444,50.96536922454834,0.1963666728355793
topology_17_prestress,amp=1,refined_single,refined_5.5700Hz,5.57,u,1,1,3.0,4,5.57,2,10.0,0.0,65.0,0.0,65.0,0.0,0.6667770518150442,0.022119504754351146,0.9096161494664983,0.015327740969217102,0.6928558184002513,0.021666415985857085,49.96784496307373,0.2777146104325812
topology_17_prestress,amp=1,refined_single,refined_5.5800Hz,5.58,u,1,1,3.0,4,5.58,2,10.0,0.0,65.0,0.0,65.0,0.0,0.648186480582482,0.02074392326161487,0.8972341075770334,0.013887762495198868,0.6749330523839365,0.02029801481301578,48.4681339263916,0.26073379746014275
topology_17_prestress,amp=1,refined_single,refined_5.5900Hz,5.590000000000001,u,1,1,3.0,4,5.59,2,10.0,0.0,65.0,0.0,65.0,0.0,0.6255514766612842,0.019019887322926567,0.8809036517291664,0.012881784700931542,0.6529778763013872,0.018664273969292548,47.52324199676514,0.19144930528204157
topology_17_prestress,amp=1,refined_single,refined_5.6000Hz,5.6000000000000005,u,1,1,3.0,4,5.6,2,10.0,0.0,65.0,0.0,65.0,0.0,0.5905710520968606,0.02009991405688641,0.8702616746363241,0.012606150275017346,0.6206114625831533,0.01931519830592551,44.51334476470947,1.614848470929532
topology_17_prestress,amp=1,refined_single,refined_5.6100Hz,5.61,u,1,1,3.0,4,5.61,2,10.0,0.0,65.0,0.0,65.0,0.0,0.5562826253632895,0.014771861879884409,0.8629355809381563,0.013641817609019979,0.5892338049201696,0.015066312554741394,43.90524768829346,0.17665911677058194
topology_17_prestress,amp=1,refined_single,refined_5.6200Hz,5.62,u,1,1,3.0,4,5.62,2,10.0,0.0,65.0,0.0,65.0,0.0,0.5302313165231507,0.013426763691325639,0.8492739475608728,0.012928293258313427,0.5645178159717339,0.013855423525056424,44.59184646606445,0.18544203957605204
topology_17_prestress,amp=1,refined_single,refined_5.6300Hz,5.630000000000001,u,1,1,3.0,4,5.63,2,10.0,0.0,65.0,0.0,65.0,0.0,0.5065901656244999,0.011743756049979404,0.8316532140435273,0.012014793202195157,0.5415276251809016,0.012302081081260414,45.15325736999512,0.20568459965061772
topology_17_prestress,amp=1,refined_single,refined_5.6400Hz,5.640000000000001,u,1,1,3.0,4,5.64,2,10.0,0.0,65.0,0.0,65.0,0.0,0.4849067053407756,0.009960368157986262,0.8083608676726848,0.011181145574151318,0.5196745067959041,0.010642577726674124,45.07792854309082,0.2566626309682757
topology_17_prestress,amp=1,refined_single,refined_5.6500Hz,5.65,u,1,1,3.0,4,5.65,2,10.0,0.0,65.0,0.0,65.0,0.0,0.46893697082650887,0.008870541633399951,0.784890392565915,0.011236271988378536,0.5029010562314615,0.009681195224130525,44.113017082214355,0.32110843894020313
topology_17_prestress,amp=1,refined_single,refined_5.6600Hz,5.66,u,1,1,3.0,4,5.66,2,10.0,0.0,65.0,0.0,65.0,0.0,0.45747862869476297,0.008232656071920481,0.7670222644364066,0.011616853257843077,0.4907563213330718,0.009158458866808793,42.782647132873535,0.3483956867570448
topology_17_prestress,amp=1,refined_single,refined_5.6700Hz,5.67,u,1,1,3.0,4,5.67,2,10.0,0.0,65.0,0.0,65.0,0.0,0.44507059218204764,0.0075549405243007725,0.7519422153501152,0.011915262537987619,0.47806422357656064,0.008595010459448408,41.97772216796875,0.3210452556948322
topology_17_prestress,amp=1,refined_single,refined_5.6800Hz,5.680000000000001,u,1,1,3.0,4,5.68,2,10.0,0.0,65.0,0.0,65.0,0.0,0.4295922860539948,0.006611247154815776,0.7378253601092494,0.012150220734350277,0.462736029630073,0.007786583803831592,41.861830711364746,0.27702914299051556
topology_17_prestress,amp=1,refined_single,refined_5.6900Hz,5.69,u,1,1,3.0,4,5.69,2,10.0,0.0,65.0,0.0,65.0,0.0,0.41228567694269713,0.0054083692480736065,0.7253077609195401,0.012248055372368996,0.44594794860986786,0.006738565746908684,41.88869285583496,0.2568158548292579
topology_17_prestress,amp=1,refined_single,refined_5.7000Hz,5.7,u,1,1,3.0,4,5.7,2,10.0,0.0,65.0,0.0,65.0,0.0,0.39513942165610483,0.00416844864829944,0.7149985191710715,0.012155925602368004,0.4295396968582792,0.0056520728506824275,41.84697914123535,0.2536725364382666
topology_17_prestress,amp=1,refined_single,refined_5.7100Hz,5.71,u,1,1,3.0,4,5.71,2,10.0,0.0,65.0,0.0,65.0,0.0,0.37938441473158835,0.0031127612851315754,0.7068330299653516,0.011820934618275472,0.4146024945383405,0.00471398362116964,41.785831451416016,0.25492902967075026
topology_17_prestress,amp=1,refined_single,refined_5.7200Hz,5.720000000000001,u,1,1,3.0,4,5.72,2,10.0,0.0,65.0,0.0,65.0,0.0,0.3656186278748381,0.0023801511882632835,0.7003222206365026,0.011169179243049795,0.4016171527703587,0.004019645220639236,41.798091888427734,0.2536836163174402
topology_17_prestress,amp=1,refined_single,refined_5.7300Hz,5.73,u,1,1,3.0,4,5.73,2,10.0,0.0,65.0,0.0,65.0,0.0,0.35406796736535784,0.002023554240639047,0.6947049148619165,0.010143084708704593,0.3907032589483143,0.003590415309228348,41.976505279541016,0.2466626732245661
topology_17_prestress,amp=1,refined_single,refined_5.7400Hz,5.74,u,1,1,3.0,4,5.74,2,10.0,0.0,65.0,0.0,65.0,0.0,0.3426325195335271,0.003937011289563691,0.6877476485974214,0.008406583249324256,0.37974768103435197,0.004274487680704542,40.3956356048584,3.3238023504842005
topology_17_prestress,amp=1,refined_single,refined_5.7500Hz,5.75,u,1,1,3.0,4,5.75,2,10.0,0.0,65.0,0.0,65.0,0.0,0.33086625145792986,0.0024859500354593774,0.6767887110151234,0.006272062746834075,0.36806062900065367,0.0035708162402595957,35.70732498168945,0.07892189627799683
topology_17_prestress,amp=1,refined_single,refined_5.7600Hz,5.760000000000001,u,1,1,3.0,4,5.76,2,10.0,0.0,65.0,0.0,65.0,0.0,0.3263474049519373,0.0025783639936289115,0.6688693756226335,0.004890066948136646,0.36317172275987486,0.003490120824059474,36.77657127380371,0.08912309744841318
topology_17_prestress,amp=1,refined_single,refined_5.7700Hz,5.7700000000000005,u,1,1,3.0,4,5.77,2,10.0,0.0,65.0,0.0,65.0,0.0,0.32275683113674,0.002746947956246278,0.6616924136561069,0.004150126508202162,0.3591911308086102,0.0034870440576863656,37.709275245666504,0.10193457024027931
topology_17_prestress,amp=1,refined_single,refined_5.7800Hz,5.78,u,1,1,3.0,4,5.78,2,10.0,0.0,65.0,0.0,65.0,0.0,0.3195387133313772,0.0029803545054825635,0.6559074939108638,0.004120996175843488,0.35569278130682785,0.0035509788807338836,38.44954299926758,0.11541739873691571
topology_17_prestress,amp=1,refined_single,refined_5.7900Hz,5.79,u,1,1,3.0,4,5.79,2,10.0,0.0,65.0,0.0,65.0,0.0,0.31648509355478494,0.0032555322943297054,0.6506289081235644,0.0045263174641107995,0.35239555041758175,0.0036442356245119417,39.52309322357178,0.20510024487134373
topology_17_prestress,amp=1,refined_single,refined_5.8000Hz,5.800000000000001,u,1,1,3.0,4,5.8,2,10.0,0.0,65.0,0.0,65.0,0.0,0.31376942057215496,0.003529469520822692,0.6408779688106879,0.005827494202210699,0.3489180241641629,0.0036736529746704515,41.61527156829834,0.14937966299261285
topology_17_prestress,amp=1,refined_single,refined_5.8100Hz,5.8100000000000005,u,1,1,3.0,4,5.81,2,10.0,0.0,65.0,0.0,65.0,0.0,0.3120329389387963,0.0038107637977685595,0.6240128659382308,0.007212412014232004,0.34554860083556965,0.003594225722641642,43.14675045013428,0.12052533790306252
