frequency_set_type,frequency_set_label,refined_frequency_hz,drive_channels,drive_smoothing_frames,number_drive_channels,K,filter_length_s,filter_length_frames,num_topology_sample_pairs,selected_frequencies_hz,decay_times_s,mechanical_degree,number_linear_features_mean,number_linear_features_std,number_candidate_features_mean,number_candidate_features_std,number_raw_features_mean,number_raw_features_std,number_drive_channels_mean,number_drive_channels_std,svd_rank_mean,svd_rank_std,condition_number_mean,condition_number_std,train_nmse_x_mean,train_nmse_x_std,train_nmse_y_mean,train_nmse_y_std,train_nmse_2d_mean,train_nmse_2d_std,validation_nmse_x_mean,validation_nmse_x_std,validation_nmse_y_mean,validation_nmse_y_std,validation_nmse_2d_mean,validation_nmse_2d_std,selection_metric_value_mean,selection_metric_value_std
refined_single,refined_5.6100Hz,5.61,u,1,1,1,3.0,90,4,5.61,0.2 0.5 1 2 5,2,10.0,0.0,65.0,0.0,65.0,0.0,1.0,0.0,22.0,0.0,43.90524768829346,0.17665911677058194,0.48578842062463995,0.0027823754614296078,0.4270845489593389,0.010234441838986832,0.4748104193308077,0.0038679764276516467,0.5562826253632895,0.014771861879884409,0.8629355809381563,0.013641817609019979,0.5892338049201696,0.015066312554741394,0.5892338049201696,0.015066312554741394
refined_single,refined_5.6200Hz,5.62,u,1,1,1,3.0,90,4,5.62,0.2 0.5 1 2 5,2,10.0,0.0,65.0,0.0,65.0,0.0,1.0,0.0,22.0,0.0,44.59184646606445,0.18544203957605204,0.48513736584406336,0.0026076631538634863,0.42349176209886064,0.009989100043994415,0.4736094314551791,0.003548428190147853,0.5302313165231507,0.013426763691325639,0.8492739475608728,0.012928293258313427,0.5645178159717339,0.013855423525056424,0.5645178159717339,0.013855423525056424
refined_single,refined_5.6300Hz,5.630000000000001,u,1,1,1,3.0,90,4,5.63,0.2 0.5 1 2 5,2,10.0,0.0,65.0,0.0,65.0,0.0,1.0,0.0,22.0,0.0,45.15325736999512,0.20568459965061772,0.4837962039982477,0.0025037639986737496,0.41909629172404195,0.009618615711362811,0.4716976578420489,0.003243549271724599,0.5065901656244999,0.011743756049979404,0.8316532140435273,0.012014793202195157,0.5415276251809016,0.012302081081260414,0.5415276251809016,0.012302081081260414
refined_single,refined_5.6400Hz,5.640000000000001,u,1,1,1,3.0,90,4,5.64,0.2 0.5 1 2 5,2,10.0,0.0,65.0,0.0,65.0,0.0,1.0,0.0,22.0,0.0,45.07792854309082,0.2566626309682757,0.48173830047512645,0.0025497203577968994,0.4125486429263849,0.009244840927417465,0.4688011090530305,0.003011168778789918,0.4849067053407756,0.009960368157986262,0.8083608676726848,0.011181145574151318,0.5196745067959041,0.010642577726674124,0.5196745067959041,0.010642577726674124
refined_single,refined_5.6500Hz,5.65,u,1,1,1,3.0,90,4,5.65,0.2 0.5 1 2 5,2,10.0,0.0,65.0,0.0,65.0,0.0,1.0,0.0,22.0,0.0,44.113017082214355,0.32110843894020313,0.47921943104451714,0.002720473823063036,0.40535372016254323,0.009090329822668502,0.46540828204022433,0.0028624071491672527,0.46893697082650887,0.008870541633399951,0.784890392565915,0.011236271988378536,0.5029010562314615,0.009681195224130525,0.5029010562314615,0.009681195224130525
refined_single,refined_5.6600Hz,5.66,u,1,1,1,3.0,90,4,5.66,0.2 0.5 1 2 5,2,10.0,0.0,65.0,0.0,65.0,0.0,1.0,0.0,22.0,0.0,42.782647132873535,0.3483956867570448,0.47757228886904113,0.002850449502985205,0.4000186229424293,0.00901943602533707,0.46307168870951987,0.002743560354191128,0.45747862869476297,0.008232656071920481,0.7670222644364066,0.011616853257843077,0.4907563213330718,0.009158458866808793,0.4907563213330718,0.009158458866808793
refined_single,refined_5.6700Hz,5.67,u,1,1,1,3.0,90,4,5.67,0.2 0.5 1 2 5,2,10.0,0.0,65.0,0.0,65.0,0.0,1.0,0.0,22.0,0.0,41.97772216796875,0.3210452556948322,0.47734264975319896,0.002884932403843584,0.3957150157606771,0.008887954837679889,0.462080822516413,0.0026178966921553775,0.44507059218204764,0.0075549405243007725,0.7519422153501152,0.011915262537987619,0.47806422357656064,0.008595010459448408,0.47806422357656064,0.008595010459448408
refined_single,refined_5.6800Hz,5.680000000000001,u,1,1,1,3.0,90,4,5.68,0.2 0.5 1 2 5,2,10.0,0.0,65.0,0.0,65.0,0.0,1.0,0.0,22.0,0.0,41.861830711364746,0.27702914299051556,0.4782157018540199,0.002845798384725188,0.3914131270135326,0.00874394438240837,0.46198721918303376,0.002476162955407604,0.4295922860539948,0.006611247154815776,0.7378253601092494,0.012150220734350277,0.462736029630073,0.007786583803831592,0.462736029630073,0.007786583803831592
refined_single,refined_5.6900Hz,5.69,u,1,1,1,3.0,90,4,5.69,0.2 0.5 1 2 5,2,10.0,0.0,65.0,0.0,65.0,0.0,1.0,0.0,22.0,0.0,41.88869285583496,0.2568158548292579,0.47968609600567014,0.002785445929029758,0.3868746429636455,0.008635716375381672,0.46233525356389027,0.002336252001583288,0.41228567694269713,0.0054083692480736065,0.7253077609195401,0.012248055372368996,0.44594794860986786,0.006738565746908684,0.44594794860986786,0.006738565746908684
refined_single,refined_5.7000Hz,5.7,u,1,1,1,3.0,90,4,5.7,0.2 0.5 1 2 5,2,10.0,0.0,65.0,0.0,65.0,0.0,1.0,0.0,22.0,0.0,41.84697914123535,0.2536725364382666,0.4812665168424162,0.0027514834524614306,0.38216328859687265,0.008560563477914328,0.46274047064298574,0.002223193283266912,0.39513942165610483,0.00416844864829944,0.7149985191710715,0.012155925602368004,0.4295396968582792,0.0056520728506824275,0.4295396968582792,0.0056520728506824275
refined_single,refined_5.7100Hz,5.71,u,1,1,1,3.0,90,4,5.71,0.2 0.5 1 2 5,2,10.0,0.0,65.0,0.0,65.0,0.0,1.0,0.0,22.0,0.0,41.785831451416016,0.25492902967075026,0.48250183419601955,0.0027670040769820613,0.3773184062184089,0.00850316948389142,0.4628400777159236,0.0021491966446972478,0.37938441473158835,0.0031127612851315754,0.7068330299653516,0.011820934618275472,0.4146024945383405,0.00471398362116964,0.4146024945383405,0.00471398362116964
refined_single,refined_5.7200Hz,5.720000000000001,u,1,1,1,3.0,90,4,5.72,0.2 0.5 1 2 5,2,10.0,0.0,65.0,0.0,65.0,0.0,1.0,0.0,22.0,0.0,41.798091888427734,0.2536836163174402,0.48295740592553016,0.0028418221114593183,0.37234095478356655,0.008458153921714954,0.46228077170493387,0.002118836950805751,0.3656186278748381,0.0023801511882632835,0.7003222206365026,0.011169179243049795,0.4016171527703587,0.004019645220639236,0.4016171527703587,0.004019645220639236
refined_single,refined_5.7300Hz,5.73,u,1,1,1,3.0,90,4,5.73,0.2 0.5 1 2 5,2,10.0,0.0,65.0,0.0,65.0,0.0,1.0,0.0,22.0,0.0,41.976505279541016,0.2466626732245661,0.4822687428664152,0.0029845343419697377,0.3672704188776509,0.008430234133532794,0.46077348317843986,0.002138814953806398,0.35406796736535784,0.002023554240639047,0.6947049148619165,0.010143084708704593,0.3907032589483143,0.003590415309228348,0.3907032589483143,0.003590415309228348
refined_single,refined_5.7400Hz,5.74,u,1,1,1,3.0,90,4,5.74,0.2 0.5 1 2 5,2,10.0,0.0,65.0,0.0,65.0,0.0,1.0,0.0,21.75,0.4330127018922193,40.3956356048584,3.3238023504842005,0.48095987299566695,0.0026435965015928647,0.3623379923907524,0.008447938343559438,0.45878850058196613,0.0018163731631840633,0.3426325195335271,0.003937011289563691,0.6877476485974214,0.008406583249324256,0.37974768103435197,0.004274487680704542,0.37974768103435197,0.004274487680704542
