topology,amplitude,sample,mode_index,coefficient_x,coefficient_y,q_norm_sq,c_mech_x,c_mech_y,c_mech_2d,dominant_raw_feature_name,dominant_product_degree,dominant_factor_indices,dominant_drive_channel,dominant_frequency_hz,dominant_decay_time_s,dominant_phase,dominant_raw_feature_loading
topology_17_prestress,amp=1,sample_3,5,332.1494445800781,-440.14129638671875,0.9999999403953552,0.024276188415131468,0.27068921451831085,0.057801800104296794,u_f=5.8200Hz_Td=5.000s_sin,1,9,u,5.82,5.0,sin,0.4432874023914337
topology_17_prestress,amp=1,sample_3,6,11.556144714355469,136.56277465820312,1.0,2.938592784061556e-05,0.026058619555122977,0.003570781417174178,u_f=5.8200Hz_Td=0.500s_cos * u_f=5.8200Hz_Td=0.500s_cos,2,2 2,u*u,5.82*5.82,0.5*0.5,cos*cos,0.2577400803565979
topology_17_prestress,amp=1,sample_3,7,-11.01101016998291,-111.34933471679688,1.0,2.6678892176889046e-05,0.017324551259918625,0.0023801330143904784,u_f=5.8200Hz_Td=5.000s_sin * u_f=5.8200Hz_Td=5.000s_sin,2,9 9,u*u,5.82*5.82,5.0*5.0,sin*sin,0.3561461269855499
topology_17_prestress,amp=1,sample_3,8,886.2510986328125,-53.778133392333984,1.0,0.1728331468582088,0.004041086896286814,0.14986822025514765,u_f=5.8200Hz_Td=5.000s_cos,1,8,u,5.82,5.0,cos,-0.45529407262802124
topology_17_prestress,amp=1,sample_3,9,25.899715423583984,106.92483520507812,1.0,0.0001476058087925113,0.015975112320507547,0.002301009976221984,u_f=5.8200Hz_Td=5.000s_cos * u_f=5.8200Hz_Td=5.000s_sin,2,8 9,u*u,5.82*5.82,5.0*5.0,cos*sin,0.39214369654655457
topology_17_prestress,amp=1,sample_3,10,184.57406616210938,-70.04915618896484,1.0,0.007496435764390681,0.00685634334281347,0.0074093482824083385,u_f=5.8200Hz_Td=0.200s_sin * u_f=5.8200Hz_Td=0.200s_sin,2,1 1,u*u,5.82*5.82,0.2*0.2,sin*sin,0.34041300415992737
topology_17_prestress,amp=1,sample_3,11,-170.17726135253906,-114.17576599121094,1.0,0.006372598029607181,0.01821522788844934,0.007983841624577723,u_f=5.8200Hz_Td=0.200s_sin * u_f=5.8200Hz_Td=5.000s_sin,2,1 9,u*u,5.82*5.82,0.2*5.0,sin*sin,0.2834242284297943
topology_17_prestress,amp=1,sample_3,12,125.92146301269531,-29.645349502563477,1.0,0.0034890965394230823,0.0012280043092051372,0.003181464669052989,u_f=5.8200Hz_Td=0.500s_cos,1,2,u,5.82,0.5,cos,0.36499977111816406
topology_17_prestress,amp=1,sample_3,13,-103.06720733642578,49.86857986450195,1.0,0.002337515405644948,0.0034748874509575906,0.0024922600396453313,u_f=5.8200Hz_Td=0.200s_cos * u_f=5.8200Hz_Td=0.200s_cos,2,0 0,u*u,5.82*5.82,0.2*0.2,cos*cos,-0.38578686118125916
topology_17_prestress,amp=1,sample_3,14,14.667856216430664,69.41322326660156,1.0,4.73420165018687e-05,0.006732419429019966,0.0009568771696891299,u_f=5.8200Hz_Td=0.200s_sin * u_f=5.8200Hz_Td=5.000s_sin,2,1 9,u*u,5.82*5.82,0.2*5.0,sin*sin,-0.37252721190452576
topology_17_prestress,amp=1,sample_3,15,75.85223388671875,23.814409255981445,1.0,0.0012660481277059882,0.0007924399589134336,0.0012016115846755588,u_f=5.8200Hz_Td=0.200s_sin * u_f=5.8200Hz_Td=5.000s_sin,2,1 9,u*u,5.82*5.82,0.2*5.0,sin*sin,-0.3250083923339844
topology_17_prestress,amp=1,sample_3,16,-252.50802612304688,58.61216354370117,1.0,0.014030199236578644,0.00480023220876508,0.012774420289451447,u_f=5.8200Hz_Td=0.200s_cos * u_f=5.8200Hz_Td=5.000s_cos,2,0 8,u*u,5.82*5.82,0.2*5.0,cos*cos,0.3889828026294708
topology_17_prestress,amp=1,sample_3,17,-11.205130577087402,-39.51237106323242,1.0,2.762786390902788e-05,0.002181488482986969,0.0003206703864157575,u_f=5.8200Hz_Td=5.000s_cos * u_f=5.8200Hz_Td=5.000s_sin,2,8 9,u*u,5.82*5.82,5.0*5.0,cos*sin,-0.2844090163707733
topology_17_prestress,amp=1,sample_3,18,-388.10687255859375,32.50176239013672,1.0,0.03314485556334818,0.0014760482804584683,0.028836170456820555,u_f=5.8200Hz_Td=0.200s_sin,1,1,u,5.82,0.2,sin,-0.5878888964653015
topology_17_prestress,amp=1,sample_3,19,325.96417236328125,-196.9773712158203,1.0,0.02338046803144907,0.05421499419787693,0.027575645401829694,u_f=5.8200Hz_Td=0.200s_cos,1,0,u,5.82,0.2,cos,0.6148021221160889
topology_17_prestress,amp=1,sample_4,0,170.6183319091797,-199.6147918701172,1.0,0.006428510231693682,0.056188488462476704,0.013165925632757926,u_f=5.8200Hz_Td=1.000s_cos * u_f=5.8200Hz_Td=1.000s_sin,2,4 5,u*u,5.82*5.82,1.0*1.0,cos*sin,0.16440948843955994
topology_17_prestress,amp=1,sample_4,1,414.2522888183594,-12.463688850402832,1.0,0.03789560015981029,0.00021905597609938538,0.03279426092961793,u_f=5.8200Hz_Td=1.000s_cos * u_f=5.8200Hz_Td=5.000s_cos,2,4 8,u*u,5.82*5.82,1.0*5.0,cos*cos,-0.20342901349067688
