topology,amplitude,sample,K,frequency_set_type,frequency_set_label,refined_frequency_hz,drive_channels,drive_smoothing_frames,number_drive_channels,filter_length_s,filter_length_frames,selected_frequencies_hz,decay_times_s,mechanical_degree,number_linear_features,number_candidate_features,number_raw_features,svd_rank,condition_number,train_nmse_x,train_nmse_y,train_nmse_2d,validation_nmse_x,validation_nmse_y,validation_nmse_2d,selection_metric_value
topology_17_prestress,amp=1,sample_3,1,refined_single,refined_6.2200Hz,6.220000000000001,u,1,1,3.0,90,6.22,0.2 0.5 1 2 5,2,10,65,65,21,47.14988327026367,0.3652689658129012,0.47636427864889447,0.3860211168449642,0.44054919623112926,0.8989907242353112,0.49047324264322345,0.49047324264322345
topology_17_prestress,amp=1,sample_3,1,refined_single,refined_6.2300Hz,6.23,u,1,1,3.0,90,6.23,0.2 0.5 1 2 5,2,10,65,65,21,47.036773681640625,0.36552081341159426,0.4881439067416384,0.3884263067924037,0.45558598633401876,0.9194617104940134,0.5061018139101717,0.5061018139101717
topology_17_prestress,amp=1,sample_3,1,refined_single,refined_6.2400Hz,6.24,u,1,1,3.0,90,6.24,0.2 0.5 1 2 5,2,10,65,65,21,46.89590835571289,0.36624851568768757,0.49974341424044216,0.3911848179137447,0.47129513480573165,0.9405851823931358,0.5224005794160498,0.5224005794160498
topology_17_prestress,amp=1,sample_3,1,refined_single,refined_6.2500Hz,6.25,u,1,1,3.0,90,6.25,0.2 0.5 1 2 5,2,10,65,65,21,47.190773010253906,0.3674702493387128,0.5105276505808357,0.3941927880403559,0.48744768962078056,0.9610816536768058,0.5390261844984552,0.5390261844984552
topology_17_prestress,amp=1,sample_3,1,refined_single,refined_6.2600Hz,6.260000000000001,u,1,1,3.0,90,6.26,0.2 0.5 1 2 5,2,10,65,65,20,41.62764358520508,0.3696963944564679,0.5215976112496169,0.39807092180938286,0.502009917616598,0.9831270235942439,0.5544033227975113,0.5544033227975113
topology_17_prestress,amp=1,sample_3,1,refined_single,refined_6.2700Hz,6.2700000000000005,u,1,1,3.0,90,6.27,0.2 0.5 1 2 5,2,10,65,65,20,42.336246490478516,0.3721601416120868,0.5310531890433858,0.4018407143929282,0.5183262885779414,1.0015541983045566,0.5709495592005598,0.5709495592005598
topology_17_prestress,amp=1,sample_3,1,refined_single,refined_6.2800Hz,6.28,u,1,1,3.0,90,6.28,0.2 0.5 1 2 5,2,10,65,65,20,42.55243682861328,0.37517399397153306,0.5394154691139812,0.40585363122064494,0.5343706694185395,1.0184039337178408,0.5870816427395583,0.5870816427395583
topology_17_prestress,amp=1,sample_3,1,refined_single,refined_6.2900Hz,6.29,u,1,1,3.0,90,6.29,0.2 0.5 1 2 5,2,10,65,65,20,42.48488235473633,0.37905059021117504,0.5472340197859806,0.4104665684602224,0.5496531142702622,1.0355669529517786,0.6025688811734589,0.6025688811734589
topology_17_prestress,amp=1,sample_3,1,refined_single,refined_6.3000Hz,6.300000000000001,u,1,1,3.0,90,6.3,0.2 0.5 1 2 5,2,10,65,65,20,42.25339126586914,0.3839610210724471,0.555035940614776,0.41591711784658764,0.5635615490812109,1.0543024153710499,0.6170029768061908,0.6170029768061908
topology_17_prestress,amp=1,sample_3,1,refined_single,refined_6.3100Hz,6.3100000000000005,u,1,1,3.0,90,6.31,0.2 0.5 1 2 5,2,10,65,65,20,41.8800163269043,0.38991004266473944,0.563245776987908,0.4222884504130322,0.5755190520539827,1.0747319785385385,0.6298830827730858,0.6298830827730858
topology_17_prestress,amp=1,sample_3,1,refined_single,refined_6.3200Hz,6.32,u,1,1,3.0,90,6.32,0.2 0.5 1 2 5,2,10,65,65,20,41.38277816772461,0.39685602505606127,0.5721875029533707,0.4296072295589121,0.5851423039068442,1.0960435550934224,0.6407791871693108,0.6407791871693108
topology_17_prestress,amp=1,sample_3,1,refined_single,refined_6.3300Hz,6.33,u,1,1,3.0,90,6.33,0.2 0.5 1 2 5,2,10,65,65,20,40.813987731933594,0.40479268869272,0.5821044551791199,0.43791380302199623,0.592235948155066,1.1168941142282445,0.649370952367168,0.649370952367168
topology_17_prestress,amp=1,sample_3,1,refined_single,refined_6.3400Hz,6.340000000000001,u,1,1,3.0,90,6.34,0.2 0.5 1 2 5,2,10,65,65,20,40.321678161621094,0.4137518843418156,0.5931749342107954,0.4472673777903214,0.5967642705372465,1.1358270084297606,0.6554679252055704,0.6554679252055704
topology_17_prestress,amp=1,sample_3,1,refined_single,refined_6.3500Hz,6.3500000000000005,u,1,1,3.0,90,6.35,0.2 0.5 1 2 5,2,10,65,65,20,40.42354965209961,0.4237728999835104,0.6055220940694807,0.4577229076782166,0.5988484196737227,1.1516250357036317,0.6590455086118467,0.6590455086118467
topology_17_prestress,amp=1,sample_3,1,refined_single,refined_6.3600Hz,6.36,u,1,1,3.0,90,6.36,0.2 0.5 1 2 5,2,10,65,65,20,41.269649505615234,0.4348748061127339,0.6192245021522705,0.4693105769591157,0.598750436268321,1.163542020128768,0.6602559490183605,0.6602559490183605
topology_17_prestress,amp=1,sample_3,1,refined_single,refined_6.3700Hz,6.37,u,1,1,3.0,90,6.37,0.2 0.5 1 2 5,2,10,65,65,19,38.051761627197266,0.5357908605684338,0.7684881732815116,0.5792577688916124,0.4526864351848896,1.1183268405482112,0.5251743326836097,0.5251743326836097
topology_17_prestress,amp=1,sample_3,1,refined_single,refined_6.3800Hz,6.380000000000001,u,1,1,3.0,90,6.38,0.2 0.5 1 2 5,2,10,65,65,19,38.98723220825195,0.5389140550360287,0.7754573128973028,0.5830993702166976,0.4595710679749736,1.1211221350601495,0.5316136386402328,0.5316136386402328
topology_17_prestress,amp=1,sample_3,1,refined_single,refined_6.3900Hz,6.390000000000001,u,1,1,3.0,90,6.39,0.2 0.5 1 2 5,2,10,65,65,19,39.787322998046875,0.5410823997424524,0.7807988271144154,0.5858604500372784,0.46533322609328825,1.1224270960037048,0.5368904102806047,0.5368904102806047
topology_17_prestress,amp=1,sample_3,1,refined_single,refined_6.4000Hz,6.4,u,1,1,3.0,90,6.4,0.2 0.5 1 2 5,2,10,65,65,19,40.30339050292969,0.5425626519743504,0.7850623900365759,0.5878606133467819,0.47095613708780937,1.1234568854630955,0.5420131327043077,0.5420131327043077
topology_17_prestress,amp=1,sample_4,1,fft_prefix,fft_prefix_K1,nan,u,1,1,3.0,90,5.9138162,0.2 0.5 1 2 5,2,10,65,65,20,46.782901763916016,0.3661664043207592,0.33976986641711426,0.36127825958887677,0.3557343453120927,0.5912333388145422,0.38145145580358275,0.38145145580358275
topology_17_prestress,amp=1,sample_4,2,fft_prefix,fft_prefix_K2,nan,u,1,1,3.0,90,5.9138162 0.20046835,0.2 0.5 1 2 5,2,20,230,230,43,59.75337600708008,0.3056359418815419,0.15963456966135986,0.2785992205860888,0.58321341602214,0.7507713245077144,0.6015111810450788,0.6015111810450788
topology_17_prestress,amp=1,sample_4,1,refined_single,refined_5.4000Hz,5.4,u,1,1,3.0,90,5.4,0.2 0.5 1 2 5,2,10,65,65,22,40.28322219848633,0.573952288087419,0.6348678624874696,0.5852327122544115,0.427759163836832,0.8212964842276909,0.47073447596236445,0.47073447596236445
topology_17_prestress,amp=1,sample_4,1,refined_single,refined_5.4100Hz,5.41,u,1,1,3.0,90,5.41,0.2 0.5 1 2 5,2,10,65,65,22,39.378849029541016,0.5745447291039693,0.6238183888626069,0.5836692885916172,0.4366265570549429,0.8190007957581029,0.4783828312520389,0.4783828312520389
topology_17_prestress,amp=1,sample_4,1,refined_single,refined_5.4200Hz,5.42,u,1,1,3.0,90,5.42,0.2 0.5 1 2 5,2,10,65,65,22,38.78649139404297,0.5744964399307597,0.6148659197825529,0.5819721119672486,0.44670182401607333,0.8172376667256378,0.4871653141834743,0.4871653141834743
topology_17_prestress,amp=1,sample_4,1,refined_single,refined_5.4300Hz,5.430000000000001,u,1,1,3.0,90,5.43,0.2 0.5 1 2 5,2,10,65,65,22,38.52346420288086,0.5737566861620654,0.6068542167680316,0.5798857293138773,0.4578875892558128,0.8182825000601162,0.49724366294378186,0.49724366294378186
topology_17_prestress,amp=1,sample_4,1,refined_single,refined_5.4400Hz,5.44,u,1,1,3.0,90,5.44,0.2 0.5 1 2 5,2,10,65,65,22,38.51189041137695,0.5721052222513757,0.5980257914974136,0.5769052264970056,0.4701624697119168,0.8242174079026615,0.5088262016883942,0.5088262016883942
topology_17_prestress,amp=1,sample_4,1,refined_single,refined_5.4500Hz,5.45,u,1,1,3.0,90,5.45,0.2 0.5 1 2 5,2,10,65,65,23,47.11255645751953,0.5684832767286568,0.5781114794047674,0.5702662396444957,0.48713762270216293,0.8367261598816794,0.5253136119218808,0.5253136119218808
topology_17_prestress,amp=1,sample_4,1,refined_single,refined_5.4600Hz,5.46,u,1,1,3.0,90,5.46,0.2 0.5 1 2 5,2,10,65,65,23,47.46376037597656,0.5640833255851978,0.566090769457592,0.5644550666152229,0.501167066503244,0.8541329829696911,0.5397118744384983,0.5397118744384983
topology_17_prestress,amp=1,sample_4,1,refined_single,refined_5.4700Hz,5.470000000000001,u,1,1,3.0,90,5.47,0.2 0.5 1 2 5,2,10,65,65,23,47.615440368652344,0.5582637272803775,0.5540372674354361,0.5574810660275659,0.515488043569298,0.8710744430406561,0.5543190151521165,0.5543190151521165
topology_17_prestress,amp=1,sample_4,1,refined_single,refined_5.4800Hz,5.48,u,1,1,3.0,90,5.48,0.2 0.5 1 2 5,2,10,65,65,23,47.43599319458008,0.5511637285868841,0.5378329183355334,0.5486951120531658,0.532177751685928,0.8782732159376652,0.5699722881397449,0.5699722881397449
topology_17_prestress,amp=1,sample_4,1,refined_single,refined_5.4900Hz,5.49,u,1,1,3.0,90,5.49,0.2 0.5 1 2 5,2,10,65,65,23,47.32482147216797,0.5429364956816245,0.5213319790523019,0.5389357435931502,0.5513620630023895,0.8882447464330303,0.5881505395202958,0.5881505395202958
topology_17_prestress,amp=1,sample_4,1,refined_single,refined_5.5000Hz,5.5,u,1,1,3.0,90,5.5,0.2 0.5 1 2 5,2,10,65,65,23,47.5085334777832,0.5339546765149763,0.5061822406802579,0.5288117412401849,0.5725096268613266,0.9025261010658263,0.6085482952433247,0.6085482952433247
topology_17_prestress,amp=1,sample_4,1,refined_single,refined_5.5100Hz,5.510000000000001,u,1,1,3.0,90,5.51,0.2 0.5 1 2 5,2,10,65,65,23,47.9673957824707,0.5241885297479504,0.492607663985241,0.518340344536322,0.5976147850235412,0.9224144839725131,0.6330837678045074,0.6330837678045074
topology_17_prestress,amp=1,sample_4,1,refined_single,refined_5.5200Hz,5.5200000000000005,u,1,1,3.0,90,5.52,0.2 0.5 1 2 5,2,10,65,65,23,48.11930847167969,0.51420364834413,0.4817263463542214,0.508189459922632,0.6302234451391208,0.9393240269663159,0.6639780429724707,0.6639780429724707
topology_17_prestress,amp=1,sample_4,1,refined_single,refined_5.5300Hz,5.53,u,1,1,3.0,90,5.53,0.2 0.5 1 2 5,2,10,65,65,23,47.96012496948242,0.5074131461894034,0.47244898637449356,0.5009384382474822,0.6501557368941409,0.9408004228655807,0.6818949022796358,0.6818949022796358
