sample,Q_extra,D,horizon_steps,lag_stride_frames,target_delay_frames_min,target_delay_frames_max,target_delay_set_frames,max_lag_frames,number_of_terms,status,selected_alpha,min_cv_train_rows,window_rows,terms_per_min_cv_train_row,train_nmse_x_mean,train_nmse_x_std,val_nmse_x_mean,val_nmse_x_std,train_nmse_y_mean,train_nmse_y_std,val_nmse_y_mean,val_nmse_y_std,train_nmse_2d_mean,train_nmse_2d_std,val_nmse_2d_mean,val_nmse_2d_std,train_val_gap_2d
sample_0,10,1,5,1,5,15,"[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",10,11,ok,0.01,441,589,0.024943310657596373,0.29551550225937573,0.041118058452538436,0.3941068950615053,0.11927354103951975,0.4790247009921301,0.03809101880573013,0.5569143513734058,0.0856342329807768,0.30150531115434764,0.041245769897353644,0.40001051715036373,0.11784084957738601,0.09850520599601609
sample_0,0,2,5,1,5,5,[5],0,2,ok,1.0,449,599,0.004454342984409799,0.31179094435609916,0.04334521476757261,0.4119030057312659,0.12598466973776,0.5484846918233018,0.04966390598309941,0.6197241521514395,0.10663440001428975,0.319547590021454,0.04387269893262627,0.4196022185436472,0.124909066579621,0.10005462852219321
sample_0,1,2,5,1,5,6,"[5, 6]",1,5,ok,0.01,448,598,0.011160714285714286,0.3038215912166677,0.043588406966070734,0.40875359816859885,0.12755974241187068,0.5245689788670027,0.04816019351609889,0.6003320644516923,0.10544786135449982,0.31105114651287774,0.04403304137696743,0.4158193345692149,0.1264163484748741,0.10476818805633714
sample_0,2,2,5,1,5,7,"[5, 6, 7]",2,9,ok,0.01,447,597,0.020134228187919462,0.30219634769001946,0.043754187430107117,0.4098517637240198,0.12651875959462694,0.48918594060743303,0.046926954082508736,0.5685811706031876,0.1086605316730259,0.3083146376108798,0.04409630950194478,0.4156629547312324,0.12557643722880363,0.10734831712035259
sample_0,3,2,5,1,5,8,"[5, 6, 7, 8]",3,14,ok,0.01,447,596,0.03131991051454139,0.3010357674663361,0.04376605347062465,0.41418562108883333,0.1292110845488849,0.4747900953333821,0.04545269700645697,0.5626759996533417,0.10662213623643116,0.3067197950363647,0.044057075480436275,0.419613042484741,0.12833663533680476,0.11289324744837631
sample_0,4,2,5,1,5,9,"[5, 6, 7, 8, 9]",4,20,ok,1.0,446,595,0.04484304932735426,0.3027672649395854,0.04449758388819387,0.4174885268794239,0.12803595480887248,0.4916583513789884,0.043523564141724896,0.5808248441530214,0.0992411174345818,0.30894215789861057,0.04475854839246545,0.42346557322289735,0.12716185192259088,0.11452341532428678
sample_0,5,2,5,1,5,10,"[5, 6, 7, 8, 9, 10]",5,27,ok,1.0,445,594,0.060674157303370786,0.300687648297923,0.043713384000021616,0.42105023573589917,0.12856659622583927,0.4758800586705393,0.0432934892107107,0.570984573746175,0.10130122913780967,0.3064095946862143,0.04395137561139548,0.42649501235061477,0.12768951073888646,0.12008541766440045
sample_0,6,2,5,1,5,11,"[5, 6, 7, 8, 9, 10, 11]",6,35,ok,1.0,444,593,0.07882882882882883,0.29960891293459957,0.04333205365886667,0.4243151561649343,0.12661992410403936,0.47115927217942855,0.0425886983012506,0.571149734556124,0.10085597517607035,0.30520805097637477,0.0435217021835092,0.42965537089338035,0.12574014144057158,0.12444731991700558
sample_0,7,2,5,1,5,12,"[5, 6, 7, 8, 9, 10, 11, 12]",7,44,ok,1.0,444,592,0.0990990990990991,0.29732746766453644,0.04208833506111487,0.4251577123014846,0.12485907019543717,0.4507770071171938,0.04050722541024935,0.5534358452178643,0.0948891539750272,0.30232565872492595,0.04217000870567319,0.42970858218614544,0.12386736993497263,0.1273829234612195
sample_0,8,2,5,1,5,13,"[5, 6, 7, 8, 9, 10, 11, 12, 13]",8,54,ok,1.0,443,591,0.12189616252821671,0.2947945642373422,0.04137261076292278,0.41988339006772246,0.1204827471286112,0.44792982782994506,0.04163602959718627,0.5512499399550634,0.09796661043237824,0.29978758689017326,0.0415430233672577,0.42458330625700236,0.119821787769887,0.1247957193668291
sample_0,9,2,5,1,5,14,"[5, 6, 7, 8, 9, 10, 11, 12, 13, 14]",9,65,ok,1.0,442,590,0.14705882352941177,0.2924561134193917,0.04093528145587058,0.4199608725114187,0.11766527305117698,0.4384563314461439,0.04014334017952718,0.547282439640356,0.09730841822154955,0.29721241148912114,0.041048107205237536,0.42448118474916524,0.11713285263786886,0.1272687732600441
