Q_extra,D,horizon_steps,lag_stride_frames,target_delay_frames_min,target_delay_frames_max,target_delay_set_frames,status,number_of_terms,number_of_terms_std_across_samples,selected_alpha,selected_alpha_std_across_samples,min_cv_train_rows,min_cv_train_rows_std_across_samples,window_rows,window_rows_std_across_samples,terms_per_min_cv_train_row,terms_per_min_cv_train_row_std_across_samples,train_nmse_x_mean,train_nmse_x_mean_std_across_samples,val_nmse_x_mean,val_nmse_x_mean_std_across_samples,train_nmse_y_mean,train_nmse_y_mean_std_across_samples,val_nmse_y_mean,val_nmse_y_mean_std_across_samples,train_nmse_2d_mean,train_nmse_2d_mean_std_across_samples,val_nmse_2d_mean,val_nmse_2d_mean_std_across_samples,train_val_gap_2d,train_val_gap_2d_std_across_samples,val_nmse_2d_cv_std_mean,num_samples,num_ok_samples
10,1,5,1,5,15,"[5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15]",ok,11.0,0.0,0.01,0.0,441.0,0.0,589.0,0.0,0.024943310657596373,0.0,0.29614317508851695,0.0007055924177631951,0.39243796490974864,0.001524392807604951,0.46978885496426265,0.005904609846359052,0.5798907747014017,0.0560580215876845,0.30202280294726225,0.000820399076275233,0.3994505303359265,0.002000430801628784,0.0974277273886642,0.0013282118285795445,0.11601824270648446,5,5
0,2,5,1,5,5,[5],ok,2.0,0.0,1.0,0.0,449.0,0.0,599.0,0.0,0.004454342984409799,0.0,0.3125615411467867,0.0008253261023469399,0.41031893963722676,0.0014991845723778211,0.5399593218768215,0.006174904513491242,0.6423855696980821,0.049954586973892795,0.320314790538704,0.0009961936802510573,0.41915763913924814,0.002043852411130808,0.09884284860054414,0.0012780995232370342,0.12331375774422604,5,5
1,2,5,1,5,6,"[5, 6]",ok,5.0,0.0,0.00802,0.00396,448.0,0.0,598.0,0.0,0.011160714285714286,0.0,0.30455247290950316,0.0007058389302155943,0.4067305184089528,0.0015717535579056296,0.5164727684550418,0.006128012744007851,0.6242089151602872,0.050902311882276986,0.31177505516525866,0.0008115163213058093,0.4150037710013952,0.0015753908622663276,0.1032287158361365,0.0011300567986189877,0.12458799791740918,5,5
2,2,5,1,5,7,"[5, 6, 7]",ok,9.0,0.0,0.01,0.0,447.0,0.0,597.0,0.0,0.020134228187919462,0.0,0.3029347640672536,0.0006902012013075111,0.4078343449997586,0.0016383559867303497,0.480937647070842,0.005636647772439501,0.590713277121156,0.050135794080047966,0.3089882929709582,0.0007621043690676828,0.41476931260065897,0.0014215161379497116,0.10578101962970074,0.0010454413158590202,0.12419752430916009,5,5
3,2,5,1,5,8,"[5, 6, 7, 8]",ok,14.0,0.0,0.40599999999999986,0.4849989690710692,447.0,0.0,596.0,0.0,0.03131991051454139,0.0,0.30303439198746296,0.0017907533391966655,0.41214338763887526,0.001575686972654357,0.4769163498767403,0.010632456289827973,0.5921195223021554,0.044104443495061985,0.3089405227083637,0.0019834977258771955,0.4189542382882324,0.0017085391838913596,0.11001371557986865,0.0027210849811330853,0.125604639283118,5,5
4,2,5,1,5,9,"[5, 6, 7, 8, 9]",ok,20.0,0.0,1.0,0.0,446.0,0.0,595.0,0.0,0.04484304932735426,0.0,0.3035302154995255,0.0007032855471974529,0.4156147914884885,0.0015725439733933666,0.48257219101803733,0.005972465143873775,0.6003803884400762,0.04708437142667575,0.30960903811557594,0.0007827651557003806,0.42259557177554513,0.0018780265631129043,0.11298653365996911,0.001368834203203226,0.12577957104554036,5,5
5,2,5,1,5,10,"[5, 6, 7, 8, 9, 10]",ok,27.0,0.0,1.0,0.0,445.0,0.0,594.0,0.0,0.06067415730337079,6.938893903907228e-18,0.30146419776134736,0.0006636140534251662,0.4193289997799618,0.0015514946559866375,0.46744281721811387,0.005313460802885522,0.5920385983393247,0.050310513549137244,0.30709749638272166,0.0007953695805265207,0.4258415423152728,0.0022683464468285694,0.11874404593255114,0.0016810126721383998,0.12632282466353614,5,5
6,2,5,1,5,11,"[5, 6, 7, 8, 9, 10, 11]",ok,35.0,0.0,1.0,0.0,444.0,0.0,593.0,0.0,0.07882882882882883,0.0,0.3003394126933411,0.0006030403661915338,0.42266996260388867,0.0016956789127065496,0.4625765989578694,0.005508060938616654,0.592022998807578,0.050040043172732765,0.30583954569584115,0.0007092700059743086,0.4290607019892866,0.002528731835894356,0.1232211562934454,0.0019882595335139123,0.12462229790472137,5,5
7,2,5,1,5,12,"[5, 6, 7, 8, 9, 10, 11, 12]",ok,44.0,0.0,1.0,0.0,444.0,0.0,592.0,0.0,0.0990990990990991,0.0,0.29803221208767916,0.0006246543902585177,0.4235880150001237,0.0017604434199058386,0.4419061989394758,0.005558110403559841,0.5709866705034139,0.045276821237855785,0.3028912599553107,0.0006664945097972245,0.4290666544656382,0.00255393299245791,0.12617539451032755,0.0020418640355723736,0.12270152538921889,5,5
8,2,5,1,5,13,"[5, 6, 7, 8, 9, 10, 11, 12, 13]",ok,54.0,0.0,1.0,0.0,443.0,0.0,591.0,0.0,0.12189616252821671,0.0,0.29544578217610906,0.0006353552639068274,0.41837093974284584,0.0014151413313289746,0.43907197154566224,0.005662024535821321,0.5681979478341257,0.044376171178779046,0.3003041047600998,0.0006933288289990271,0.4239609579138112,0.0022350576512520154,0.12365685315371144,0.0016857943369105442,0.11874339126400224,5,5
