topology,amplitude,sample,target_component,hidden_node,reference_node,horizon_steps,H_cut,D_cut,basis_index,basis_term,total_degree,max_readout_time_delay,max_target_time_delay,max_lag_frames,exponents,coefficient_x,p_alpha_centered_norm_sq,target_x_centered_norm_sq,c_alpha_x,IPC_alpha_raw,IPC_alpha_clipped,weighted_contribution_x_raw,weighted_contribution_x_clipped,basis_nmse_x,basis_R2_x,task_ridge_alpha,ipc_ridge_alpha,basis_adequacy_label_x
topology_10_prestress,amp=2.5,sample_4,x,10,0,5,2,1,0,P1(u[target-7]),1,2,7,2,0 0 1,13.944554328918457,274.650146484375,5023044.608521014,0.010632174089550972,0.9275595812672748,0.9275595812672748,0.009861974946464668,0.009861974946464668,0.2961151318931877,0.7038848681068123,0.1,1e-06,partial
topology_10_prestress,amp=2.5,sample_4,x,10,0,5,2,1,1,P1(u[target-6]),1,1,6,1,0 1 0,-74.77090454101562,274.3050842285156,5023044.608521014,0.3053037226200104,0.974449992256457,0.974449992256457,0.2975032101429366,0.2975032101429366,0.2961151318931877,0.7038848681068123,0.1,1e-06,partial
topology_10_prestress,amp=2.5,sample_4,x,10,0,5,2,1,2,P1(u[target-5]),1,0,5,0,1 0 0,173.35494995117188,274.1311340332031,5023044.608521014,1.640075445175171,0.9999964059330969,0.9999964059330969,1.6400695506342948,1.6400695506342948,0.2961151318931877,0.7038848681068123,0.1,1e-06,partial
topology_17_prestress,amp=1,sample_0,x,10,0,5,2,1,0,P1(u[target-7]),1,2,7,2,0 0 1,105.79817199707031,296.0281066894531,4462452.350472821,0.7425328493118286,0.9290609690854283,0.9290609690854283,0.6898582885594118,0.6898582885594118,0.3179648059803594,0.6820351940196405,0.1,1e-06,partial
topology_17_prestress,amp=1,sample_0,x,10,0,5,2,1,1,P1(u[target-6]),1,1,6,1,0 1 0,-223.00376892089844,295.6388854980469,4462452.350472821,3.294673204421997,0.9776402077093712,0.9776402077093712,3.221004995905621,3.221004995905621,0.3179648059803594,0.6820351940196405,0.1,1e-06,partial
topology_17_prestress,amp=1,sample_0,x,10,0,5,2,1,2,P1(u[target-5]),1,0,5,0,1 0 0,218.10409545898438,295.4255676269531,4462452.350472821,3.1492133140563965,0.999999371019175,0.999999371019175,3.1492113332616083,3.1492113332616083,0.3179648059803594,0.6820351940196405,0.1,1e-06,partial
topology_17_prestress,amp=1,sample_1,x,10,0,5,2,1,0,P1(u[target-7]),1,2,7,2,0 0 1,106.47850036621094,299.3782653808594,4485037.168726554,0.7567946910858154,0.31171856198304415,0.31171856198304415,0.2359069528216725,0.2359069528216725,0.32359621496144664,0.6764037850385534,0.1,1e-06,partial
topology_17_prestress,amp=1,sample_1,x,10,0,5,2,1,1,P1(u[target-6]),1,1,6,1,0 1 0,-222.69241333007812,299.0155334472656,4485037.168726554,3.30627179145813,0.9451290048684896,0.9451290048684896,3.1248533680855806,3.1248533680855806,0.32359621496144664,0.6764037850385534,0.1,1e-06,partial
topology_17_prestress,amp=1,sample_1,x,10,0,5,2,1,2,P1(u[target-5]),1,0,5,0,1 0 0,216.41612243652344,298.83709716796875,4485037.168726554,3.12066912651062,0.9999992272553135,0.9999992272553135,3.1206667150301346,3.1206667150301346,0.32359621496144664,0.6764037850385534,0.1,1e-06,partial
topology_17_prestress,amp=1,sample_2,x,10,0,5,2,1,0,P1(u[target-7]),1,2,7,2,0 0 1,108.96117401123047,300.6812438964844,4501053.776138764,0.7931140661239624,0.9322071453274682,0.9322071453274682,0.7393465995004799,0.7393465995004799,0.3272184714662541,0.672781528533746,0.1,1e-06,partial
