sample,node,dim,train_min_px,train_max_px,train_mean_px,test_min_px,test_max_px,final_test_px,final_outside_train_px,max_test_outside_train_px,max_test_outside_time_s,emphasized_node
sample_3,12,x,1152.6837523765676,1155.5568389006198,1154.2133531048455,1152.2210635458894,1155.7860700316473,1154.386784028575,0.0,0.46268883067818933,17.150466680526733,True
sample_3,12,y,1935.0458205912335,1937.8514134426507,1936.6678095649345,1934.9048967340932,1937.6619051276143,1936.313594421057,0.0,0.14092385714025113,21.488133430480957,True
sample_3,13,x,1679.033181818182,1700.8084966273336,1689.8166372537144,1678.551323985564,1701.8746966395634,1689.4679747579264,0.0,1.0662000122297286,23.32330012321472,False
sample_3,13,y,1783.0524919510624,1876.6065868469489,1827.6907967277577,1782.4994978354976,1872.3652886795742,1804.1017177214003,0.0,0.552994115564843,17.150466680526733,False
sample_3,14,x,2200.3833346491574,2210.5991312953597,2205.2058260926815,2198.569806418085,2210.586394809356,2203.9089080306976,0.0,1.8135282310722687,16.75006675720215,False
sample_3,14,y,1781.6833046775116,1872.398369918057,1825.2702189723448,1768.4345558141401,1871.9776511638177,1809.9705783307631,0.0,13.248748863371475,17.150466680526733,False
sample_3,15,x,2763.63957983555,2767.152057522696,2765.7489215233954,2763.7942870900615,2767.0065892473117,2765.720603793059,0.0,0.0,14.948266744613647,True
sample_3,15,y,1891.0910225941996,1893.8963522402985,1892.5994454254144,1891.0486684558216,1893.6982541280533,1892.299324818303,0.0,0.042354138377959316,21.454766750335693,True
sample_4,0,x,913.31578675483,1313.3415515335125,1163.5294119861953,899.5629930998011,1444.3133053221288,1143.8524207695527,0.0,130.9717537886163,19.419399976730347,False
sample_4,0,y,322.3624980435123,338.02509728966487,328.45558263493365,317.8534576330532,339.2076883054852,329.97881548366416,0.0,4.509040410459079,19.419399976730347,False
sample_4,1,x,1521.3837653256458,1809.9011406140057,1690.6354833942726,1516.0531547252444,1908.344287149165,1676.778964017398,0.0,98.44314653515926,19.386033296585083,False
sample_4,1,y,355.99206984045065,481.3344534050179,407.0095180852796,353.1136580223487,503.86460926741626,396.9524515618821,0.0,22.530155862398374,20.553866624832153,False
sample_4,2,x,2105.273830653581,2236.977526096342,2184.2920185501544,2101.017751428226,2272.24527545704,2178.227800106829,0.0,35.26774936069796,19.386033296585083,False
sample_4,2,y,301.9164199262376,413.0073828744911,345.23349880553195,301.70502104604407,454.28806859644857,333.2788066654407,0.0,41.28068572195747,19.419399976730347,False
sample_4,3,x,2682.387475380843,2686.6921800103637,2685.0066131220997,2682.70677480531,2687.0384740444483,2685.0352575710017,0.0,0.34629403408462167,19.152466535568237,True
sample_4,3,y,270.4935617430066,271.88723382104445,271.2432790948215,270.51870466152695,271.7613361523553,271.2491207738799,0.0,0.0,14.948266506195068,True
sample_4,4,x,937.23322147651,1288.4397550635892,1158.436094375994,931.3758964842771,1399.9305419921875,1162.175687989794,0.0,111.49078692859825,20.019999980926514,False
sample_4,4,y,861.0261939854679,884.2195765890249,869.3927389785588,846.0536033061893,882.379415550763,870.3918443593949,0.0,14.972590679278596,19.386033296585083,False
sample_4,5,x,1642.1039579114963,1774.0966637608512,1723.7530802283616,1646.2066442941102,1825.545057267716,1739.707762682152,0.0,51.448393506864704,19.51949977874756,False
sample_4,5,y,841.3124454453406,952.9649665410785,891.716529657096,840.5540980750806,958.084318360914,879.3541780796903,0.0,5.119351819835515,20.553866624832153,False
sample_4,6,x,2131.703963339789,2227.4255166681,2191.7886894162148,2124.820352007232,2251.504404321836,2206.4339463055353,0.0,24.07888765373582,19.51949977874756,False
sample_4,6,y,828.333512960069,925.252294167037,884.011580714528,828.5874447486623,935.4749824455812,880.4848847707293,0.0,10.222688278544183,19.35266661643982,False
sample_4,7,x,2622.4098366317826,2694.4438152168213,2665.6079819436354,2606.257018451457,2699.84667436005,2675.6389383037285,0.0,16.15281818032554,17.150466442108154,False
sample_4,7,y,807.2653455311191,817.3895806382061,813.1552623637376,805.7593387965183,818.2251701600179,814.3909938135571,0.0,1.5060067346008736,18.418399810791016,False
sample_4,8,x,1030.7040795758292,1250.9402706709388,1159.9497593965466,1027.5189533956657,1310.5429831882675,1186.8730645594517,0.0,59.602712517328655,20.15346646308899,False
sample_4,8,y,1380.4514454830282,1396.7391179040924,1387.1488918918103,1365.7255859375,1399.2149676086005,1386.869910668642,0.0,14.725859545528238,19.35266661643982,False
sample_4,9,x,1677.0114509475593,1767.3100306308402,1726.4808466379359,1673.6194081394112,1786.743584537139,1738.0415712770116,0.0,19.433553906298812,19.51949977874756,False
sample_4,9,y,1313.6878614674627,1397.2747870886342,1355.0415194366,1311.2536534158403,1401.8673344822632,1335.5200271744186,0.0,4.592547393629047,19.652966499328613,False
sample_4,10,x,2150.8197682559685,2222.351668210465,2193.782625197444,2149.0917733283763,2233.3149284253577,2201.785164256828,0.0,10.96326021489267,19.51949977874756,False
sample_4,10,y,1308.5817638038109,1400.0801523750292,1356.10389077676,1302.6128685884198,1397.7960858754645,1345.1540911860839,0.0,5.968895215391058,17.150466442108154,False
