topology,amplitude,sample,hidden_node,reference_node,horizon_steps,H_cut,D_cut,basis_index,basis_term,total_degree,max_readout_time_delay,max_target_time_delay,max_lag_frames,exponents,coefficient_x,coefficient_y,p_alpha_norm_sq,c_alpha_x,c_alpha_y,c_alpha
topology_15_prestress,amp=2.5,sample_0,10,0,5,1,1,1,P1(u[target-5]),1,0,5,0,1 0,248.57505798339844,-37.9709358215332,282.2199401855469,2.8919552427218815,1.3672059936735381,2.820238517249536
topology_15_prestress,amp=2.5,sample_1,10,0,5,1,1,0,P1(u[target-6]),1,1,6,1,0 1,-129.15618896484375,17.973861694335938,282.4808654785156,0.7776457657423796,0.31178568212428814,0.7561799951221073
topology_15_prestress,amp=2.5,sample_1,10,0,5,1,1,1,P1(u[target-5]),1,0,5,0,1 0,249.7413330078125,-37.803436279296875,282.2933044433594,2.905653085738877,1.3783118041604572,2.8352766814017483
topology_15_prestress,amp=2.5,sample_2,10,0,5,1,1,0,P1(u[target-6]),1,1,6,1,0 1,-129.23817443847656,18.387346267700195,284.6675109863281,0.7857149748316621,0.32512803257492584,0.7642348276850279
topology_15_prestress,amp=2.5,sample_2,10,0,5,1,1,1,P1(u[target-5]),1,0,5,0,1 0,249.2615966796875,-38.34360885620117,284.3084716796875,2.9190803056388,1.4120633295639984,2.8487983600848197
topology_15_prestress,amp=2.5,sample_3,10,0,5,1,1,0,P1(u[target-6]),1,1,6,1,0 1,-129.5151824951172,17.723796844482422,285.36883544921875,0.791313565436919,0.30629166201620317,0.7689301006360655
topology_15_prestress,amp=2.5,sample_3,10,0,5,1,1,1,P1(u[target-5]),1,0,5,0,1 0,249.34033203125,-37.60417175292969,285.0621337890625,2.929714515704192,1.3772941144208812,2.8580712617332256
topology_15_prestress,amp=2.5,sample_4,10,0,5,1,1,0,P1(u[target-6]),1,1,6,1,0 1,-129.87232971191406,17.469009399414062,284.63677978515625,0.7910697504808709,0.2883501677736344,0.7672967007967061
topology_15_prestress,amp=2.5,sample_4,10,0,5,1,1,1,P1(u[target-5]),1,0,5,0,1 0,249.99093627929688,-37.332191467285156,284.3069152832031,2.927699156842702,1.3153672554692064,2.8514537752876374
topology_16_prestress,amp=2.5,sample_0,10,0,5,1,1,0,P1(u[target-6]),1,1,6,1,0 1,-73.70205688476562,20.541213989257812,161.1263427734375,0.2855556338790996,0.6786146484340215,0.29799648268396445
topology_16_prestress,amp=2.5,sample_0,10,0,5,1,1,1,P1(u[target-5]),1,0,5,0,1 0,173.1140594482422,-33.81147384643555,161.11163330078125,1.57527560710642,1.8384828003230498,1.5836064703455415
topology_16_prestress,amp=2.5,sample_1,10,0,5,1,1,0,P1(u[target-6]),1,1,6,1,0 1,-72.40980529785156,21.411163330078125,159.0840301513672,0.27513664961790213,0.7011269179322002,0.28926807494528695
topology_16_prestress,amp=2.5,sample_1,10,0,5,1,1,1,P1(u[target-5]),1,0,5,0,1 0,172.07080078125,-35.5775260925293,158.5988006591797,1.5489641234494194,1.929927160210566,1.5616018551229318
topology_16_prestress,amp=2.5,sample_2,10,0,5,1,1,0,P1(u[target-6]),1,1,6,1,0 1,-73.15452575683594,21.288230895996094,161.43173217773438,0.28005194100311953,0.7115099596580292,0.29396918500602454
topology_16_prestress,amp=2.5,sample_2,10,0,5,1,1,1,P1(u[target-5]),1,0,5,0,1 0,173.05233764648438,-34.83281707763672,160.99234008789062,1.562886484005249,1.899745148770721,1.5737523018353348
topology_16_prestress,amp=2.5,sample_3,10,0,5,1,1,0,P1(u[target-6]),1,1,6,1,0 1,-73.73338317871094,21.41629981994629,164.03411865234375,0.2880597513105028,0.7362905916250788,0.30238139097986144
topology_16_prestress,amp=2.5,sample_3,10,0,5,1,1,1,P1(u[target-5]),1,0,5,0,1 0,173.7500457763672,-34.62808609008789,163.50436401367188,1.5944072956732624,1.9187240138067345,1.6047696954862625
topology_16_prestress,amp=2.5,sample_4,10,0,5,1,1,0,P1(u[target-6]),1,1,6,1,0 1,-73.4934310913086,20.469785690307617,162.13131713867188,0.28203001048658727,0.6827684010837882,0.29447269371272883
topology_16_prestress,amp=2.5,sample_4,10,0,5,1,1,1,P1(u[target-5]),1,0,5,0,1 0,173.6245880126953,-33.61801528930664,161.69541931152344,1.5698260791699805,1.8366304005483012,1.5781101910299118
